Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.5%,,13.2%,,18.1%,
Adriana,Throw,Smoke Bomb,7.6%,34.6%,11.5%,27.8%,18.0%,42.0%
Adriana,Throw,Incendiary Bomb,7.4%,46.3%,13.6%,63.7%,18.5%,44.0%
Adriana,Throw,David's Sling,-9999900.0%,0.4%,-9999900.0%,0.8%,-9999900.0%,0.9%
Adriana,Throw,Grenade of Antioch,14.5%,3.8%,-9999900.0%,0.5%,-9999900.0%,0.9%
Adriana,Throw,Ruthenium Marble,16.2%,4.6%,-9999900.0%,0.3%,-9999900.0%,3.7%
Aya,Assault Rifle,AK-12,-9999900.0%,0.0%,-9999900.0%,5.4%,-9999900.0%,24.7%
Aya,Assault Rifle,XCR,19.8%,70.6%,17.9%,38.1%,-9999900.0%,36.0%
Aya,Assault Rifle,Gatling Gun,-9999900.0%,21.0%,22.8%,38.8%,-9999900.0%,25.8%
Aya,Pistol,Devil's Marksman,3.5%,43.2%,11.9%,57.8%,12.3%,59.7%
Aya,Pistol,Elegance,4.6%,39.8%,14.2%,31.7%,17.1%,23.1%
Aya,Pistol,Electron Blaster,-9999900.0%,1.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Aya,Pistol,Magnum-Boa,-9999900.0%,0.9%,-9999900.0%,0.5%,-9999900.0%,4.7%
Aya,Pistol,Kelte,15.8%,7.7%,-9999900.0%,3.2%,-9999900.0%,4.0%
Aya,Sniper Rifle,Tac-50,-9999900.0%,14.6%,-9999900.0%,3.7%,-9999900.0%,10.0%
Aya,Sniper Rifle,Intervention,-9999900.0%,29.2%,-9999900.0%,9.0%,-9999900.0%,18.7%
Aya,Sniper Rifle,NTW-20,-9999900.0%,30.3%,11.8%,38.1%,-9999900.0%,17.4%
Aya,Sniper Rifle,Polaris,-9999900.0%,13.5%,-9999900.0%,23.1%,11.9%,43.9%
Aya,Sniper Rifle,The Deadly Ray,-9999900.0%,7.9%,-9999900.0%,15.7%,-9999900.0%,4.3%
Cathy,Dagger,Carnwennan,2.6%,16.3%,7.5%,16.2%,4.4%,11.1%
Cathy,Dagger,Mount Slicer,-9999900.0%,0.1%,-9999900.0%,1.7%,-9999900.0%,1.1%
Cathy,Dagger,Vibroblade,2.2%,62.3%,8.4%,63.4%,13.1%,70.0%
Cathy,Dagger,Fragarach,17.1%,16.4%,36.1%,14.4%,52.1%,15.4%
Chiara,Rapier,Durendal Mk2,1.2%,21.4%,-9999900.0%,7.8%,12.7%,22.1%
Chiara,Rapier,Mistilteinn,10.3%,26.7%,19.6%,26.6%,37.3%,87.9%
Chiara,Rapier,Volticletto,2.2%,29.8%,18.7%,47.4%,28.4%,63.3%
Chiara,Rapier,Meteor Claymore,-9999900.0%,1.5%,-9999900.0%,0.5%,-9999900.0%,0.7%
Chiara,Rapier,Joyeuse,12.7%,10.6%,-9999900.0%,8.9%,-9999900.0%,15.6%
Emma,Shuriken,Cards of Tyranny,-9999900.0%,3.8%,-9999900.0%,3.0%,-9999900.0%,0.9%
Emma,Shuriken,Mystic Jade Charm,11.3%,4.7%,16.8%,19.2%,22.4%,16.6%
Emma,Shuriken,Fuhma Shuriken,11.4%,27.1%,6.3%,15.2%,22.9%,20.9%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.4%,-9999900.0%,0.0%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.4%,-9999900.0%,0.6%,-9999900.0%,1.3%
Emma,Shuriken,Flechette,-9999900.0%,0.7%,-9999900.0%,0.2%,-9999900.0%,8.7%
Emma,Shuriken,Wind and Fire Wheels,9.1%,51.8%,10.3%,50.1%,14.6%,38.8%
Emma,Shuriken,Death Rune,-9999900.0%,0.2%,-9999900.0%,0.2%,-9999900.0%,0.7%
Emma,Shuriken,Sudarsana,-9999900.0%,0.8%,-9999900.0%,1.1%,-9999900.0%,2.8%
Emma,Shuriken,Petal Torrent,-9999900.0%,0.7%,-9999900.0%,1.7%,-9999900.0%,0.9%
Fiora,Rapier,Durendal Mk2,2.8%,54.9%,10.6%,59.0%,12.1%,67.8%
Fiora,Rapier,Mistilteinn,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.2%
Fiora,Rapier,Volticletto,6.9%,12.3%,-9999900.0%,10.9%,-9999900.0%,3.1%
Fiora,Rapier,Meteor Claymore,10.8%,6.6%,-9999900.0%,10.6%,-9999900.0%,3.1%
Fiora,Rapier,Joyeuse,17.9%,20.7%,35.4%,15.0%,44.1%,22.7%
Fiora,Spear,Gentian Silver Gun,0.7%,45.6%,4.0%,33.5%,-9999900.0%,7.5%
Fiora,Spear,Eighteen Foot Spear,-9999900.0%,4.2%,3.8%,34.8%,-9999900.0%,51.3%
Fiora,Spear,Cosmic Bident,7.8%,23.1%,-9999900.0%,6.3%,-9999900.0%,2.5%
Fiora,Spear,Lance of Poseidon,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Fiora,Spear,Blazing Lance,-9999900.0%,6.9%,-9999900.0%,9.8%,-9999900.0%,1.3%
Fiora,Spear,Fangtian Huaji,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Fiora,Spear,Dragon Guandao,-9999900.0%,2.7%,-9999900.0%,0.0%,-9999900.0%,18.8%
Fiora,Spear,Spear of Longinus,-9999900.0%,13.5%,-9999900.0%,12.9%,-9999900.0%,15.0%
Fiora,Two Handed Sword,Thuận Thiên,0.8%,44.3%,-9999900.0%,36.4%,-9999900.0%,65.7%
Fiora,Two Handed Sword,Arondight,-9999900.0%,4.2%,-9999900.0%,3.9%,-9999900.0%,0.0%
Fiora,Two Handed Sword,Excalibur,-9999900.0%,1.4%,-9999900.0%,0.0%,-9999900.0%,0.0%
Fiora,Two Handed Sword,Plasma Sword,-9999900.0%,1.4%,-9999900.0%,1.6%,-9999900.0%,2.9%
Fiora,Two Handed Sword,Laevateinn,11.1%,34.3%,31.4%,39.5%,-9999900.0%,8.6%
Fiora,Two Handed Sword,Monohoshizao,-9999900.0%,5.2%,-9999900.0%,6.2%,-9999900.0%,28.6%
Fiora,Two Handed Sword,Hovud,-9999900.0%,3.8%,-9999900.0%,10.9%,-9999900.0%,0.0%
Fiora,Two Handed Sword,Dáinsleif,-9999900.0%,3.5%,-9999900.0%,0.0%,-9999900.0%,2.9%
Hart,Guitar,Bohemian,2.8%,6.4%,9.0%,13.0%,17.1%,17.8%
Hart,Guitar,Stairway to Heaven,20.2%,6.8%,37.3%,11.0%,-9999900.0%,2.2%
Hart,Guitar,Purple Haze,7.5%,4.0%,-9999900.0%,4.7%,17.9%,13.2%
Hart,Guitar,Satisfaction,3.3%,16.2%,12.7%,10.4%,12.0%,15.6%
Hart,Guitar,Wonderful Tonight,35.8%,9.5%,-9999900.0%,4.4%,-9999900.0%,6.5%
Hart,Guitar,The Wall,6.6%,45.5%,9.8%,40.3%,18.5%,34.8%
Hart,Guitar,Teen Spirit,11.9%,5.0%,36.3%,11.7%,-9999900.0%,5.4%
Hyejin,Bow,Ancient Bolt,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.0%
Hyejin,Bow,Golden-Ratio Bow,-9999900.0%,0.0%,-9999900.0%,0.7%,-9999900.0%,2.0%
Hyejin,Bow,Twinbow,-9999900.0%,3.4%,-9999900.0%,0.4%,-9999900.0%,2.0%
Hyejin,Bow,Elemental Bow,4.4%,86.0%,16.7%,90.0%,23.6%,87.5%
Hyejin,Bow,Failnaught,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.2%
Hyejin,Shuriken,Cards of Tyranny,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,2.9%
Hyejin,Shuriken,Mystic Jade Charm,-9999900.0%,27.1%,-9999900.0%,0.0%,-9999900.0%,21.6%
Hyejin,Shuriken,Fuhma Shuriken,-9999900.0%,5.7%,-9999900.0%,25.2%,-9999900.0%,2.5%
Hyejin,Shuriken,Frost Venom Dart,-9999900.0%,5.7%,-9999900.0%,0.9%,-9999900.0%,2.5%
Hyejin,Shuriken,Azure Dagger,-9999900.0%,1.4%,-9999900.0%,10.3%,-9999900.0%,2.9%
Hyejin,Shuriken,Flechette,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Hyejin,Shuriken,Wind and Fire Wheels,-9999900.0%,4.3%,-9999900.0%,8.4%,22.7%,47.5%
Hyejin,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.5%
Hyejin,Shuriken,Sudarsana,-9999900.0%,2.9%,-9999900.0%,0.0%,-9999900.0%,1.0%
Hyejin,Shuriken,Petal Torrent,-9999900.0%,51.4%,39.6%,49.5%,-9999900.0%,14.2%
Hyunwoo,Tonfa,Tactical Tonfa,8.4%,30.7%,12.5%,18.8%,19.5%,15.5%
Hyunwoo,Tonfa,Mai Sok,16.9%,8.1%,-9999900.0%,4.7%,22.5%,28.6%
Hyunwoo,Tonfa,Plasma Tonfa,8.4%,55.5%,23.4%,75.4%,12.5%,54.1%
Hyunwoo,Glove,One Inch Punch,7.2%,27.0%,12.7%,26.3%,11.0%,17.8%
Hyunwoo,Glove,Divine Fist,13.8%,32.7%,14.8%,10.7%,-9999900.0%,10.0%
