Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,22.4%,3.1%,33.3%,2.7%,39.9%,2.6%
Head,Crystal Tiara,7.4%,11.3%,15.1%,10.1%,22.8%,8.9%
Head,Motorcycle Helmet,2.1%,8.7%,6.5%,10.5%,11.4%,11.4%
Head,Tactical OPS Helmet,8.1%,13.3%,16.9%,11.4%,25.2%,9.9%
Head,Helm of Banneret,10.4%,2.6%,17.4%,2.6%,25.5%,2.9%
Head,Laurel Wreath,17.6%,2.6%,31.5%,2.4%,38.9%,2.2%
Head,Imperial Crown,6.7%,8.5%,16.6%,12.5%,24.9%,15.9%
Head,Imperial Burgonet,9.3%,12.1%,20.4%,11.0%,28.7%,11.7%
Head,Chinese Opera Mask,27.7%,1.2%,39.0%,1.1%,45.7%,1.1%
Chest,Covert Agent Uniform,6.7%,0.2%,10.6%,0.2%,13.4%,0.2%
Chest,Sunset Armor,3.1%,4.2%,9.9%,4.4%,15.4%,5.5%
Chest,Optical Camouflage Suit,5.6%,15.5%,13.1%,15.4%,19.6%,13.3%
Chest,Rocker's Jacket,4.0%,3.1%,10.2%,3.5%,17.5%,3.9%
Chest,Mithril Armor,22.7%,2.7%,31.8%,2.3%,38.1%,2.5%
Chest,Crusader Armor,7.0%,5.3%,13.0%,5.7%,18.2%,5.7%
Chest,Amazoness Armor,8.3%,1.7%,16.0%,2.6%,23.7%,3.4%
Chest,Dragon Dobok,9.2%,6.7%,17.8%,4.8%,25.9%,4.3%
Chest,Butler's Suit,8.6%,8.0%,13.5%,6.0%,20.7%,5.0%
Chest,Battle Suit,9.2%,2.4%,16.7%,3.2%,23.3%,3.7%
Chest,Blazing Dress,21.9%,0.5%,35.8%,0.5%,43.4%,0.5%
Chest,EOD Suit,10.1%,4.7%,20.7%,3.9%,29.3%,4.5%
Chest,Commander's Armor,4.4%,7.8%,9.4%,8.7%,17.1%,9.1%
Chest,Kabana,17.2%,3.3%,32.1%,5.0%,41.1%,5.7%
Chest,Queen of Hearts,26.2%,1.1%,49.0%,1.5%,56.5%,1.7%
Arm,Sword Stopper,8.8%,3.9%,14.5%,4.3%,20.7%,4.5%
Arm,Draupnir,6.7%,8.6%,14.9%,9.1%,23.7%,10.0%
Arm,Creed of the Knight,5.1%,7.3%,12.0%,7.4%,19.1%,6.7%
Arm,Sheath of Shah Jahan,3.5%,8.4%,10.5%,8.5%,18.5%,8.6%
Arm,Cube Watch,8.8%,2.3%,16.9%,2.2%,23.5%,2.1%
Arm,Vital Sign Sensor,0.2%,1.9%,1.5%,1.7%,3.6%,1.5%
Arm,Burnished Aegis,5.6%,3.2%,14.8%,4.9%,23.2%,6.1%
Arm,Radar,11.7%,15.4%,20.9%,12.3%,29.0%,10.6%
Arm,Tindalos Band,6.3%,4.4%,17.2%,4.8%,25.8%,6.2%
Arm,Mithril Shield,16.2%,2.6%,28.0%,2.6%,36.9%,2.8%
Arm,Auto Arms,26.3%,2.4%,41.3%,2.3%,49.0%,2.3%
Arm,Bracelet of Skadi,18.3%,2.5%,39.0%,2.5%,46.5%,2.6%
Leg,Feather Boots,6.9%,11.3%,12.7%,9.5%,19.7%,8.4%
Leg,Maverick Runner,1.1%,1.6%,4.8%,1.8%,9.4%,2.5%
Leg,Straitjacket Sneakers,3.7%,11.2%,10.9%,13.4%,18.7%,16.2%
Leg,Mithril Boots,18.6%,1.1%,27.6%,1.1%,36.2%,1.1%
Leg,Bucephalus,4.8%,11.2%,11.6%,11.1%,18.8%,10.0%
Leg,EOD Boots,11.1%,3.0%,17.9%,2.9%,27.6%,3.5%
Leg,White Rhinos,5.6%,16.7%,11.5%,15.1%,18.0%,13.4%
Leg,Tachyon Brace,7.7%,1.7%,15.4%,1.5%,22.8%,1.9%
Leg,Glacial Shoes,12.4%,5.1%,29.6%,6.5%,39.8%,7.2%
Leg,Boots of Hermes,27.2%,3.4%,44.7%,3.0%,51.2%,3.0%
Leg,Red Shoes,33.1%,2.0%,47.7%,1.9%,53.6%,1.6%
Accessory,Laced Quiver,6.0%,8.9%,13.6%,8.7%,20.6%,8.2%
Accessory,Sniper Scope,1.4%,0.9%,5.3%,0.7%,9.6%,0.8%
Accessory,Uchiwa,5.7%,15.4%,12.7%,15.8%,20.0%,15.8%
Accessory,Schrodinger's Box,8.8%,6.0%,18.4%,8.2%,25.7%,9.6%
Accessory,Veritas Lux Mea,7.9%,5.4%,15.7%,3.9%,23.6%,3.5%
Accessory,Lunar Embrace,16.6%,0.6%,36.7%,0.8%,43.0%,1.1%
Accessory,Emerald Tablet,25.0%,1.3%,39.0%,1.2%,47.8%,1.0%
Accessory,Glacial Ice,4.9%,0.1%,11.4%,0.1%,20.6%,0.2%
Accessory,True Samadhi Fire,7.6%,0.1%,14.9%,0.1%,26.0%,0.1%
Accessory,Moonlight Pendant,18.4%,3.2%,26.1%,2.2%,33.1%,1.7%
Accessory,White Crane Fan,8.2%,8.9%,16.9%,8.9%,24.2%,9.7%
Accessory,Magazine,8.4%,10.3%,14.9%,10.5%,21.0%,11.0%
Accessory,Flower of Fate,1.0%,0.8%,3.1%,0.8%,8.8%,0.7%
Accessory,Revenge of Goujin,7.0%,2.0%,15.9%,2.8%,24.6%,3.3%
Accessory,Buccaneer Doubloon,6.9%,5.8%,13.7%,5.3%,19.6%,4.4%
Accessory,Feather Duster,0.0%,1.2%,0.2%,1.2%,1.5%,1.0%
