Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,6.5%,43.8%,16.9%,36.4%,21.1%,34.7%
Adriana,Throw,Incendiary Bomb,5.7%,34.7%,13.8%,43.2%,17.9%,45.5%
Adriana,Throw,David's Sling,5.7%,1.5%,10.1%,1.5%,10.9%,1.6%
Adriana,Throw,Grenade of Antioch,7.2%,1.9%,15.9%,0.9%,25.2%,1.5%
Adriana,Throw,Ruthenium Marble,8.4%,3.9%,18.0%,5.2%,20.8%,5.7%
Aya,Assault Rifle,AK-12,2.9%,14.3%,9.6%,27.6%,16.4%,27.4%
Aya,Assault Rifle,XCR,10.6%,49.1%,16.6%,32.9%,22.9%,34.8%
Aya,Assault Rifle,Gatling Gun,5.4%,15.5%,13.4%,21.9%,15.4%,20.0%
Aya,Pistol,Devil's Marksman,5.5%,54.0%,11.3%,66.7%,18.2%,66.2%
Aya,Pistol,Elegance,4.2%,24.9%,9.2%,16.3%,16.5%,17.2%
Aya,Pistol,Electron Blaster,2.0%,1.9%,4.3%,1.2%,16.8%,1.5%
Aya,Pistol,Magnum-Boa,5.0%,1.9%,10.0%,0.9%,14.9%,1.7%
Aya,Pistol,Kelte,20.7%,4.7%,40.5%,3.7%,46.5%,3.3%
Aya,Sniper Rifle,Tac-50,3.1%,13.9%,9.3%,6.0%,16.8%,7.1%
Aya,Sniper Rifle,Intervention,4.4%,6.0%,14.0%,5.2%,17.7%,11.5%
Aya,Sniper Rifle,NTW-20,3.2%,34.5%,8.7%,36.7%,15.5%,30.6%
Aya,Sniper Rifle,Polaris,1.3%,13.8%,6.2%,22.9%,14.1%,24.2%
Aya,Sniper Rifle,The Deadly Ray,13.8%,13.3%,25.3%,14.7%,33.6%,13.4%
Cathy,Dagger,Carnwennan,3.3%,17.5%,7.8%,13.4%,11.2%,12.5%
Cathy,Dagger,Mount Slicer,1.3%,0.4%,4.5%,0.5%,20.0%,0.8%
Cathy,Dagger,Vibroblade,2.7%,64.5%,7.7%,69.8%,12.5%,70.4%
Cathy,Dagger,Fragarach,25.8%,9.9%,41.8%,10.6%,50.1%,11.2%
Chiara,Rapier,Durendal Mk2,2.6%,17.0%,9.9%,11.5%,13.8%,9.7%
Chiara,Rapier,Mistilteinn,8.7%,24.1%,16.6%,25.1%,21.2%,33.8%
Chiara,Rapier,Volticletto,3.5%,39.0%,9.9%,43.6%,13.4%,37.2%
Chiara,Rapier,Meteor Claymore,11.6%,0.7%,19.6%,0.5%,-9999900.0%,0.3%
Chiara,Rapier,Joyeuse,16.3%,5.5%,26.4%,3.9%,37.6%,3.8%
Emma,Shuriken,Cards of Tyranny,3.8%,3.3%,7.4%,2.9%,12.6%,2.1%
Emma,Shuriken,Mystic Jade Charm,7.3%,4.6%,15.2%,8.4%,21.5%,8.5%
Emma,Shuriken,Fuhma Shuriken,7.2%,16.9%,13.2%,13.9%,17.7%,13.9%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Emma,Shuriken,Azure Dagger,3.3%,2.4%,8.0%,4.1%,9.4%,4.4%
Emma,Shuriken,Flechette,6.5%,0.6%,-9999900.0%,0.4%,14.6%,1.2%
Emma,Shuriken,Wind and Fire Wheels,5.3%,58.7%,11.1%,59.2%,15.4%,59.1%
Emma,Shuriken,Death Rune,6.8%,0.4%,-9999900.0%,0.5%,-9999900.0%,0.6%
Emma,Shuriken,Sudarsana,24.1%,1.8%,47.9%,1.3%,43.0%,1.4%
Emma,Shuriken,Petal Torrent,20.7%,0.7%,43.5%,0.7%,44.1%,0.9%
Fiora,Rapier,Durendal Mk2,5.3%,59.1%,9.4%,57.0%,15.7%,57.7%
Fiora,Rapier,Mistilteinn,7.3%,0.4%,-9999900.0%,0.7%,11.1%,1.1%
Fiora,Rapier,Volticletto,6.6%,16.2%,9.5%,20.3%,15.8%,19.5%
Fiora,Rapier,Meteor Claymore,19.0%,3.0%,34.9%,3.0%,33.7%,2.0%
Fiora,Rapier,Joyeuse,24.2%,12.0%,33.9%,10.6%,42.3%,12.2%
Fiora,Spear,Gentian Silver Gun,1.5%,55.2%,3.8%,51.6%,7.2%,54.5%
Fiora,Spear,Eighteen Foot Spear,2.9%,8.9%,8.1%,16.0%,12.0%,16.1%
Fiora,Spear,Cosmic Bident,13.0%,7.1%,17.7%,3.7%,39.4%,3.9%
Fiora,Spear,Lance of Poseidon,-9999900.0%,0.6%,-9999900.0%,1.5%,-9999900.0%,1.0%
Fiora,Spear,Blazing Lance,10.7%,7.3%,19.3%,5.8%,31.7%,3.7%
Fiora,Spear,Fangtian Huaji,2.7%,1.5%,-9999900.0%,1.0%,-9999900.0%,0.5%
Fiora,Spear,Dragon Guandao,1.1%,1.9%,5.8%,2.0%,15.7%,3.0%
Fiora,Spear,Spear of Longinus,31.9%,9.6%,46.9%,8.7%,46.8%,10.9%
Fiora,Two Handed Sword,Thuận Thiên,1.7%,28.1%,6.2%,29.8%,9.8%,33.6%
Fiora,Two Handed Sword,Arondight,4.0%,25.5%,7.5%,24.1%,13.9%,23.3%
Fiora,Two Handed Sword,Excalibur,16.1%,2.1%,-9999900.0%,1.3%,-9999900.0%,0.8%
Fiora,Two Handed Sword,Plasma Sword,0.5%,3.3%,1.0%,4.9%,8.8%,4.7%
Fiora,Two Handed Sword,Laevateinn,15.9%,17.6%,23.1%,18.9%,37.6%,16.6%
Fiora,Two Handed Sword,Monohoshizao,6.1%,7.6%,11.6%,6.9%,15.1%,6.4%
Fiora,Two Handed Sword,Hovud,4.0%,3.5%,8.9%,4.0%,15.3%,4.9%
Fiora,Two Handed Sword,Dáinsleif,44.3%,4.0%,40.5%,4.0%,42.9%,3.8%
Hart,Guitar,Bohemian,2.4%,5.4%,12.9%,11.8%,14.9%,17.4%
Hart,Guitar,Stairway to Heaven,14.1%,2.9%,27.8%,3.0%,14.7%,1.9%
Hart,Guitar,Purple Haze,6.3%,6.2%,13.6%,8.0%,20.2%,6.7%
Hart,Guitar,Satisfaction,6.1%,17.1%,11.7%,13.4%,18.4%,14.2%
Hart,Guitar,Wonderful Tonight,28.7%,5.8%,42.4%,4.5%,49.1%,4.3%
Hart,Guitar,The Wall,4.7%,46.2%,11.1%,40.5%,16.5%,39.2%
Hart,Guitar,Teen Spirit,6.2%,7.3%,15.8%,11.4%,21.7%,9.4%
Hyejin,Bow,Ancient bolt,2.4%,0.6%,-9999900.0%,0.3%,-9999900.0%,0.3%
Hyejin,Bow,Golden-Ratio Bow,3.2%,1.4%,4.6%,1.3%,15.1%,2.9%
Hyejin,Bow,Twinbow,1.7%,4.5%,7.2%,8.8%,15.1%,7.5%
Hyejin,Bow,Elemental Bow,4.5%,78.2%,14.8%,75.8%,21.1%,75.9%
Hyejin,Bow,Failnaught,-9999900.0%,0.1%,-9999900.0%,0.4%,-9999900.0%,0.4%
Hyejin,Shuriken,Cards of Tyranny,-9999900.0%,4.1%,8.6%,6.0%,13.3%,4.7%
Hyejin,Shuriken,Mystic Jade Charm,1.9%,26.6%,15.1%,14.4%,17.6%,19.2%
Hyejin,Shuriken,Fuhma Shuriken,5.0%,10.1%,13.2%,14.1%,18.1%,15.1%
Hyejin,Shuriken,Frost Venom Dart,-9999900.0%,4.0%,-9999900.0%,2.8%,-9999900.0%,2.4%
Hyejin,Shuriken,Azure Dagger,-9999900.0%,3.7%,11.5%,10.8%,11.1%,8.5%
Hyejin,Shuriken,Flechette,-9999900.0%,1.2%,-9999900.0%,0.3%,-9999900.0%,0.3%
Hyejin,Shuriken,Wind and Fire Wheels,3.4%,14.7%,11.4%,22.9%,18.3%,29.2%
Hyejin,Shuriken,Death Rune,7.0%,5.7%,-9999900.0%,1.4%,-9999900.0%,0.9%
Hyejin,Shuriken,Sudarsana,-9999900.0%,3.0%,-9999900.0%,1.0%,-9999900.0%,1.5%
Hyejin,Shuriken,Petal Torrent,8.0%,16.4%,32.0%,18.8%,31.2%,11.1%
Hyunwoo,Tonfa,Tactical Tonfa,6.0%,32.8%,12.5%,21.4%,19.0%,17.1%
Hyunwoo,Tonfa,Mai Sok,15.3%,14.4%,14.2%,8.8%,20.7%,14.1%
Hyunwoo,Tonfa,Plasma Tonfa,6.4%,47.1%,13.3%,64.3%,18.5%,63.6%
Hyunwoo,Glove,One Inch Punch,7.9%,32.5%,11.4%,23.5%,17.4%,21.9%
Hyunwoo,Glove,Divine Fist,8.6%,10.6%,13.8%,9.1%,16.8%,9.1%
Hyunwoo,Glove,Bloodwing Knuckles,4.4%,13.6%,11.7%,23.4%,16.1%,26.2%
Hyunwoo,Glove,Frost Petal Hand,6.1%,4.1%,11.7%,5.7%,16.1%,4.8%
Hyunwoo,Glove,Buddha's Palm,4.9%,4.8%,10.5%,6.2%,17.4%,4.9%
Hyunwoo,Glove,Brasil Gauntlet,7.9%,20.2%,11.5%,18.5%,16.7%,20.6%
Hyunwoo,Glove,White Claw Punch,3.2%,0.9%,8.7%,1.0%,11.4%,0.8%
Hyunwoo,Glove,Imperial Silk Gloves,18.0%,4.0%,27.7%,3.2%,33.8%,2.6%
Isol,Assault Rifle,AK-12,5.3%,45.6%,12.1%,60.6%,18.2%,66.1%
Isol,Assault Rifle,XCR,12.8%,32.7%,18.0%,21.0%,21.9%,14.2%
Isol,Assault Rifle,Gatling Gun,7.8%,5.9%,12.5%,4.2%,15.4%,5.4%
Isol,Pistol,Devil's Marksman,7.1%,13.3%,12.0%,31.2%,17.8%,36.2%
Isol,Pistol,Elegance,7.9%,22.9%,13.3%,26.1%,16.7%,27.1%
Isol,Pistol,Electron Blaster,4.9%,25.4%,9.9%,17.1%,12.3%,14.8%
Isol,Pistol,Magnum-Boa,7.2%,31.4%,10.7%,16.3%,18.7%,13.4%
Isol,Pistol,Kelte,22.8%,1.6%,35.2%,2.8%,46.5%,2.4%
Jackie,Axe,Beam Axe,0.9%,11.0%,6.1%,9.8%,10.2%,10.1%
Jackie,Axe,Santa Muerte,6.6%,32.6%,11.5%,21.7%,17.5%,19.1%
Jackie,Axe,Scythe,4.2%,37.2%,12.6%,46.7%,17.3%,52.0%
Jackie,Axe,Parashu,3.1%,11.7%,9.7%,7.1%,17.4%,7.3%
Jackie,Axe,Harpe,2.7%,1.9%,16.4%,8.8%,20.7%,5.7%
Jackie,Two Handed Sword,Thuận Thiên,4.3%,6.4%,5.7%,9.8%,6.4%,9.4%
Jackie,Two Handed Sword,Arondight,4.5%,28.6%,11.3%,33.9%,10.6%,36.4%
Jackie,Two Handed Sword,Excalibur,12.8%,9.8%,-9999900.0%,3.3%,-9999900.0%,5.3%
Jackie,Two Handed Sword,Plasma Sword,1.2%,2.3%,-9999900.0%,1.9%,-9999900.0%,2.4%
Jackie,Two Handed Sword,Laevateinn,15.1%,8.0%,22.7%,10.5%,36.1%,7.3%
Jackie,Two Handed Sword,Monohoshizao,4.8%,23.4%,11.4%,21.0%,9.9%,19.4%
Jackie,Two Handed Sword,Hovud,1.0%,2.7%,-9999900.0%,2.6%,-9999900.0%,2.5%
Jackie,Two Handed Sword,Dáinsleif,32.5%,3.4%,40.0%,4.4%,-9999900.0%,4.8%
Jackie,Dual Sword,Divine Dual Swords,5.0%,33.3%,8.1%,29.0%,14.1%,26.5%
Jackie,Dual Sword,Starsteel Dual Swords,22.2%,12.4%,26.6%,7.2%,33.3%,6.8%
Jackie,Dual Sword,Dioscuri,3.7%,44.8%,6.1%,45.5%,12.7%,41.2%
Jackie,Dual Sword,Lloigor & Zahr,3.5%,3.9%,13.5%,14.2%,22.4%,22.1%
Jackie,Dagger,Carnwennan,5.6%,62.6%,7.2%,52.0%,13.6%,50.6%
Jackie,Dagger,Mount Slicer,5.3%,0.4%,-9999900.0%,0.9%,19.5%,2.4%
Jackie,Dagger,Vibroblade,3.6%,19.0%,5.7%,31.3%,11.7%,32.6%
Jackie,Dagger,Fragarach,24.1%,11.8%,31.4%,9.5%,38.8%,9.0%
Lenox,Whip,Thunder Whip,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.2%
Lenox,Whip,Gleipnir,4.8%,87.4%,11.8%,86.4%,17.9%,86.6%
Lenox,Whip,Plasma Whip,0.0%,1.7%,5.5%,1.6%,9.5%,1.8%
Lenox,Whip,Bloody Nine Tails,22.7%,3.1%,50.5%,3.5%,53.4%,3.3%
Li Dailin,Glove,One Inch Punch,3.6%,6.5%,9.2%,6.5%,19.3%,7.1%
Li Dailin,Glove,Divine Fist,5.8%,9.8%,12.1%,8.3%,16.6%,8.0%
Li Dailin,Glove,Bloodwing Knuckles,2.5%,41.0%,7.7%,41.9%,13.8%,42.8%
Li Dailin,Glove,Frost Petal Hand,5.5%,14.7%,16.2%,18.0%,21.4%,17.2%
Li Dailin,Glove,Buddha's Palm,3.2%,0.8%,3.3%,0.9%,-9999900.0%,0.8%
Li Dailin,Glove,Brasil Gauntlet,3.6%,2.6%,11.2%,2.8%,15.7%,3.3%
Li Dailin,Glove,White Claw Punch,3.3%,7.5%,8.4%,8.3%,11.9%,7.9%
Li Dailin,Glove,Imperial Silk Gloves,11.3%,9.7%,21.7%,6.5%,39.2%,6.7%
Li Dailin,Nunchaku,The Smiting Dragon,5.2%,48.0%,14.4%,39.4%,20.4%,41.0%
