Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,0.0%,,0.0%,,0.0%,
Adriana,Throw,Smoke Bomb,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adriana,Throw,Incendiary Bomb,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adriana,Throw,David's Sling,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adriana,Throw,Grenade of Antioch,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adriana,Throw,Ruthenium Marble,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adela,Rapier,Durendal Mk2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adela,Rapier,Mistilteinn,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adela,Rapier,Volticletto,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adela,Rapier,Meteor Claymore,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Adela,Rapier,Joyeuse,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Assault Rifle,AK-12,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Assault Rifle,XCR,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Assault Rifle,Type 95,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Assault Rifle,Agni,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Pistol,Devil's Marksman,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Pistol,Elegance,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Pistol,Electron Blaster,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Pistol,Magnum-Boa,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Pistol,Kelte,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Sniper Rifle,Tac-50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Sniper Rifle,Intervention,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Sniper Rifle,NTW-20,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Sniper Rifle,Polaris,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Aya,Sniper Rifle,The Deadly Ray,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Barbara,Bat,Statue of Soteria,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Barbara,Bat,Mallet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Barbara,Bat,Spy Umbrella,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Barbara,Bat,Magic Stick,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Barbara,Bat,Monkey King Bar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bernice,Sniper Rifle,Tac-50,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bernice,Sniper Rifle,Intervention,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bernice,Sniper Rifle,NTW-20,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bernice,Sniper Rifle,Polaris,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Bernice,Sniper Rifle,The Deadly Ray,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cathy,Dagger,Carnwennan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cathy,Dagger,Mount Slicer,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cathy,Dagger,Vibroblade,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cathy,Dagger,Damascus Steel Thorn,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Cathy,Dagger,Fragarach,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chiara,Rapier,Durendal Mk2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
