Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,7.4%,22.0%,16.8%,20.9%,21.9%,13.8%
Adriana,Throw,Incendiary Bomb,5.2%,66.2%,13.2%,64.7%,19.8%,72.9%
Adriana,Throw,David's Sling,-9999900.0%,0.5%,-9999900.0%,0.3%,-9999900.0%,0.3%
Adriana,Throw,Grenade of Antioch,-9999900.0%,0.7%,-9999900.0%,0.3%,-9999900.0%,0.6%
Adriana,Throw,Ruthenium Marble,5.3%,1.4%,15.8%,5.7%,21.8%,5.1%
Adela,Rapier,Durendal Mk2,5.0%,3.5%,5.7%,7.1%,-9999900.0%,2.5%
Adela,Rapier,Mistilteinn,5.7%,72.9%,14.5%,75.7%,25.4%,75.0%
Adela,Rapier,Volticletto,1.5%,5.8%,-9999900.0%,2.5%,-9999900.0%,4.4%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.4%,-9999900.0%,0.3%,-9999900.0%,0.6%
Adela,Rapier,Joyeuse,-9999900.0%,0.6%,-9999900.0%,0.1%,-9999900.0%,0.4%
Aya,Assault Rifle,AK-12,4.5%,2.4%,21.2%,3.5%,-9999900.0%,2.3%
Aya,Assault Rifle,XCR,13.2%,3.1%,-9999900.0%,1.4%,-9999900.0%,1.7%
Aya,Assault Rifle,Type 95,1.8%,1.5%,-9999900.0%,0.6%,-9999900.0%,1.4%
Aya,Assault Rifle,Agni,7.6%,77.0%,14.7%,81.5%,17.5%,83.1%
Aya,Pistol,Devil's Marksman,3.6%,34.9%,10.0%,47.9%,14.4%,45.5%
Aya,Pistol,Elegance,3.4%,26.4%,9.9%,25.7%,17.2%,34.7%
Aya,Pistol,Electron Blaster,1.3%,6.8%,-9999900.0%,2.6%,-9999900.0%,0.7%
Aya,Pistol,Magnum-Boa,3.6%,15.1%,13.6%,8.3%,17.0%,4.0%
Aya,Pistol,Kelte,31.5%,3.8%,-9999900.0%,1.5%,-9999900.0%,2.8%
Aya,Sniper Rifle,Tac-50,0.4%,10.8%,12.3%,13.8%,13.2%,11.1%
Aya,Sniper Rifle,Intervention,2.4%,23.8%,9.7%,28.9%,18.2%,35.3%
Aya,Sniper Rifle,NTW-20,1.1%,23.8%,7.4%,21.4%,15.7%,21.5%
Aya,Sniper Rifle,Polaris,2.7%,8.1%,11.2%,14.1%,17.4%,11.1%
Aya,Sniper Rifle,The Deadly Ray,9.3%,15.8%,31.4%,8.5%,43.6%,8.6%
Barbara,Bat,Statue of Soteria,1.8%,1.0%,3.0%,2.4%,15.5%,5.6%
Barbara,Bat,Mallet,6.7%,1.9%,11.9%,1.5%,8.7%,2.3%
Barbara,Bat,Spy Umbrella,9.3%,74.2%,14.1%,74.5%,15.4%,71.7%
Barbara,Bat,Magic Stick,24.3%,4.3%,24.2%,3.4%,32.0%,3.8%
Barbara,Bat,Monkey King Bar,37.7%,1.4%,-9999900.0%,0.5%,-9999900.0%,0.4%
Bernice,Sniper Rifle,Tac-50,6.0%,75.5%,14.0%,60.8%,20.4%,57.5%
Bernice,Sniper Rifle,Intervention,-9999900.0%,0.8%,12.4%,3.2%,18.5%,4.2%
Bernice,Sniper Rifle,NTW-20,-9999900.0%,0.2%,8.9%,1.5%,-9999900.0%,0.3%
Bernice,Sniper Rifle,Polaris,4.6%,14.2%,11.0%,24.6%,18.3%,29.4%
Bernice,Sniper Rifle,The Deadly Ray,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.3%
Cathy,Dagger,Carnwennan,3.5%,16.3%,10.0%,21.6%,15.7%,22.4%
Cathy,Dagger,Mount Slicer,3.8%,1.7%,17.5%,1.3%,31.1%,1.4%
Cathy,Dagger,Vibroblade,2.8%,32.3%,8.1%,41.8%,13.5%,41.2%
Cathy,Dagger,Damascus Steel Thorn,8.5%,33.9%,18.3%,21.7%,20.2%,22.5%
Cathy,Dagger,Fragarach,34.9%,5.9%,49.4%,5.1%,57.2%,5.2%
Chiara,Rapier,Durendal Mk2,1.5%,12.7%,6.0%,6.3%,13.0%,3.5%
Chiara,Rapier,Mistilteinn,8.7%,31.4%,14.5%,38.9%,21.9%,46.5%
Chiara,Rapier,Volticletto,3.8%,35.8%,10.1%,36.3%,14.1%,30.1%
Chiara,Rapier,Meteor Claymore,14.9%,2.5%,-9999900.0%,0.7%,-9999900.0%,0.7%
Chiara,Rapier,Joyeuse,12.9%,4.2%,17.1%,2.2%,-9999900.0%,2.2%
Emma,Shuriken,Cards of Tyranny,5.6%,11.1%,11.3%,18.7%,18.0%,14.0%
Emma,Shuriken,Mystic Jade Charm,6.7%,4.1%,13.0%,2.7%,28.4%,7.1%
Emma,Shuriken,Fuhma Shuriken,9.4%,46.2%,14.5%,37.3%,20.4%,32.4%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.0%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.7%,-9999900.0%,1.1%,-9999900.0%,0.7%
Emma,Shuriken,Flechette,3.4%,2.0%,-9999900.0%,0.9%,-9999900.0%,0.3%
Emma,Shuriken,Wind and Fire Wheels,5.1%,19.5%,11.6%,25.6%,12.5%,30.8%
Emma,Shuriken,Death Rune,-9999900.0%,0.3%,-9999900.0%,0.2%,-9999900.0%,0.2%
Emma,Shuriken,Sudarsana,27.3%,1.0%,-9999900.0%,1.0%,-9999900.0%,0.6%
Emma,Shuriken,Petal Torrent,11.4%,1.0%,-9999900.0%,0.2%,-9999900.0%,0.2%
Fiora,Rapier,Durendal Mk2,3.4%,53.6%,9.9%,58.3%,14.9%,61.8%
Fiora,Rapier,Mistilteinn,5.2%,0.9%,7.8%,3.4%,-9999900.0%,1.5%
Fiora,Rapier,Volticletto,6.2%,19.5%,8.5%,15.2%,13.4%,13.1%
Fiora,Rapier,Meteor Claymore,21.8%,7.8%,37.9%,5.8%,41.5%,5.0%
Fiora,Rapier,Joyeuse,23.2%,8.6%,36.8%,7.9%,38.6%,9.6%
Fiora,Spear,Gentian Silver Gun,1.2%,37.8%,4.9%,28.8%,7.7%,40.2%
Fiora,Spear,Eighteen Foot Spear,4.8%,12.9%,14.7%,11.7%,25.0%,13.2%
Fiora,Spear,Cosmic Bident,14.2%,5.5%,-9999900.0%,2.5%,-9999900.0%,3.5%
Fiora,Spear,Lance of Poseidon,-9999900.0%,1.3%,-9999900.0%,0.8%,-9999900.0%,5.5%
Fiora,Spear,Blazing Lance,13.5%,5.4%,-9999900.0%,5.9%,-9999900.0%,6.6%
Fiora,Spear,Fangtian Huaji,-9999900.0%,1.8%,-9999900.0%,0.9%,-9999900.0%,1.1%
Fiora,Spear,Dragon Guandao,3.0%,19.0%,5.5%,34.4%,4.3%,15.2%
Fiora,Spear,Spear of Longinus,43.8%,5.8%,-9999900.0%,5.8%,-9999900.0%,6.8%
Fiora,Two Handed Sword,Thuận Thiên,1.1%,33.6%,3.9%,31.4%,9.0%,32.7%
Fiora,Two Handed Sword,Arondight,4.5%,7.9%,6.3%,12.6%,12.6%,23.4%
Fiora,Two Handed Sword,Excalibur,10.1%,9.1%,8.8%,9.0%,11.8%,9.4%
Fiora,Two Handed Sword,Plasma Sword,0.6%,4.1%,-9999900.0%,2.8%,-9999900.0%,3.1%
Fiora,Two Handed Sword,Laevateinn,19.1%,15.1%,25.6%,17.5%,29.6%,13.1%
Fiora,Two Handed Sword,Monohoshizao,11.2%,13.9%,18.9%,10.1%,-9999900.0%,5.0%
Fiora,Two Handed Sword,Hovud,4.5%,4.5%,-9999900.0%,3.0%,-9999900.0%,4.4%
Fiora,Two Handed Sword,Dáinsleif,55.0%,3.9%,-9999900.0%,3.1%,-9999900.0%,2.4%
Hart,Guitar,Bohemian,11.4%,3.8%,12.2%,3.5%,16.3%,8.9%
Hart,Guitar,Stairway to Heaven,6.3%,1.7%,12.2%,1.9%,-9999900.0%,2.5%
Hart,Guitar,Purple Haze,5.6%,1.4%,5.8%,3.2%,17.7%,5.4%
Hart,Guitar,Satisfaction,2.7%,17.2%,9.0%,10.4%,9.9%,6.3%
Hart,Guitar,Wonderful Tonight,29.3%,10.4%,38.8%,7.8%,42.3%,5.4%
Hart,Guitar,The Wall,2.9%,55.0%,9.1%,61.8%,15.5%,57.2%
Hart,Guitar,Teen Spirit,3.6%,2.9%,3.0%,3.2%,17.9%,6.5%
Hyejin,Bow,Ancient Bolt,0.0%,1.3%,-9999900.0%,0.4%,-9999900.0%,0.2%
