Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.5%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.7%,27.0%,14.6%,22.2%,22.0%,21.1%
Adriana,Throw,Incendiary Bomb,4.0%,55.5%,12.0%,69.2%,19.2%,69.8%
Adriana,Throw,David's Sling,3.3%,1.5%,-9999900.0%,0.3%,23.9%,0.5%
Adriana,Throw,Grenade of Antioch,3.7%,4.8%,14.7%,1.6%,13.7%,2.1%
Adriana,Throw,Ruthenium Marble,2.7%,4.8%,13.6%,3.1%,17.3%,3.4%
Adela,Rapier,Durendal Mk2,2.4%,1.2%,6.8%,1.9%,6.3%,2.2%
Adela,Rapier,Mistilteinn,5.7%,33.2%,15.5%,38.3%,21.3%,48.4%
Adela,Rapier,Volticletto,3.6%,19.0%,13.3%,15.7%,18.7%,9.9%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.3%,-9999900.0%,0.2%,-9999900.0%,0.2%
Adela,Rapier,Joyeuse,17.6%,2.2%,-9999900.0%,1.0%,-9999900.0%,0.7%
Adela,Rapier,Red Panther,4.4%,32.9%,13.2%,35.2%,17.8%,29.6%
Alex,Two-Handed Sword,Thuận Thiên,3.7%,1.6%,12.1%,1.9%,22.3%,3.6%
Alex,Two-Handed Sword,Arondight,0.7%,1.4%,7.2%,2.9%,12.2%,5.2%
Alex,Two-Handed Sword,Excalibur,-9999900.0%,0.2%,12.7%,2.1%,18.2%,2.7%
Alex,Two-Handed Sword,Plasma Sword,0.0%,3.3%,0.0%,2.8%,0.7%,2.2%
Alex,Two-Handed Sword,Aurora Longsword,2.5%,20.3%,10.5%,19.6%,19.2%,19.0%
Alex,Two-Handed Sword,Laevateinn,13.2%,0.7%,28.1%,1.8%,36.3%,1.7%
Alex,Two-Handed Sword,Monohoshizao,7.8%,30.3%,11.9%,21.0%,19.2%,13.6%
Alex,Two-Handed Sword,Hovud,0.0%,0.8%,2.2%,1.9%,17.4%,5.5%
Alex,Two-Handed Sword,Dáinsleif,29.3%,1.3%,56.3%,1.2%,61.1%,1.4%
Alex,Pistol,Devil's Marksman,4.8%,0.6%,11.1%,0.9%,12.2%,0.7%
Alex,Pistol,Elegance,0.0%,1.0%,16.3%,0.6%,16.3%,0.7%
Alex,Pistol,Electron Blaster,2.9%,10.7%,9.1%,14.7%,14.2%,11.3%
Alex,Pistol,Magnum-Boa,1.9%,1.5%,8.8%,1.4%,15.8%,1.7%
Alex,Pistol,Kelte,25.0%,0.9%,42.0%,1.0%,64.3%,0.9%
Alex,Shuriken,Cards of Tyranny,1.3%,0.8%,-9999900.0%,0.5%,-9999900.0%,0.2%
Alex,Shuriken,Mystic Jade Charm,11.1%,0.4%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Fuhma Shuriken,1.2%,0.8%,-9999900.0%,0.5%,-9999900.0%,0.3%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.2%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.0%
Alex,Shuriken,Flechette,1.4%,2.8%,10.9%,1.8%,12.5%,1.5%
Alex,Shuriken,Wind and Fire Wheels,-9999900.0%,0.3%,-9999900.0%,0.3%,-9999900.0%,0.3%
Alex,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Sudarsana,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Petal Torrent,5.0%,1.4%,17.1%,0.6%,-9999900.0%,0.4%
Alex,Tonfa,Tactical Tonfa,2.2%,5.2%,7.7%,7.3%,13.8%,5.7%
Alex,Tonfa,Mai Sok,9.5%,0.7%,18.2%,1.2%,20.5%,4.0%
Alex,Tonfa,Plasma Tonfa,3.6%,2.7%,12.3%,5.0%,15.4%,11.3%
Alex,Tonfa,Windrunner,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Aya,Assault Rifle,AK-12,1.5%,1.0%,3.3%,1.2%,9.8%,1.8%
Aya,Assault Rifle,XCR,10.0%,4.8%,15.1%,2.8%,16.5%,1.5%
Aya,Assault Rifle,Type 95,1.9%,0.4%,-9999900.0%,0.4%,10.0%,2.2%
Aya,Assault Rifle,Agni,7.5%,84.9%,14.1%,88.9%,20.9%,90.1%
Aya,Pistol,Devil's Marksman,2.8%,23.4%,8.8%,38.9%,16.6%,41.3%
Aya,Pistol,Elegance,2.6%,29.2%,9.7%,23.8%,14.1%,26.7%
Aya,Pistol,Electron Blaster,2.3%,2.4%,8.0%,3.5%,10.6%,8.1%
Aya,Pistol,Magnum-Boa,2.0%,27.8%,9.3%,22.9%,16.1%,13.8%
Aya,Pistol,Kelte,24.1%,5.6%,46.8%,4.4%,61.2%,4.2%
Aya,Sniper,Tac-50,2.1%,4.8%,6.9%,4.5%,11.4%,5.9%
Aya,Sniper,Intervention,2.0%,4.0%,4.2%,9.3%,14.3%,7.0%
Aya,Sniper,NTW-20,2.5%,62.7%,8.2%,53.5%,12.2%,46.1%
Aya,Sniper,Polaris,0.6%,7.0%,8.3%,18.0%,15.0%,27.5%
Aya,Sniper,The Deadly Ray,20.7%,14.7%,32.2%,9.1%,44.3%,9.0%
Barbara,Bat,Statue of Soteria,3.4%,1.3%,8.5%,7.2%,13.2%,7.5%
Barbara,Bat,Mallet,12.0%,1.3%,16.7%,0.8%,20.4%,1.5%
Barbara,Bat,Spy Umbrella,7.6%,76.6%,13.4%,79.3%,15.9%,80.8%
Barbara,Bat,Magic Stick,24.0%,7.9%,42.0%,4.1%,46.1%,3.2%
Barbara,Bat,Monkey King Bar,40.0%,1.6%,51.4%,1.4%,-9999900.0%,1.0%
Bernice,Sniper,Tac-50,5.2%,77.8%,12.0%,61.6%,19.8%,63.5%
Bernice,Sniper,Intervention,2.1%,0.4%,6.8%,0.8%,13.5%,5.9%
Bernice,Sniper,NTW-20,-9999900.0%,0.2%,-9999900.0%,0.2%,-9999900.0%,0.4%
Bernice,Sniper,Polaris,3.3%,16.1%,10.0%,33.4%,17.0%,26.9%
Bernice,Sniper,The Deadly Ray,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.0%
Cathy,Dagger,Carnwennan,2.3%,9.0%,8.1%,10.8%,13.2%,15.5%
Cathy,Dagger,Mount Slicer,0.0%,0.4%,3.6%,0.4%,-9999900.0%,0.4%
Cathy,Dagger,Vibroblade,2.1%,58.8%,7.6%,51.5%,12.6%,45.4%
Cathy,Dagger,Damascus Steel Thorn,5.2%,17.0%,12.9%,25.6%,18.9%,29.3%
Cathy,Dagger,Fragarach,27.0%,9.5%,47.0%,7.7%,53.3%,6.3%
Chiara,Rapier,Durendal Mk2,3.5%,5.0%,7.9%,4.0%,17.2%,2.2%
Chiara,Rapier,Mistilteinn,5.0%,17.1%,14.6%,14.5%,18.0%,18.4%
