Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.5%,,11.1%,,16.6%,
Head,Mithril Helm,22.5%,1.9%,31.1%,1.4%,38.7%,1.5%
Head,Crystal Tiara,4.1%,12.0%,9.5%,10.3%,15.9%,9.4%
Head,Motorcycle Helmet,1.1%,7.4%,3.7%,9.7%,6.9%,11.6%
Head,Tactical OPS Helmet,5.4%,17.7%,13.2%,13.7%,20.7%,12.2%
Head,Helm of Banneret,5.8%,3.1%,14.1%,3.3%,20.3%,3.7%
Head,Laurel Wreath,20.3%,3.0%,31.7%,3.2%,41.0%,3.5%
Head,Imperial Crown,6.8%,13.0%,15.7%,18.6%,22.9%,21.9%
Head,Imperial Burgonet,5.6%,8.6%,14.5%,8.4%,22.1%,8.2%
Head,Chinese Opera Mask,30.2%,1.8%,40.8%,1.6%,45.8%,1.7%
Head,Elysian Halo,29.3%,3.1%,46.5%,2.6%,53.2%,2.5%
Chest,Covert Agent Uniform,9.1%,0.7%,10.2%,0.3%,15.4%,0.3%
Chest,Sunset Armor,1.5%,2.1%,6.2%,2.2%,10.0%,3.1%
Chest,Optical Camouflage Suit,4.0%,9.6%,9.8%,10.4%,15.6%,9.6%
Chest,Rocker's Jacket,5.1%,9.1%,11.8%,7.8%,18.1%,7.9%
Chest,Mithril Armor,24.5%,2.4%,35.5%,1.9%,39.7%,2.0%
Chest,Crusader Armor,5.7%,7.6%,10.5%,9.0%,16.0%,8.6%
Chest,Amazoness Armor,6.2%,1.9%,13.5%,2.4%,18.7%,2.7%
Chest,Dragon Dobok,7.8%,7.6%,13.9%,4.6%,20.4%,3.6%
Chest,Tuxedo,7.9%,3.0%,15.4%,3.3%,22.1%,3.4%
Chest,High Priest Robes,6.1%,1.4%,13.0%,2.1%,20.9%,1.9%
Chest,Butler's Suit,7.0%,8.7%,13.1%,7.5%,19.0%,7.4%
Chest,Battle Suit,5.3%,2.8%,12.9%,4.1%,18.8%,6.1%
Chest,Blazing Dress,20.5%,1.5%,31.5%,1.6%,42.3%,1.4%
Chest,EOD Suit,8.6%,6.8%,18.0%,6.2%,23.9%,7.7%
Chest,Commander's Armor,2.3%,4.7%,6.8%,7.2%,12.5%,7.4%
Chest,Kabana,14.5%,3.0%,30.0%,4.5%,39.9%,5.0%
Chest,Queen of Hearts,30.7%,1.1%,49.0%,1.3%,56.9%,1.5%
Arm,Sword Stopper,6.6%,4.4%,12.5%,4.4%,17.7%,4.6%
Arm,Draupnir,4.5%,5.5%,12.0%,7.1%,18.6%,7.9%
Arm,Creed of the Knight,4.3%,8.1%,9.6%,7.8%,15.4%,7.2%
Arm,Sheath of Shah Jahan,3.7%,15.8%,11.5%,15.6%,18.3%,17.5%
Arm,Cube Watch,13.8%,0.4%,21.9%,0.2%,28.1%,0.2%
Arm,Vital Sign Sensor,0.1%,2.4%,0.5%,2.4%,1.5%,1.9%
Arm,Burnished Aegis,4.5%,2.5%,11.9%,5.5%,17.7%,7.3%
Arm,Radar,9.6%,21.5%,17.5%,18.4%,25.8%,16.8%
Arm,Tindalos Band,5.2%,5.2%,13.2%,6.4%,20.8%,7.3%
Arm,Mithril Shield,18.6%,1.3%,31.5%,1.3%,35.4%,1.5%
Arm,Auto-arms,32.5%,2.2%,47.4%,1.8%,54.7%,1.8%
Arm,Bracelet of Skadi,23.0%,2.8%,41.3%,2.5%,49.6%,2.4%
Leg,Feather Boots,6.8%,22.1%,13.6%,20.0%,19.9%,19.6%
Leg,Maverick Runner,2.3%,0.3%,8.6%,0.3%,13.6%,0.5%
Leg,Straitjacket Sneakers,2.6%,9.8%,8.4%,14.4%,14.4%,17.0%
Leg,Mithril Boots,20.1%,1.1%,30.3%,1.0%,35.2%,1.1%
Leg,Bucephalus,4.5%,12.8%,9.8%,10.8%,16.0%,9.7%
Leg,EOD Boots,9.5%,2.0%,15.8%,2.4%,23.5%,3.2%
Leg,White Rhinos,4.3%,10.7%,8.7%,9.9%,14.0%,9.2%
Leg,Tachyon Brace,4.8%,9.7%,11.4%,9.8%,17.6%,10.5%
Leg,Glacial Shoes,15.4%,6.5%,30.8%,7.6%,39.9%,7.7%
Leg,Boots of Hermes,29.0%,1.0%,44.3%,1.0%,52.1%,1.1%
Leg,Red Shoes,35.7%,1.6%,48.7%,1.3%,53.9%,1.2%
Accessory,Laced Quiver,5.6%,12.6%,12.6%,11.5%,19.4%,11.2%
Accessory,Sniper Scope,0.9%,0.3%,1.1%,0.2%,4.4%,0.3%
Accessory,Uchiwa,4.5%,13.4%,11.4%,15.8%,17.7%,16.3%
Accessory,Schrödinger's Box,5.5%,4.9%,13.5%,7.9%,21.0%,9.0%
Accessory,Veritas Lux Mea,10.8%,3.9%,15.7%,2.4%,21.9%,2.1%
Accessory,Lunar Embrace,21.4%,0.6%,31.8%,0.8%,38.6%,1.0%
Accessory,Emerald Tablet,35.0%,1.5%,45.1%,1.0%,50.3%,0.9%
Accessory,Glacial Ice,4.6%,0.0%,13.2%,0.1%,18.5%,0.1%
Accessory,True Samadhi Fire,14.4%,0.0%,18.5%,0.1%,25.9%,0.1%
Accessory,Moonlight Pendant,18.0%,2.7%,30.5%,1.5%,37.3%,1.4%
Accessory,White Crane Fan,7.4%,14.1%,15.4%,13.0%,21.2%,11.9%
Accessory,Magazine,7.1%,9.4%,13.9%,11.2%,19.0%,13.8%
Accessory,Flower of Fate,1.2%,0.5%,4.0%,0.4%,8.6%,0.4%
Accessory,Revenge of Goujian,5.7%,4.5%,14.8%,4.7%,22.2%,6.0%
Accessory,Buccaneer Doubloon,4.0%,8.5%,10.1%,6.8%,15.9%,5.2%
Accessory,Hawkeye,3.2%,1.9%,9.8%,1.8%,15.8%,2.0%
Accessory,Feather Duster,0.0%,1.0%,0.1%,1.0%,0.6%,0.8%
