Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.5%,,14.4%,,19.5%,
Adriana,Throw,Smoke Bomb,4.1%,38.1%,8.2%,13.7%,22.3%,31.3%
Adriana,Throw,Incendiary Bomb,3.1%,45.9%,11.3%,79.9%,19.5%,62.7%
Adriana,Throw,David's Sling,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.1%
Adriana,Throw,Grenade of Antioch,2.6%,5.4%,-9999900.0%,2.3%,-9999900.0%,2.1%
Adriana,Throw,Ruthenium Marble,2.9%,7.5%,-9999900.0%,2.7%,-9999900.0%,1.6%
Adela,Rapier,Durendal Mk2,-9999900.0%,0.6%,-9999900.0%,2.6%,-9999900.0%,0.4%
Adela,Rapier,Mistilteinn,5.6%,20.4%,17.5%,17.3%,21.7%,32.3%
Adela,Rapier,Volticletto,4.2%,30.6%,19.7%,32.9%,22.1%,16.4%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.3%,-9999900.0%,0.0%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,-9999900.0%,5.5%,-9999900.0%,3.5%,-9999900.0%,1.3%
Adela,Rapier,Red Panther,5.6%,35.6%,11.6%,41.1%,23.4%,44.5%
Alex,Two-Handed Sword,Thuận Thiên,-9999900.0%,1.5%,-9999900.0%,2.6%,18.2%,8.2%
Alex,Two-Handed Sword,Arondight,-9999900.0%,0.3%,-9999900.0%,6.6%,-9999900.0%,4.2%
Alex,Two-Handed Sword,Excalibur,-9999900.0%,0.1%,-9999900.0%,2.3%,-9999900.0%,3.3%
Alex,Two-Handed Sword,Plasma Sword,-9999900.0%,2.6%,-9999900.0%,4.2%,-9999900.0%,2.6%
Alex,Two-Handed Sword,Aurora Longsword,1.6%,18.7%,15.9%,33.0%,17.2%,20.2%
Alex,Two-Handed Sword,Laevateinn,-9999900.0%,0.4%,-9999900.0%,1.9%,-9999900.0%,0.9%
Alex,Two-Handed Sword,Monohoshizao,8.5%,36.0%,12.2%,14.3%,21.7%,7.4%
Alex,Two-Handed Sword,Hovud,-9999900.0%,0.6%,-9999900.0%,1.0%,34.0%,6.2%
Alex,Two-Handed Sword,Dáinsleif,-9999900.0%,1.8%,-9999900.0%,2.8%,-9999900.0%,1.9%
Alex,Pistol,Devil's Marksman,-9999900.0%,0.1%,-9999900.0%,2.1%,-9999900.0%,0.1%
Alex,Pistol,Elegance,-9999900.0%,0.9%,-9999900.0%,0.7%,-9999900.0%,0.6%
Alex,Pistol,Electron Blaster,5.3%,14.8%,8.9%,9.8%,10.1%,8.6%
Alex,Pistol,Magnum-Boa,-9999900.0%,2.7%,-9999900.0%,1.4%,-9999900.0%,0.1%
Alex,Pistol,Kelte,-9999900.0%,0.4%,-9999900.0%,1.2%,-9999900.0%,0.9%
Alex,Shuriken,Cards of Tyranny,-9999900.0%,0.8%,-9999900.0%,0.3%,-9999900.0%,0.2%
Alex,Shuriken,Mystic Jade Charm,-9999900.0%,0.6%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Fuhma Shuriken,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.3%,-9999900.0%,0.0%,-9999900.0%,0.1%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Flechette,-9999900.0%,2.0%,-9999900.0%,2.1%,-9999900.0%,0.6%
Alex,Shuriken,Wind and Fire Wheels,-9999900.0%,0.8%,-9999900.0%,0.3%,-9999900.0%,0.1%
Alex,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.2%,-9999900.0%,0.1%
Alex,Shuriken,Sudarsana,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Petal Torrent,-9999900.0%,1.2%,-9999900.0%,0.2%,-9999900.0%,0.7%
Alex,Tonfa,Tactical Tonfa,-9999900.0%,3.8%,-9999900.0%,1.2%,-9999900.0%,1.7%
Alex,Tonfa,Mai Sok,-9999900.0%,0.4%,-9999900.0%,0.2%,24.1%,10.3%
Alex,Tonfa,Plasma Tonfa,-9999900.0%,2.5%,-9999900.0%,6.6%,13.2%,18.7%
Alex,Tonfa,Windrunner,-9999900.0%,0.2%,-9999900.0%,0.3%,-9999900.0%,0.2%
Aya,Assault Rifle,AK-12,-9999900.0%,0.0%,-9999900.0%,0.8%,-9999900.0%,0.3%
Aya,Assault Rifle,XCR,14.4%,15.5%,-9999900.0%,2.7%,-9999900.0%,2.8%
Aya,Assault Rifle,Type 95,-9999900.0%,0.4%,-9999900.0%,0.5%,-9999900.0%,0.3%
Aya,Assault Rifle,Agni,8.8%,80.7%,20.4%,93.3%,19.8%,94.7%
Aya,Pistol,Devil's Marksman,1.6%,8.5%,11.9%,20.9%,14.1%,48.2%
Aya,Pistol,Elegance,1.1%,23.6%,4.2%,47.3%,-9999900.0%,20.4%
Aya,Pistol,Electron Blaster,-9999900.0%,1.9%,-9999900.0%,3.5%,-9999900.0%,3.1%
Aya,Pistol,Magnum-Boa,2.5%,53.5%,-9999900.0%,16.9%,-9999900.0%,14.7%
Aya,Pistol,Kelte,23.7%,8.0%,-9999900.0%,7.5%,-9999900.0%,11.0%
Aya,Sniper,Tac-50,-9999900.0%,0.9%,-9999900.0%,4.0%,-9999900.0%,12.0%
Aya,Sniper,Intervention,3.1%,11.6%,-9999900.0%,9.1%,-9999900.0%,14.3%
Aya,Sniper,NTW-20,2.2%,58.2%,5.5%,50.8%,13.9%,40.6%
