Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,6.5%,,14.4%,,19.5%,
Head,Mithril Helm,20.5%,3.4%,31.8%,1.9%,39.7%,2.0%
Head,Crystal Tiara,3.0%,8.9%,10.6%,8.4%,17.0%,7.8%
Head,Motorcycle Helmet,1.0%,7.5%,3.0%,11.4%,5.9%,13.7%
Head,Tactical OPS Helmet,4.7%,21.2%,14.5%,14.9%,20.6%,11.5%
Head,Helm of Banneret,4.4%,3.2%,16.1%,3.7%,19.9%,3.5%
Head,Laurel Wreath,22.5%,3.4%,34.3%,3.7%,40.0%,3.1%
Head,Imperial Crown,8.0%,14.2%,18.4%,22.2%,27.7%,29.0%
Head,Imperial Burgonet,5.7%,12.5%,18.5%,8.1%,22.5%,7.1%
Head,Chinese Opera Mask,24.4%,3.2%,44.3%,2.2%,42.7%,1.9%
Head,Elysian Halo,23.5%,3.8%,50.8%,3.9%,55.0%,3.2%
Chest,Covert Agent Uniform,7.4%,1.1%,9.0%,0.3%,23.8%,0.3%
Chest,Sunset Armor,0.9%,2.5%,7.3%,3.6%,9.7%,5.0%
Chest,Optical Camouflage Suit,3.2%,6.8%,10.9%,10.3%,16.6%,8.9%
Chest,Rocker's Jacket,4.3%,13.3%,12.8%,10.6%,16.7%,12.2%
Chest,Mithril Armor,22.4%,4.5%,38.4%,3.3%,39.0%,3.8%
Chest,Crusader Armor,8.4%,6.4%,13.6%,8.6%,18.3%,6.6%
Chest,Amazoness Armor,4.6%,2.0%,16.1%,2.9%,19.0%,4.6%
Chest,Dragon Dobok,7.0%,8.4%,18.4%,5.1%,24.1%,3.8%
Chest,Tuxedo,11.3%,2.3%,17.8%,3.0%,26.1%,2.5%
Chest,High Priest Robes,6.9%,1.3%,18.4%,1.4%,24.2%,1.8%
Chest,Butler's Suit,6.5%,9.5%,14.2%,6.3%,17.5%,4.8%
Chest,Battle Suit,6.4%,2.7%,16.1%,4.3%,22.4%,4.6%
Chest,Blazing Dress,18.6%,1.3%,39.0%,1.3%,45.7%,0.9%
Chest,EOD Suit,8.7%,10.2%,20.1%,8.8%,27.0%,10.0%
Chest,Commander's Armor,2.1%,4.4%,7.5%,6.8%,12.7%,6.7%
Chest,Kabana,12.4%,3.9%,33.7%,4.7%,41.4%,6.1%
Chest,Queen of Hearts,28.4%,1.8%,50.9%,2.0%,58.7%,2.4%
Arm,Sword Stopper,6.4%,4.7%,14.3%,4.4%,17.1%,4.5%
Arm,Draupnir,3.5%,5.2%,12.9%,6.1%,19.1%,5.9%
Arm,Creed of the Knight,3.3%,7.1%,12.1%,8.9%,19.5%,7.2%
Arm,Sheath of Shah Jahan,3.2%,21.7%,12.9%,20.4%,19.4%,23.4%
Arm,Cube Watch,15.1%,0.7%,38.1%,0.3%,23.3%,0.2%
Arm,Vital Sign Sensor,0.0%,1.4%,1.1%,1.7%,0.0%,1.0%
Arm,Burnished Aegis,3.5%,1.6%,13.4%,4.6%,19.4%,6.6%
Arm,Radar,9.9%,21.0%,20.6%,16.3%,26.1%,12.2%
Arm,Tindalos Band,6.6%,6.4%,13.8%,8.0%,23.4%,11.0%
Arm,Mithril Shield,15.8%,2.4%,31.6%,1.7%,36.3%,2.1%
Arm,Auto-arms,26.1%,4.0%,48.3%,2.9%,52.0%,2.6%
Arm,Bracelet of Skadi,22.6%,4.3%,45.3%,4.7%,54.9%,4.3%
Leg,Feather Boots,7.8%,25.0%,17.0%,21.4%,22.3%,18.6%
Leg,Maverick Runner,2.9%,0.6%,20.3%,0.3%,11.0%,0.8%
Leg,Straitjacket Sneakers,1.8%,10.0%,8.4%,15.5%,14.7%,18.6%
Leg,Mithril Boots,17.6%,1.9%,34.2%,1.3%,35.4%,1.5%
Leg,Bucephalus,3.4%,12.7%,11.2%,12.8%,18.7%,9.9%
Leg,EOD Boots,8.0%,2.3%,13.8%,2.1%,22.2%,2.6%
Leg,White Rhinos,4.8%,8.6%,9.4%,6.7%,10.8%,6.1%
Leg,Tachyon Brace,5.4%,14.1%,13.5%,12.6%,20.5%,14.2%
Leg,Glacial Shoes,15.4%,7.7%,35.8%,9.3%,43.0%,10.7%
Leg,Boots of Hermes,26.2%,1.8%,50.4%,1.7%,53.2%,1.6%
Leg,Red Shoes,27.7%,1.9%,49.3%,1.4%,53.8%,1.1%
Accessory,Laced Quiver,5.2%,12.0%,14.1%,13.0%,20.7%,10.5%
Accessory,Sniper Scope,1.4%,0.2%,0.0%,0.1%,5.4%,0.2%
Accessory,Uchiwa,3.3%,9.4%,13.0%,13.6%,18.5%,16.5%
Accessory,Schrödinger's Box,6.5%,3.7%,18.3%,8.2%,24.5%,9.9%
Accessory,Veritas Lux Mea,12.0%,6.3%,21.1%,2.0%,27.1%,1.5%
Accessory,Lunar Embrace,22.8%,0.9%,41.5%,1.1%,48.7%,1.0%
Accessory,Emerald Tablet,28.4%,2.0%,49.3%,1.0%,18.8%,0.1%
Accessory,Glacial Ice,12.5%,0.0%,0.0%,0.0%,33.3%,0.0%
Accessory,True Samadhi Fire,23.1%,0.0%,20.0%,0.0%,38.0%,1.5%
Accessory,Moonlight Pendant,13.5%,4.4%,32.4%,1.8%,23.0%,14.5%
Accessory,White Crane Fan,7.5%,19.4%,16.3%,17.1%,20.0%,15.0%
Accessory,Magazine,8.4%,11.2%,17.4%,14.1%,10.0%,0.3%
Accessory,Flower of Fate,2.7%,0.3%,2.8%,0.2%,28.3%,8.2%
Accessory,Revenge of Goujian,7.6%,6.9%,20.2%,7.1%,15.5%,4.2%
Accessory,Buccaneer Doubloon,2.5%,8.8%,10.9%,4.6%,19.4%,1.5%
Accessory,Hawkeye,2.9%,1.0%,10.3%,1.3%,0.0%,0.8%
Accessory,Feather Duster,0.0%,0.7%,0.0%,1.0%,0.0%,0.0%
