Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,20.1%,2.7%,33.1%,2.7%,41.1%,2.5%
Head,Crystal Tiara,6.7%,10.9%,14.6%,9.0%,23.5%,8.4%
Head,Motorcycle Helmet,1.5%,10.5%,5.1%,12.3%,11.4%,14.6%
Head,Tactical OPS Helmet,6.8%,11.7%,17.3%,10.0%,25.1%,9.3%
Head,Helm of Banneret,7.3%,1.8%,16.6%,2.4%,25.3%,2.6%
Head,Laurel Wreath,24.0%,3.6%,35.2%,3.7%,43.3%,3.4%
Head,Imperial Crown,5.1%,6.0%,16.5%,8.3%,25.0%,9.8%
Head,Imperial Burgonet,5.6%,8.6%,17.1%,8.7%,26.1%,9.7%
Head,Chinese Opera Mask,29.9%,1.8%,41.3%,1.5%,50.8%,1.4%
Head,Elysian Halo,31.2%,3.2%,44.6%,2.9%,50.2%,2.7%
Chest,Covert Agent Uniform,5.1%,0.2%,3.9%,0.2%,9.4%,0.2%
Chest,Sunset Armor,2.5%,3.2%,9.2%,3.7%,16.3%,4.2%
Chest,Optical Camouflage Suit,5.5%,12.3%,12.7%,12.7%,20.4%,11.1%
Chest,Rocker's Jacket,4.8%,3.5%,11.6%,3.6%,19.1%,3.7%
Chest,Mithril Armor,24.9%,3.6%,36.0%,3.1%,41.5%,3.0%
Chest,Crusader Armor,6.5%,10.4%,11.8%,10.4%,18.0%,10.2%
Chest,Amazoness Armor,5.5%,1.3%,15.9%,1.9%,22.3%,2.4%
Chest,Dragon Dobok,10.2%,6.5%,20.1%,4.3%,26.4%,3.8%
Chest,Butler's Suit,7.9%,9.6%,15.3%,7.5%,21.9%,6.7%
Chest,Battle Suit,7.2%,2.3%,15.3%,2.5%,23.1%,3.4%
Chest,Blazing Dress,24.3%,2.3%,32.8%,2.4%,40.6%,2.1%
Chest,EOD Suit,7.3%,3.3%,20.5%,3.1%,28.8%,4.3%
Chest,Commander's Armor,2.1%,5.0%,7.4%,6.4%,13.6%,7.3%
Chest,Kabana,11.1%,3.1%,28.2%,4.7%,38.8%,5.4%
Chest,Queen of Hearts,25.6%,0.5%,48.9%,0.8%,56.1%,1.0%
Arm,Sword Stopper,7.5%,1.8%,13.8%,2.6%,20.9%,2.9%
Arm,Draupnir,4.1%,6.8%,13.9%,7.6%,22.3%,9.0%
Arm,Creed of the Knight,5.4%,6.4%,11.8%,6.0%,20.2%,5.2%
Arm,Sheath of Shah Jahan,3.6%,10.7%,12.1%,10.5%,20.4%,11.7%
Arm,Cube Watch,9.1%,0.8%,19.5%,0.9%,26.9%,1.0%
Arm,Vital Sign Sensor,0.1%,2.7%,0.8%,2.2%,3.5%,2.1%
Arm,Burnished Aegis,5.1%,2.3%,15.4%,3.9%,22.5%,4.7%
Arm,Radar,13.8%,21.4%,23.8%,17.5%,31.3%,16.2%
Arm,Tindalos Band,4.4%,3.3%,15.6%,3.9%,23.4%,4.8%
Arm,Mithril Shield,17.0%,2.2%,30.7%,2.3%,38.3%,2.3%
Arm,Auto-arms,27.6%,1.9%,43.8%,2.0%,51.4%,1.8%
Arm,Bracelet of Skadi,16.2%,1.3%,36.6%,1.3%,45.7%,1.6%
Leg,Feather Boots,8.0%,15.6%,14.9%,13.3%,22.6%,12.2%
Leg,Maverick Runner,0.8%,0.7%,5.1%,0.9%,9.2%,1.1%
Leg,Straitjacket Sneakers,2.5%,8.3%,9.2%,10.5%,16.8%,12.8%
Leg,Mithril Boots,20.5%,1.4%,34.4%,1.4%,41.0%,1.3%
Leg,Bucephalus,5.6%,10.4%,12.5%,9.1%,20.9%,8.6%
Leg,EOD Boots,7.7%,2.9%,20.1%,3.3%,26.2%,4.2%
Leg,White Rhinos,5.7%,17.4%,11.8%,16.3%,17.9%,15.9%
Leg,Tachyon Brace,5.1%,3.1%,13.9%,3.7%,21.9%,4.0%
Leg,Glacial Shoes,10.6%,3.0%,27.5%,4.0%,38.7%,4.9%
Leg,Boots of Hermes,28.1%,2.7%,48.6%,2.5%,52.9%,2.3%
Leg,Red Shoes,40.1%,2.0%,52.8%,1.9%,56.8%,1.6%
Accessory,Laced Quiver,6.7%,9.6%,14.9%,9.3%,22.2%,8.9%
Accessory,Sniper Scope,1.3%,0.3%,1.9%,0.2%,9.8%,0.3%
Accessory,Uchiwa,5.5%,12.2%,12.4%,13.4%,19.8%,14.4%
Accessory,Schrödinger's Box,7.6%,5.8%,17.5%,7.2%,23.6%,8.2%
Accessory,Veritas Lux Mea,9.8%,5.3%,18.2%,3.4%,25.4%,3.6%
Accessory,Lunar Embrace,15.6%,0.5%,32.4%,0.6%,42.6%,0.9%
Accessory,Emerald Tablet,32.7%,1.4%,44.1%,1.1%,52.5%,1.0%
Accessory,Glacial Ice,4.0%,0.1%,19.4%,0.1%,22.9%,0.1%
Accessory,True Samadhi Fire,12.3%,0.1%,21.4%,0.1%,29.4%,0.1%
Accessory,Moonlight Pendant,21.9%,4.0%,32.3%,2.8%,37.5%,2.5%
Accessory,White Crane Fan,6.2%,7.6%,15.6%,8.4%,22.4%,8.6%
Accessory,Magazine,7.8%,8.0%,15.6%,9.5%,22.3%,10.2%
Accessory,Flower of Fate,1.0%,0.9%,3.1%,0.7%,8.1%,0.9%
Accessory,Revenge of Goujian,5.5%,2.1%,15.3%,2.8%,25.1%,3.1%
Accessory,Buccaneer Doubloon,6.5%,9.3%,14.3%,8.5%,21.1%,7.5%
Accessory,Feather Duster,0.0%,1.1%,0.4%,1.2%,1.5%,1.0%
