Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Solo MMR Efficiency,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Duo MMR Efficiency,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank,Squad MMR Efficiency
Base Win Rate,,5.6%,2.4%,0.9,9.5,11.1%,2.4%,1.0,5.1,16.6%,2.4%,1.0,3.6
Adriana,Throw,5.0%,2.0%,0.9,9.3,12.6%,2.6%,0.9,4.9,19.3%,3.6%,0.9,3.6
Adela,Rapier,5.0%,0.8%,0.8,8.8,13.6%,0.9%,0.8,4.9,18.3%,1.4%,0.9,3.5
Aya,Pistol,3.1%,2.5%,0.8,9.9,8.7%,2.2%,0.9,5.3,16.0%,2.6%,0.9,3.7
Aya,Assault Rifle,8.7%,3.9%,1.0,9.8,12.0%,3.5%,0.9,5.3,17.6%,3.7%,1.0,3.7
Aya,Sniper,3.1%,1.0%,0.9,9.4,9.3%,0.9%,0.9,5.1,16.5%,1.4%,1.0,3.6
Bernice,Sniper,4.3%,3.2%,0.9,10.2,11.2%,4.8%,1.1,5.2,18.0%,5.1%,1.1,3.6
Cathy,Dagger,6.2%,6.1%,1.1,9.5,11.8%,6.0%,1.1,5.0,18.4%,5.1%,1.1,3.5
Chiara,Rapier,5.0%,2.4%,1.0,8.7,12.3%,2.5%,0.9,4.8,17.1%,2.5%,0.8,3.6
Emma,Shuriken,3.8%,1.8%,0.7,9.3,11.4%,2.1%,0.8,5.1,13.8%,2.3%,0.7,3.7
Fiora,Rapier,9.3%,3.6%,1.1,9.1,13.9%,2.1%,1.2,4.8,19.8%,1.7%,1.2,3.5
Fiora,Spear,6.5%,0.6%,0.8,9.2,9.0%,0.5%,1.0,5.1,14.5%,0.5%,0.9,3.7
Fiora,Two-Handed Sword,8.6%,0.8%,1.0,9.3,10.2%,0.6%,1.0,5.2,21.7%,0.6%,1.3,3.4
Hart,Guitar,5.5%,5.0%,1.0,10.7,9.1%,3.4%,0.9,5.4,16.0%,3.7%,1.0,3.7
Hyejin,Bow,3.2%,1.5%,0.7,9.2,10.5%,2.2%,0.8,5.0,15.6%,2.3%,0.7,3.6
Hyejin,Shuriken,3.7%,0.2%,0.6,9.2,9.7%,0.2%,0.6,5.2,24.2%,0.3%,1.0,3.2
Hyunwoo,Tonfa,4.4%,1.2%,0.7,9.3,11.3%,1.7%,0.7,4.9,16.8%,2.1%,0.7,3.6
Hyunwoo,Glove,4.2%,3.8%,0.8,8.8,11.6%,4.8%,0.9,5.0,15.0%,4.1%,0.8,3.6
Isol,Assault Rifle,7.0%,2.5%,0.9,9.4,11.8%,3.5%,1.1,5.2,15.8%,3.3%,1.0,3.6
Isol,Pistol,6.3%,0.5%,0.7,8.3,11.7%,0.7%,1.0,4.6,14.9%,0.9%,0.9,3.5
Jackie,Axe,3.2%,0.4%,0.7,9.5,9.2%,0.6%,1.0,5.1,18.6%,0.6%,1.0,3.4
Jackie,Two-Handed Sword,5.2%,0.5%,0.6,9.0,11.5%,0.5%,0.9,4.9,18.4%,0.3%,1.1,3.6
Jackie,Dual Sword,7.5%,6.0%,1.0,9.0,9.8%,4.9%,1.0,5.1,15.9%,4.3%,1.1,3.5
Jackie,Dagger,4.9%,1.3%,0.7,9.4,10.4%,0.8%,1.0,4.9,13.4%,0.7%,0.9,3.8
Lenox,Whip,2.9%,1.3%,0.7,9.7,10.7%,2.7%,0.7,5.1,15.8%,3.2%,0.7,3.6
Li Dailin,Glove,4.1%,4.0%,1.0,9.1,11.1%,4.3%,1.1,4.9,17.1%,3.4%,1.2,3.5
Li Dailin,Nunchaku,3.0%,1.7%,1.0,9.3,10.8%,2.4%,1.1,5.1,16.5%,2.6%,1.1,3.6
Luke,Bat,7.6%,9.4%,1.1,9.6,11.2%,8.4%,1.1,5.1,14.6%,6.7%,1.1,3.7
Magnus,Bat,4.1%,0.4%,0.8,8.3,8.1%,0.5%,0.8,5.0,15.9%,0.6%,0.9,3.5
Magnus,Hammer,3.2%,0.6%,0.7,8.9,10.6%,1.0%,0.7,5.1,15.7%,1.6%,0.7,3.6
Nadine,Bow,6.4%,2.0%,0.9,9.9,10.2%,1.8%,1.0,5.3,17.6%,2.0%,1.0,3.6
Nadine,Crossbow,6.7%,0.8%,1.0,9.6,11.7%,0.6%,1.1,4.9,14.1%,0.6%,1.0,3.7
Rozzi,Pistol,4.7%,6.3%,1.0,10.2,11.2%,6.1%,1.2,5.2,16.7%,5.0%,1.2,3.6
Shoichi,Dagger,3.2%,3.2%,0.9,9.7,8.9%,2.2%,1.0,5.1,14.3%,2.1%,1.2,3.6
Silvia,Pistol,3.1%,1.6%,0.9,9.5,11.0%,1.6%,0.9,5.0,15.7%,1.7%,0.8,3.6
Sissela,Shuriken,3.2%,1.5%,0.8,10.4,9.6%,1.6%,0.9,5.3,14.2%,2.3%,0.8,3.7
Sissela,Throw,3.3%,0.9%,0.9,10.2,9.7%,0.8%,0.8,5.4,16.1%,1.1%,0.8,3.8
Xiukai,Spear,6.5%,1.8%,0.7,8.3,11.8%,1.3%,0.7,5.0,14.3%,1.5%,0.7,3.7
Xiukai,Dagger,5.3%,0.5%,0.6,8.5,13.2%,0.7%,0.8,4.7,18.0%,0.8%,0.7,3.6
Yuki,Two-Handed Sword,5.6%,7.4%,0.9,9.4,11.9%,6.1%,0.9,5.1,18.4%,5.1%,1.0,3.5
Yuki,Dual Sword,4.5%,3.8%,0.9,9.4,10.3%,4.4%,0.9,5.0,16.1%,4.4%,1.0,3.6
Zahir,Throw,7.2%,0.9%,1.0,9.1,12.5%,1.0%,1.0,4.8,18.5%,0.9%,1.0,3.5
Zahir,Shuriken,4.7%,0.4%,1.0,9.6,17.2%,0.6%,1.2,4.7,19.7%,0.9%,1.1,3.5
