Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,6.0%,22.4%,16.3%,18.0%,21.1%,17.1%
Adriana,Throw,Incendiary Bomb,5.2%,64.6%,13.2%,69.6%,20.7%,66.6%
Adriana,Throw,David's Sling,-9999900.0%,0.6%,-9999900.0%,0.6%,-9999900.0%,0.5%
Adriana,Throw,Grenade of Antioch,2.2%,1.0%,-9999900.0%,0.2%,-9999900.0%,0.3%
Adriana,Throw,Ruthenium Marble,9.2%,2.5%,11.9%,3.9%,21.0%,8.6%
Adela,Rapier,Durendal Mk2,7.4%,6.0%,-9999900.0%,3.7%,11.8%,5.7%
Adela,Rapier,Mistilteinn,5.9%,75.1%,18.0%,71.6%,23.0%,74.4%
Adela,Rapier,Volticletto,1.7%,2.9%,3.3%,9.0%,7.0%,3.6%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.3%,-9999900.0%,0.3%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,-9999900.0%,0.5%,-9999900.0%,0.1%,-9999900.0%,0.0%
Aya,Assault Rifle,AK-12,0.0%,1.3%,7.5%,1.7%,15.5%,1.8%
Aya,Assault Rifle,XCR,10.2%,1.7%,-9999900.0%,0.6%,-9999900.0%,0.7%
Aya,Assault Rifle,Type 95,0.0%,0.8%,1.9%,1.4%,-9999900.0%,1.0%
Aya,Assault Rifle,Agni,11.0%,77.5%,14.5%,80.1%,20.6%,82.2%
Aya,Pistol,Devil's Marksman,2.8%,44.3%,7.2%,51.4%,17.5%,51.2%
Aya,Pistol,Elegance,3.1%,26.3%,11.9%,23.6%,13.9%,28.0%
Aya,Pistol,Electron Blaster,1.3%,2.7%,4.0%,5.3%,-9999900.0%,1.4%
Aya,Pistol,Magnum-Boa,2.0%,4.1%,-9999900.0%,1.5%,14.3%,3.4%
Aya,Pistol,Kelte,20.8%,4.5%,49.4%,3.7%,56.7%,4.0%
Aya,Sniper Rifle,Tac-50,1.4%,20.8%,9.4%,17.1%,18.8%,16.5%
Aya,Sniper Rifle,Intervention,3.0%,11.0%,6.6%,12.1%,15.0%,19.0%
Aya,Sniper Rifle,NTW-20,1.6%,26.0%,9.1%,28.6%,14.4%,25.6%
Aya,Sniper Rifle,Polaris,1.8%,11.7%,10.0%,17.0%,9.7%,12.1%
Aya,Sniper Rifle,The Deadly Ray,12.4%,15.2%,21.4%,11.7%,40.1%,13.1%
Bernice,Sniper Rifle,Tac-50,5.4%,69.1%,13.0%,56.6%,20.0%,48.2%
Bernice,Sniper Rifle,Intervention,-9999900.0%,0.3%,-9999900.0%,0.2%,-9999900.0%,0.8%
Bernice,Sniper Rifle,NTW-20,-9999900.0%,0.2%,9.1%,0.8%,-9999900.0%,0.4%
Bernice,Sniper Rifle,Polaris,3.0%,19.2%,11.2%,31.9%,18.9%,41.8%
Bernice,Sniper Rifle,The Deadly Ray,-9999900.0%,0.1%,-9999900.0%,0.5%,-9999900.0%,0.2%
Cathy,Dagger,Carnwennan,2.8%,18.6%,9.8%,13.4%,13.5%,16.2%
Cathy,Dagger,Mount Slicer,0.0%,0.6%,-9999900.0%,0.1%,-9999900.0%,0.5%
Cathy,Dagger,Vibroblade,3.1%,55.0%,7.9%,59.6%,14.1%,51.4%
Cathy,Dagger,Damascus Steel Thorn,7.9%,7.5%,15.5%,9.0%,22.1%,14.1%
Cathy,Dagger,Fragarach,33.3%,10.2%,39.9%,10.8%,50.4%,11.4%
Chiara,Rapier,Durendal Mk2,3.6%,11.8%,7.6%,7.2%,14.2%,7.6%
Chiara,Rapier,Mistilteinn,5.9%,26.8%,16.5%,41.4%,24.4%,40.7%
Chiara,Rapier,Volticletto,5.2%,41.5%,12.3%,31.1%,15.8%,32.1%
Chiara,Rapier,Meteor Claymore,9.4%,1.4%,-9999900.0%,0.4%,-9999900.0%,0.4%
Chiara,Rapier,Joyeuse,16.3%,4.3%,34.6%,3.0%,-9999900.0%,1.8%
Emma,Shuriken,Cards of Tyranny,2.3%,10.0%,11.7%,9.3%,9.9%,8.3%
Emma,Shuriken,Mystic Jade Charm,5.6%,2.9%,5.4%,4.1%,16.7%,4.3%
Emma,Shuriken,Fuhma Shuriken,5.1%,37.8%,13.5%,35.9%,20.7%,30.3%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.1%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.8%,-9999900.0%,1.0%,-9999900.0%,0.2%
Emma,Shuriken,Flechette,1.5%,1.5%,-9999900.0%,0.6%,-9999900.0%,0.5%
Emma,Shuriken,Wind and Fire Wheels,3.4%,28.6%,12.4%,36.3%,12.2%,46.1%
Emma,Shuriken,Death Rune,-9999900.0%,0.8%,-9999900.0%,1.0%,-9999900.0%,0.5%
Emma,Shuriken,Sudarsana,23.8%,1.5%,-9999900.0%,0.7%,-9999900.0%,0.3%
Emma,Shuriken,Petal Torrent,-9999900.0%,0.8%,-9999900.0%,0.0%,-9999900.0%,0.4%
Fiora,Rapier,Durendal Mk2,5.3%,58.2%,9.1%,59.9%,15.6%,60.6%
Fiora,Rapier,Mistilteinn,9.3%,1.1%,-9999900.0%,0.4%,-9999900.0%,0.9%
Fiora,Rapier,Volticletto,9.0%,15.1%,16.7%,15.0%,18.7%,15.8%
Fiora,Rapier,Meteor Claymore,25.8%,5.3%,27.3%,3.9%,50.0%,3.0%
Fiora,Rapier,Joyeuse,28.3%,11.7%,36.9%,12.8%,42.7%,12.9%
Fiora,Spear,Gentian Silver Gun,1.8%,47.1%,3.8%,39.1%,11.7%,47.7%
Fiora,Spear,Eighteen Foot Spear,0.0%,6.9%,5.7%,11.7%,22.4%,16.2%
Fiora,Spear,Cosmic Bident,6.3%,5.7%,-9999900.0%,3.8%,-9999900.0%,1.2%
Fiora,Spear,Lance of Poseidon,-9999900.0%,1.1%,-9999900.0%,0.5%,-9999900.0%,1.0%
Fiora,Spear,Blazing Lance,17.9%,6.8%,-9999900.0%,4.2%,-9999900.0%,5.6%
Fiora,Spear,Fangtian Huaji,-9999900.0%,2.6%,-9999900.0%,1.5%,-9999900.0%,1.2%
Fiora,Spear,Dragon Guandao,2.0%,10.8%,4.3%,19.6%,8.9%,13.6%
Fiora,Spear,Spear of Longinus,47.3%,7.9%,53.1%,8.2%,-9999900.0%,5.8%
Fiora,Two Handed Sword,Thuận Thiên,0.7%,32.3%,4.0%,28.6%,11.7%,41.2%
Fiora,Two Handed Sword,Arondight,4.6%,10.7%,9.0%,12.6%,19.5%,7.9%
Fiora,Two Handed Sword,Excalibur,12.7%,3.0%,-9999900.0%,1.8%,-9999900.0%,3.8%
Fiora,Two Handed Sword,Plasma Sword,0.0%,4.1%,4.4%,7.3%,-9999900.0%,2.9%
Fiora,Two Handed Sword,Laevateinn,23.7%,18.1%,23.1%,18.9%,39.6%,18.5%
Fiora,Two Handed Sword,Monohoshizao,8.5%,8.3%,5.0%,9.7%,31.7%,7.9%
Fiora,Two Handed Sword,Hovud,11.3%,8.6%,12.3%,10.5%,23.1%,10.0%
Fiora,Two Handed Sword,Dáinsleif,44.6%,3.5%,-9999900.0%,1.9%,-9999900.0%,3.1%
Hart,Guitar,Bohemian,1.8%,2.4%,9.2%,4.1%,15.7%,6.0%
Hart,Guitar,Stairway to Heaven,3.8%,5.5%,6.2%,6.4%,13.5%,5.4%
Hart,Guitar,Purple Haze,2.7%,3.7%,7.3%,5.5%,15.6%,5.9%
Hart,Guitar,Satisfaction,4.3%,20.4%,9.0%,13.1%,17.4%,14.0%
Hart,Guitar,Wonderful Tonight,30.2%,7.8%,36.4%,4.7%,53.3%,5.3%
Hart,Guitar,The Wall,3.8%,44.9%,8.8%,48.8%,14.1%,43.9%
Hart,Guitar,Teen Spirit,6.4%,4.1%,11.3%,6.8%,16.2%,11.4%
Hyejin,Bow,Ancient Bolt,-9999900.0%,0.5%,-9999900.0%,0.5%,-9999900.0%,0.8%
Hyejin,Bow,Golden-Ratio Bow,0.0%,2.4%,7.3%,3.4%,12.9%,4.4%
Hyejin,Bow,Twinbow,4.6%,8.3%,4.6%,8.9%,14.7%,8.7%
Hyejin,Bow,Elemental Bow,3.8%,72.8%,13.0%,74.0%,18.7%,71.9%
Hyejin,Bow,Failnaught,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.3%
Hyejin,Shuriken,Cards of Tyranny,0.0%,8.8%,-9999900.0%,4.2%,-9999900.0%,5.6%
