Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.6%,,15.4%,,20.2%,
Adriana,Throw,Smoke Bomb,3.0%,22.4%,12.5%,17.0%,22.6%,14.0%
Adriana,Throw,Incendiary Bomb,3.7%,68.4%,13.8%,79.4%,16.3%,72.8%
Adriana,Throw,David's Sling,-9999900.0%,0.4%,-9999900.0%,0.0%,-9999900.0%,0.7%
Adriana,Throw,Grenade of Antioch,8.3%,2.4%,-9999900.0%,0.0%,-9999900.0%,5.5%
Adriana,Throw,Ruthenium Marble,-9999900.0%,1.5%,-9999900.0%,0.4%,-9999900.0%,2.5%
Adela,Rapier,Durendal Mk2,-9999900.0%,1.7%,-9999900.0%,0.7%,5.8%,12.6%
Adela,Rapier,Mistilteinn,10.2%,63.3%,24.2%,72.8%,28.6%,69.3%
Adela,Rapier,Volticletto,9.7%,10.5%,-9999900.0%,9.0%,-9999900.0%,5.3%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.2%,-9999900.0%,0.3%,-9999900.0%,0.2%
Adela,Rapier,Joyeuse,-9999900.0%,0.6%,-9999900.0%,2.4%,-9999900.0%,0.5%
Alex,Two-Handed Sword,Thuận Thiên,0.0%,4.2%,9.0%,30.7%,15.8%,14.2%
Alex,Two-Handed Sword,Arondight,-9999900.0%,1.1%,-9999900.0%,5.5%,8.7%,5.7%
Alex,Two-Handed Sword,Excalibur,-9999900.0%,0.1%,-9999900.0%,0.7%,10.3%,7.2%
Alex,Two-Handed Sword,Plasma Sword,-9999900.0%,0.2%,-9999900.0%,2.5%,-9999900.0%,1.0%
Alex,Two-Handed Sword,Laevateinn,-9999900.0%,1.0%,-9999900.0%,7.6%,40.0%,5.6%
Alex,Two-Handed Sword,Monohoshizao,6.8%,46.4%,24.4%,18.8%,31.5%,9.1%
Alex,Two-Handed Sword,Hovud,17.3%,5.9%,-9999900.0%,3.2%,17.8%,5.6%
Alex,Two-Handed Sword,Dáinsleif,37.3%,3.6%,-9999900.0%,2.7%,-9999900.0%,1.7%
Alex,Pistol,Devil's Marksman,-9999900.0%,0.4%,-9999900.0%,0.5%,-9999900.0%,0.1%
Alex,Pistol,Elegance,-9999900.0%,0.4%,-9999900.0%,3.2%,-9999900.0%,0.9%
Alex,Pistol,Electron Blaster,2.3%,10.6%,-9999900.0%,8.9%,24.6%,7.6%
Alex,Pistol,Magnum-Boa,-9999900.0%,1.0%,-9999900.0%,1.8%,-9999900.0%,1.2%
Alex,Pistol,Kelte,-9999900.0%,0.3%,-9999900.0%,0.7%,-9999900.0%,0.5%
Alex,Shuriken,Cards of Tyranny,-9999900.0%,1.7%,-9999900.0%,0.2%,-9999900.0%,0.4%
Alex,Shuriken,Mystic Jade Charm,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.1%
Alex,Shuriken,Fuhma Shuriken,-9999900.0%,0.1%,-9999900.0%,0.7%,-9999900.0%,0.0%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.5%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Flechette,-9999900.0%,1.3%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Wind and Fire Wheels,0.0%,2.7%,-9999900.0%,0.2%,-9999900.0%,0.1%
Alex,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Sudarsana,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Petal Torrent,-9999900.0%,0.1%,-9999900.0%,0.2%,-9999900.0%,0.5%
Alex,Tonfa,Tactical Tonfa,2.2%,2.7%,-9999900.0%,1.8%,-9999900.0%,0.1%
Alex,Tonfa,Mai Sok,-9999900.0%,0.0%,-9999900.0%,0.5%,-9999900.0%,1.1%
Alex,Tonfa,Plasma Tonfa,-9999900.0%,1.6%,-9999900.0%,2.3%,20.7%,32.0%
Aya,Assault Rifle,AK-12,0.0%,7.4%,-9999900.0%,1.3%,-9999900.0%,0.0%
Aya,Assault Rifle,XCR,13.2%,9.9%,-9999900.0%,10.3%,-9999900.0%,2.8%
Aya,Assault Rifle,Type 95,-9999900.0%,0.6%,-9999900.0%,0.0%,-9999900.0%,0.0%
Aya,Assault Rifle,Agni,7.5%,74.1%,17.5%,80.8%,19.2%,90.8%
Aya,Pistol,Devil's Marksman,3.7%,3.2%,14.6%,18.3%,20.4%,33.0%
Aya,Pistol,Elegance,1.6%,20.7%,8.7%,39.3%,13.9%,25.3%
Aya,Pistol,Electron Blaster,1.7%,3.5%,-9999900.0%,0.4%,-9999900.0%,0.3%
Aya,Pistol,Magnum-Boa,5.0%,57.2%,10.4%,29.4%,21.9%,30.8%
Aya,Pistol,Kelte,28.3%,7.5%,-9999900.0%,3.8%,-9999900.0%,3.2%
Aya,Sniper,Tac-50,-9999900.0%,3.1%,-9999900.0%,7.9%,-9999900.0%,23.9%
Aya,Sniper,Intervention,8.9%,25.6%,-9999900.0%,23.7%,-9999900.0%,16.3%
Aya,Sniper,NTW-20,2.5%,27.4%,-9999900.0%,42.1%,-9999900.0%,13.0%
Aya,Sniper,Polaris,1.1%,23.8%,-9999900.0%,3.9%,-9999900.0%,29.3%
Aya,Sniper,The Deadly Ray,16.2%,13.4%,-9999900.0%,11.8%,-9999900.0%,14.1%
Barbara,Bat,Statue of Soteria,-9999900.0%,0.2%,-9999900.0%,0.9%,-9999900.0%,0.0%
Barbara,Bat,Mallet,9.1%,6.2%,-9999900.0%,0.0%,-9999900.0%,0.4%
Barbara,Bat,Spy Umbrella,8.5%,63.1%,7.8%,71.3%,18.5%,79.3%
Barbara,Bat,Magic Stick,29.7%,18.1%,-9999900.0%,8.3%,53.7%,14.6%
Barbara,Bat,Monkey King Bar,-9999900.0%,0.5%,-9999900.0%,5.6%,-9999900.0%,0.0%
Bernice,Sniper,Tac-50,4.6%,86.8%,13.1%,76.1%,17.2%,60.4%
Bernice,Sniper,Intervention,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.3%
Bernice,Sniper,NTW-20,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Bernice,Sniper,Polaris,-9999900.0%,4.6%,13.0%,21.4%,19.3%,35.4%
Bernice,Sniper,The Deadly Ray,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Cathy,Dagger,Carnwennan,0.0%,4.4%,8.1%,21.9%,22.8%,20.5%
Cathy,Dagger,Mount Slicer,1.5%,9.8%,-9999900.0%,1.1%,-9999900.0%,0.9%
Cathy,Dagger,Vibroblade,1.7%,23.5%,7.5%,28.3%,16.9%,39.7%
Cathy,Dagger,Damascus Steel Thorn,3.6%,42.4%,16.0%,33.2%,29.3%,27.5%
Cathy,Dagger,Fragarach,17.7%,12.8%,58.3%,10.6%,-9999900.0%,6.0%
Chiara,Rapier,Durendal Mk2,3.1%,9.7%,-9999900.0%,1.3%,-9999900.0%,1.3%
Chiara,Rapier,Mistilteinn,6.5%,45.3%,34.5%,62.3%,27.7%,76.5%
