Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,21.1%,3.5%,32.3%,2.8%,38.5%,2.8%
Head,Crystal Tiara,4.6%,9.7%,12.6%,8.3%,19.7%,7.7%
Head,Motorcycle Helmet,0.9%,8.6%,4.3%,11.2%,8.6%,12.8%
Head,Tactical OPS Helmet,5.0%,13.8%,14.5%,11.5%,22.9%,10.4%
Head,Helm of Banneret,5.7%,2.3%,14.9%,2.3%,23.7%,2.5%
Head,Laurel Wreath,17.9%,2.2%,32.8%,2.3%,39.8%,2.4%
Head,Imperial Crown,6.9%,13.3%,17.9%,15.2%,26.1%,18.1%
Head,Imperial Burgonet,7.2%,8.1%,16.6%,8.0%,24.8%,8.4%
Head,Chinese Opera Mask,22.9%,1.2%,40.5%,1.1%,46.2%,1.1%
Head,Elysian Halo,31.9%,4.1%,49.0%,2.7%,55.7%,2.5%
Chest,Covert Agent Uniform,5.7%,0.4%,9.5%,0.2%,14.4%,0.3%
Chest,Sunset Armor,2.2%,3.3%,8.3%,3.5%,14.2%,4.0%
Chest,Optical Camouflage Suit,3.4%,8.7%,10.0%,9.6%,16.6%,9.5%
Chest,Rocker's Jacket,4.8%,8.7%,12.6%,7.1%,18.7%,7.4%
Chest,Mithril Armor,20.9%,4.8%,34.1%,3.6%,39.9%,3.8%
Chest,Crusader Armor,4.5%,6.3%,10.3%,7.3%,16.1%,7.1%
Chest,Amazoness Armor,5.3%,1.3%,13.9%,1.9%,21.4%,2.5%
Chest,Dragon Dobok,10.0%,10.2%,17.7%,6.8%,25.3%,5.6%
Chest,Butler's Suit,6.3%,7.5%,14.0%,6.5%,19.8%,6.1%
Chest,Battle Suit,5.8%,3.0%,14.7%,3.2%,21.4%,3.9%
Chest,Blazing Dress,21.7%,1.9%,31.8%,2.1%,39.4%,1.9%
Chest,EOD Suit,9.2%,4.6%,20.3%,4.2%,29.0%,4.9%
Chest,Commander's Armor,3.3%,4.8%,7.2%,6.4%,13.3%,7.6%
Chest,Kabana,14.6%,3.4%,29.8%,5.1%,38.3%,6.2%
Chest,Queen of Hearts,28.0%,0.9%,51.3%,0.9%,58.3%,1.1%
Arm,Sword Stopper,5.8%,1.4%,12.1%,2.4%,18.4%,3.1%
Arm,Draupnir,5.3%,6.8%,14.2%,7.7%,22.1%,8.8%
Arm,Creed of the Knight,4.9%,8.0%,11.8%,7.0%,18.9%,6.3%
Arm,Sheath of Shah Jahan,3.9%,14.5%,12.4%,14.2%,20.2%,14.6%
Arm,Cube Watch,11.6%,0.7%,20.2%,0.6%,29.2%,0.7%
Arm,Vital Sign Sensor,0.1%,1.9%,0.9%,1.9%,2.4%,1.6%
Arm,Burnished Aegis,5.4%,2.9%,14.6%,4.3%,22.1%,5.7%
Arm,Radar,11.6%,18.6%,21.2%,15.1%,28.4%,13.6%
Arm,Tindalos Band,5.8%,4.5%,16.1%,5.2%,24.2%,6.3%
Arm,Mithril Shield,16.4%,3.1%,30.4%,2.7%,38.5%,3.0%
Arm,Auto-arms,30.9%,1.7%,48.2%,1.4%,52.7%,1.4%
Arm,Bracelet of Skadi,21.3%,2.1%,40.3%,1.7%,48.8%,1.8%
Leg,Feather Boots,7.3%,16.0%,15.1%,14.1%,21.7%,13.5%
Leg,Maverick Runner,0.5%,0.3%,3.4%,0.4%,6.3%,0.5%
Leg,Straitjacket Sneakers,2.7%,9.7%,10.2%,13.3%,17.8%,15.9%
Leg,Mithril Boots,19.1%,1.8%,32.2%,1.4%,38.8%,1.5%
Leg,Bucephalus,4.4%,10.6%,11.2%,9.8%,17.6%,8.7%
Leg,EOD Boots,7.3%,2.5%,18.6%,3.2%,26.3%,3.7%
Leg,White Rhinos,4.7%,16.8%,10.3%,15.0%,16.0%,14.6%
Leg,Tachyon Brace,6.8%,8.1%,13.8%,6.6%,21.6%,6.8%
