Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,5.4%,24.3%,15.0%,20.5%,25.0%,18.7%
Adriana,Throw,Incendiary Bomb,5.6%,63.0%,12.3%,63.7%,19.7%,66.6%
Adriana,Throw,David's Sling,-9999900.0%,0.4%,-9999900.0%,0.5%,-9999900.0%,0.9%
Adriana,Throw,Grenade of Antioch,4.2%,1.0%,-9999900.0%,1.1%,-9999900.0%,0.4%
Adriana,Throw,Ruthenium Marble,10.3%,1.6%,9.8%,5.4%,18.7%,7.0%
Adela,Rapier,Durendal Mk2,1.9%,3.7%,-9999900.0%,3.5%,7.0%,5.5%
Adela,Rapier,Mistilteinn,6.5%,78.1%,13.4%,68.1%,24.5%,74.3%
Adela,Rapier,Volticletto,-9999900.0%,2.5%,9.8%,10.6%,24.5%,5.1%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,-9999900.0%,0.3%,-9999900.0%,0.4%,-9999900.0%,0.4%
Aya,Assault Rifle,AK-12,1.8%,3.0%,11.9%,2.9%,16.1%,3.1%
Aya,Assault Rifle,XCR,5.7%,1.6%,-9999900.0%,0.8%,-9999900.0%,0.8%
Aya,Assault Rifle,Type 95,0.0%,0.7%,-9999900.0%,1.1%,-9999900.0%,1.5%
Aya,Assault Rifle,Agni,9.8%,79.0%,15.7%,81.6%,19.7%,83.0%
Aya,Pistol,Devil's Marksman,3.0%,36.1%,8.8%,41.7%,18.1%,45.5%
Aya,Pistol,Elegance,3.8%,34.2%,11.6%,33.4%,16.7%,33.8%
Aya,Pistol,Electron Blaster,1.1%,1.9%,2.0%,5.0%,-9999900.0%,1.2%
Aya,Pistol,Magnum-Boa,5.1%,6.7%,12.0%,4.6%,12.3%,3.6%
Aya,Pistol,Kelte,23.4%,6.0%,42.7%,3.8%,61.0%,3.7%
Aya,Sniper Rifle,Tac-50,1.7%,14.8%,7.7%,16.8%,10.4%,17.7%
Aya,Sniper Rifle,Intervention,3.4%,20.2%,15.4%,19.6%,19.9%,22.1%
Aya,Sniper Rifle,NTW-20,3.2%,22.2%,5.7%,20.8%,17.7%,25.5%
