Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,18.7%,2.6%,32.1%,2.3%,42.6%,2.2%
Head,Crystal Tiara,5.3%,10.0%,13.6%,8.9%,21.9%,7.9%
Head,Motorcycle Helmet,1.2%,10.2%,4.8%,12.6%,10.5%,13.9%
Head,Tactical OPS Helmet,5.7%,12.2%,15.4%,9.3%,23.8%,9.1%
Head,Helm of Banneret,6.9%,2.2%,16.4%,2.3%,24.3%,2.8%
Head,Laurel Wreath,20.9%,2.7%,34.7%,2.9%,41.1%,2.9%
Head,Imperial Crown,7.9%,8.7%,17.4%,11.7%,25.7%,13.8%
Head,Imperial Burgonet,6.4%,7.9%,17.1%,7.9%,25.3%,9.2%
Head,Chinese Opera Mask,24.5%,1.6%,39.0%,1.5%,47.5%,1.3%
Head,Elysian Halo,28.7%,4.9%,44.9%,3.7%,49.3%,3.1%
Chest,Covert Agent Uniform,4.6%,0.2%,11.1%,0.2%,13.0%,0.1%
Chest,Sunset Armor,3.4%,3.9%,9.3%,4.7%,15.8%,4.9%
Chest,Optical Camouflage Suit,4.3%,10.5%,11.6%,10.9%,19.5%,10.1%
Chest,Rocker's Jacket,5.3%,4.4%,12.4%,4.7%,19.8%,4.2%
Chest,Mithril Armor,22.0%,4.1%,34.4%,3.5%,39.7%,3.0%
Chest,Crusader Armor,5.1%,9.1%,11.2%,8.8%,16.6%,8.8%
Chest,Amazoness Armor,6.2%,1.4%,14.2%,2.2%,22.2%,2.7%
Chest,Dragon Dobok,9.6%,7.7%,18.1%,4.6%,25.2%,3.7%
Chest,Butler's Suit,7.1%,8.9%,13.5%,7.3%,21.7%,6.8%
Chest,Battle Suit,7.0%,2.6%,16.6%,2.9%,22.3%,3.8%
Chest,Blazing Dress,23.1%,2.3%,33.6%,2.6%,38.4%,2.3%
Chest,EOD Suit,10.6%,4.0%,22.3%,3.9%,30.5%,4.3%
Chest,Commander's Armor,2.8%,4.3%,7.3%,6.0%,14.2%,7.9%
Chest,Kabana,14.6%,3.0%,31.0%,4.4%,40.3%,5.8%
Chest,Queen of Hearts,27.8%,0.7%,45.7%,0.9%,57.2%,1.0%
Arm,Sword Stopper,7.3%,2.0%,14.3%,2.8%,21.6%,3.5%
Arm,Draupnir,4.6%,6.5%,14.4%,7.7%,22.3%,9.1%
Arm,Creed of the Knight,4.8%,6.8%,11.3%,6.4%,18.9%,5.5%
Arm,Sheath of Shah Jahan,4.0%,12.2%,13.1%,11.6%,21.3%,11.6%
Arm,Cube Watch,10.1%,0.7%,22.5%,0.8%,24.5%,0.8%
Arm,Vital Sign Sensor,0.1%,2.2%,0.8%,2.0%,2.6%,1.8%
Arm,Burnished Aegis,6.3%,3.3%,15.4%,4.5%,22.2%,6.1%
Arm,Radar,12.0%,19.7%,21.6%,15.8%,30.3%,14.3%
Arm,Tindalos Band,6.5%,3.3%,16.2%,4.0%,24.5%,5.3%
Arm,Mithril Shield,16.2%,2.6%,29.7%,2.4%,37.8%,2.5%
Arm,Auto-arms,29.8%,2.1%,44.6%,2.1%,50.8%,2.0%
Arm,Bracelet of Skadi,22.8%,1.8%,41.6%,1.7%,49.0%,1.6%
Leg,Feather Boots,7.1%,15.2%,14.8%,13.2%,21.7%,12.3%
Leg,Maverick Runner,0.6%,0.6%,4.9%,0.7%,9.8%,0.9%
Leg,Straitjacket Sneakers,2.6%,8.8%,9.5%,11.6%,16.8%,13.5%
Leg,Mithril Boots,18.1%,1.7%,34.5%,1.4%,37.2%,1.4%
Leg,Bucephalus,4.7%,10.7%,12.2%,9.7%,19.4%,8.8%
Leg,EOD Boots,7.6%,2.8%,17.5%,3.4%,26.9%,4.6%
Leg,White Rhinos,4.9%,16.6%,10.3%,14.0%,17.0%,13.3%
Leg,Tachyon Brace,6.0%,3.9%,15.1%,4.7%,22.3%,4.8%
Leg,Glacial Shoes,16.4%,4.3%,31.9%,4.9%,40.4%,5.7%
Leg,Boots of Hermes,27.9%,2.5%,45.3%,2.3%,53.3%,2.4%
Leg,Red Shoes,37.9%,1.9%,51.5%,1.8%,57.5%,1.5%
Accessory,Laced Quiver,6.5%,9.7%,13.9%,8.9%,21.7%,8.9%
Accessory,Sniper Scope,1.3%,0.3%,3.8%,0.2%,8.9%,0.2%
Accessory,Uchiwa,5.6%,12.4%,12.2%,12.8%,19.3%,15.2%
Accessory,Schrödinger's Box,7.5%,5.3%,17.7%,7.8%,24.1%,8.2%
Accessory,Veritas Lux Mea,6.7%,5.6%,15.7%,2.9%,21.6%,3.1%
Accessory,Lunar Embrace,17.4%,0.5%,33.4%,0.7%,42.1%,0.9%
Accessory,Emerald Tablet,33.8%,1.3%,43.8%,1.0%,55.8%,0.9%
Accessory,Glacial Ice,3.1%,0.1%,5.2%,0.1%,25.0%,0.1%
Accessory,True Samadhi Fire,12.3%,0.1%,10.0%,0.1%,22.0%,0.1%
Accessory,Moonlight Pendant,18.6%,4.1%,29.0%,2.9%,35.1%,2.2%
Accessory,White Crane Fan,8.3%,9.0%,16.0%,9.5%,23.5%,10.2%
Accessory,Magazine,8.2%,9.0%,16.7%,10.6%,22.2%,10.6%
Accessory,Flower of Fate,1.3%,0.7%,3.6%,0.6%,6.8%,0.6%
Accessory,Revenge of Goujian,6.8%,2.4%,16.5%,3.3%,21.7%,3.6%
Accessory,Buccaneer Doubloon,5.4%,8.4%,12.5%,8.0%,19.8%,7.0%
Accessory,Feather Duster,0.0%,1.1%,0.2%,1.2%,1.0%,0.9%
