Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,0.0%,,0.0%,,0.0%,
Head,Mithril Helm,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Crystal Tiara,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Motorcycle Helmet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Tactical OPS Helmet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Helm of Banneret,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Laurel Wreath,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Imperial Crown,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Imperial Burgonet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Chinese Opera Mask,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Head,Elysian Halo,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Covert Agent Uniform,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Sunset Armor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Optical Camouflage Suit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Rocker's Jacket,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Mithril Armor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Crusader Armor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Amazoness Armor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Dragon Dobok,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Butler's Suit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Battle Suit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Blazing Dress,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,EOD Suit,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Commander's Armor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Kabana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Chest,Queen of Hearts,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Sword Stopper,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Draupnir,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Creed of the Knight,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Sheath of Shah Jahan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Cube Watch,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Vital Sign Sensor,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Burnished Aegis,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Radar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Tindalos Band,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Mithril Shield,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Auto-arms,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Arm,Bracelet of Skadi,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Feather Boots,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Maverick Runner,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Straitjacket Sneakers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Mithril Boots,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Bucephalus,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,EOD Boots,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,White Rhinos,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Tachyon Brace,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Glacial Shoes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Boots of Hermes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Leg,Red Shoes,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Laced Quiver,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Sniper Scope,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Uchiwa,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Schrödinger's Box,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Veritas Lux Mea,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Lunar Embrace,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Emerald Tablet,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Glacial Ice,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,True Samadhi Fire,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Moonlight Pendant,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,White Crane Fan,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Magazine,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Flower of Fate,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Revenge of Goujian,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Buccaneer Doubloon,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,Feather Duster,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
