Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,6.9%,20.1%,15.0%,16.9%,20.1%,13.4%
Adriana,Throw,Incendiary Bomb,5.9%,69.8%,13.2%,67.7%,19.2%,73.9%
Adriana,Throw,David's Sling,15.0%,0.9%,-9999900.0%,0.3%,-9999900.0%,0.6%
Adriana,Throw,Grenade of Antioch,-9999900.0%,0.7%,-9999900.0%,0.2%,-9999900.0%,0.3%
Adriana,Throw,Ruthenium Marble,2.4%,0.9%,11.9%,8.0%,15.2%,5.9%
Adela,Rapier,Durendal Mk2,2.4%,4.0%,12.7%,9.3%,-9999900.0%,3.3%
Adela,Rapier,Mistilteinn,7.7%,72.2%,17.2%,70.1%,21.1%,75.5%
Adela,Rapier,Volticletto,7.3%,5.4%,-9999900.0%,2.4%,-9999900.0%,3.0%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.4%,-9999900.0%,0.1%,-9999900.0%,0.1%
Adela,Rapier,Joyeuse,-9999900.0%,0.6%,-9999900.0%,0.4%,-9999900.0%,0.3%
Alex,Two-Handed Sword,Thuận Thiên,0.0%,4.1%,8.3%,3.2%,7.0%,2.9%
Alex,Two-Handed Sword,Arondight,1.2%,6.5%,8.1%,7.2%,8.1%,13.9%
Alex,Two-Handed Sword,Excalibur,5.8%,2.1%,-9999900.0%,1.5%,-9999900.0%,1.6%
Alex,Two-Handed Sword,Plasma Sword,0.7%,2.8%,2.6%,4.0%,-9999900.0%,2.1%
Alex,Two-Handed Sword,Laevateinn,11.3%,5.7%,25.0%,8.9%,28.1%,9.0%
Alex,Two-Handed Sword,Monohoshizao,3.2%,14.0%,13.2%,6.0%,18.4%,5.1%
Alex,Two-Handed Sword,Hovud,3.6%,4.5%,1.8%,3.0%,16.4%,3.7%
Alex,Two-Handed Sword,Dáinsleif,24.1%,1.6%,-9999900.0%,0.7%,-9999900.0%,1.3%
Alex,Pistol,Devil's Marksman,0.0%,1.8%,-9999900.0%,1.7%,-9999900.0%,1.7%
Alex,Pistol,Elegance,0.0%,2.7%,6.4%,2.5%,11.1%,3.0%
Alex,Pistol,Electron Blaster,1.0%,19.1%,4.1%,20.8%,8.0%,16.6%
Alex,Pistol,Magnum-Boa,1.5%,6.6%,5.2%,11.2%,10.8%,8.6%
Alex,Pistol,Kelte,2.2%,0.9%,-9999900.0%,1.4%,-9999900.0%,1.2%
Alex,Shuriken,Cards of Tyranny,0.9%,2.2%,0.0%,2.2%,-9999900.0%,2.0%
Alex,Shuriken,Mystic Jade Charm,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Fuhma Shuriken,-9999900.0%,0.5%,-9999900.0%,0.7%,-9999900.0%,1.0%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.2%,-9999900.0%,0.4%,-9999900.0%,0.3%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.3%,-9999900.0%,0.8%,-9999900.0%,0.1%
Alex,Shuriken,Flechette,0.0%,1.1%,-9999900.0%,0.7%,-9999900.0%,1.3%
Alex,Shuriken,Wind and Fire Wheels,-9999900.0%,0.2%,-9999900.0%,0.7%,-9999900.0%,1.2%
Alex,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.0%
Alex,Shuriken,Sudarsana,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Petal Torrent,-9999900.0%,0.6%,-9999900.0%,1.1%,-9999900.0%,0.8%
Alex,Tonfa,Tactical Tonfa,2.6%,2.3%,7.4%,2.9%,4.9%,2.7%
Alex,Tonfa,Mai Sok,-9999900.0%,0.4%,-9999900.0%,1.0%,-9999900.0%,0.1%
Alex,Tonfa,Plasma Tonfa,0.0%,3.0%,4.7%,4.5%,4.3%,6.2%
Aya,Assault Rifle,AK-12,1.7%,1.7%,12.9%,4.4%,-9999900.0%,1.9%
Aya,Assault Rifle,XCR,16.5%,3.0%,-9999900.0%,0.9%,-9999900.0%,1.1%
Aya,Assault Rifle,Type 95,-9999900.0%,0.4%,-9999900.0%,0.4%,-9999900.0%,2.8%
Aya,Assault Rifle,Agni,8.3%,80.5%,15.6%,80.1%,21.6%,85.7%
Aya,Pistol,Devil's Marksman,3.0%,30.7%,9.4%,44.8%,16.1%,45.3%
Aya,Pistol,Elegance,3.3%,24.8%,11.3%,24.3%,15.6%,28.3%
Aya,Pistol,Electron Blaster,3.0%,3.5%,-9999900.0%,0.7%,-9999900.0%,1.5%
Aya,Pistol,Magnum-Boa,3.9%,21.2%,8.9%,13.4%,21.2%,8.0%
Aya,Pistol,Kelte,26.4%,6.2%,41.8%,4.7%,58.0%,5.3%
Aya,Sniper,Tac-50,2.5%,12.5%,13.8%,14.1%,9.2%,9.8%
Aya,Sniper,Intervention,1.7%,17.8%,10.2%,21.4%,16.9%,37.9%
Aya,Sniper,NTW-20,3.0%,20.4%,5.7%,17.2%,12.7%,22.8%
Aya,Sniper,Polaris,2.0%,15.5%,6.6%,23.0%,21.5%,9.3%
Aya,Sniper,The Deadly Ray,15.2%,18.2%,26.0%,10.9%,27.9%,8.6%
Barbara,Bat,Statue of Soteria,1.9%,3.6%,6.3%,3.0%,14.1%,9.3%
Barbara,Bat,Mallet,-9999900.0%,0.6%,-9999900.0%,0.9%,-9999900.0%,0.7%
Barbara,Bat,Spy Umbrella,10.7%,70.6%,15.6%,76.4%,20.3%,72.9%
Barbara,Bat,Magic Stick,33.2%,7.3%,40.0%,3.8%,35.7%,2.8%
Barbara,Bat,Monkey King Bar,33.1%,2.3%,-9999900.0%,0.8%,-9999900.0%,1.4%
Bernice,Sniper,Tac-50,6.3%,74.7%,12.5%,63.7%,20.9%,55.0%
Bernice,Sniper,Intervention,-9999900.0%,0.4%,-9999900.0%,1.1%,15.6%,3.9%
Bernice,Sniper,NTW-20,-9999900.0%,0.1%,-9999900.0%,0.4%,-9999900.0%,0.5%
Bernice,Sniper,Polaris,4.2%,16.5%,11.3%,25.9%,15.1%,32.8%
Bernice,Sniper,The Deadly Ray,-9999900.0%,0.1%,-9999900.0%,0.4%,-9999900.0%,0.8%
Cathy,Dagger,Carnwennan,2.3%,15.1%,9.2%,18.9%,14.1%,20.0%
Cathy,Dagger,Mount Slicer,5.4%,1.8%,-9999900.0%,1.0%,-9999900.0%,1.1%
Cathy,Dagger,Vibroblade,1.4%,27.4%,6.4%,38.2%,9.9%,29.3%
Cathy,Dagger,Damascus Steel Thorn,4.7%,35.7%,15.7%,26.5%,24.9%,35.0%
Cathy,Dagger,Fragarach,22.9%,8.4%,39.8%,7.0%,42.1%,5.9%
Chiara,Rapier,Durendal Mk2,2.7%,12.4%,13.5%,5.9%,13.7%,7.3%
Chiara,Rapier,Mistilteinn,7.1%,32.2%,14.6%,35.2%,23.8%,47.8%
Chiara,Rapier,Volticletto,4.1%,37.0%,10.2%,41.4%,16.9%,28.1%
Chiara,Rapier,Meteor Claymore,6.0%,1.3%,-9999900.0%,1.0%,-9999900.0%,0.3%
Chiara,Rapier,Joyeuse,15.1%,2.9%,-9999900.0%,1.6%,-9999900.0%,2.2%
Emma,Shuriken,Cards of Tyranny,6.8%,9.4%,8.3%,13.1%,19.8%,9.8%
Emma,Shuriken,Mystic Jade Charm,3.6%,4.1%,9.7%,4.4%,-9999900.0%,2.4%
Emma,Shuriken,Fuhma Shuriken,8.4%,49.2%,13.6%,40.7%,18.5%,39.2%
