Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,18.9%,2.8%,32.1%,2.4%,39.7%,2.3%
Head,Crystal Tiara,4.6%,9.9%,12.8%,9.3%,20.1%,8.3%
Head,Motorcycle Helmet,0.8%,8.7%,4.3%,11.5%,9.7%,13.6%
Head,Tactical OPS Helmet,5.3%,13.0%,15.6%,10.7%,24.6%,9.3%
Head,Helm of Banneret,5.6%,2.3%,13.7%,2.3%,23.0%,2.3%
Head,Laurel Wreath,17.8%,2.4%,35.3%,2.8%,41.4%,2.6%
Head,Imperial Crown,7.4%,10.4%,17.6%,11.4%,27.0%,14.8%
Head,Imperial Burgonet,7.1%,7.7%,16.5%,7.9%,25.6%,8.5%
Head,Chinese Opera Mask,22.6%,1.4%,38.2%,1.4%,47.7%,1.3%
Head,Elysian Halo,28.2%,5.8%,43.4%,4.1%,50.9%,3.4%
Chest,Covert Agent Uniform,6.0%,0.4%,8.9%,0.2%,11.7%,0.2%
Chest,Sunset Armor,2.6%,3.5%,10.1%,3.7%,14.6%,4.5%
Chest,Optical Camouflage Suit,3.2%,8.7%,10.5%,10.7%,16.2%,8.8%
Chest,Rocker's Jacket,5.3%,6.8%,11.3%,5.0%,20.9%,6.5%
Chest,Mithril Armor,20.9%,4.2%,33.2%,3.4%,39.8%,3.4%
Chest,Crusader Armor,4.2%,7.6%,11.3%,8.4%,17.0%,8.0%
Chest,Amazoness Armor,5.7%,1.2%,11.4%,1.7%,22.7%,2.4%
Chest,Dragon Dobok,10.0%,9.5%,20.1%,6.1%,25.5%,5.1%
Chest,Butler's Suit,6.6%,8.7%,13.7%,7.8%,21.2%,6.9%
Chest,Battle Suit,6.4%,2.6%,16.2%,2.7%,24.4%,4.0%
Chest,Blazing Dress,22.6%,2.0%,32.6%,2.7%,37.9%,1.9%
Chest,EOD Suit,11.5%,5.0%,22.2%,4.1%,31.8%,5.3%
Chest,Commander's Armor,2.9%,4.1%,7.0%,5.5%,14.7%,6.4%
Chest,Kabana,15.4%,2.9%,31.2%,4.3%,40.2%,4.9%
Chest,Queen of Hearts,29.2%,0.8%,47.9%,0.9%,59.1%,1.0%
Arm,Sword Stopper,4.9%,1.6%,12.3%,2.9%,18.8%,3.3%
Arm,Draupnir,4.8%,6.2%,14.0%,7.0%,22.3%,7.9%
Arm,Creed of the Knight,4.7%,8.2%,12.0%,7.2%,18.7%,5.9%
Arm,Sheath of Shah Jahan,3.9%,13.8%,11.9%,12.7%,22.6%,13.4%
Arm,Cube Watch,10.7%,0.6%,16.9%,0.6%,32.3%,0.6%
Arm,Vital Sign Sensor,0.1%,2.1%,1.1%,2.0%,3.1%,1.7%
Arm,Burnished Aegis,5.6%,2.6%,16.3%,4.3%,25.7%,5.7%
Arm,Radar,12.1%,18.0%,22.3%,16.1%,29.2%,13.8%
Arm,Tindalos Band,6.8%,4.2%,17.2%,4.0%,24.5%,5.9%
Arm,Mithril Shield,16.3%,2.9%,32.0%,2.4%,37.1%,2.5%
Arm,Auto-arms,27.2%,2.4%,42.6%,2.1%,50.4%,1.8%
Arm,Bracelet of Skadi,25.4%,1.8%,42.0%,1.3%,50.5%,1.5%
Leg,Feather Boots,6.4%,15.8%,15.0%,13.9%,22.4%,13.9%
Leg,Maverick Runner,0.8%,0.6%,4.3%,0.8%,8.0%,0.8%
Leg,Straitjacket Sneakers,2.3%,8.5%,9.6%,10.2%,17.2%,12.6%
Leg,Mithril Boots,18.6%,1.9%,29.7%,1.5%,37.9%,1.3%
Leg,Bucephalus,4.4%,10.9%,11.5%,10.0%,18.0%,8.3%
Leg,EOD Boots,7.4%,2.7%,19.5%,3.6%,28.3%,4.0%
Leg,White Rhinos,4.6%,16.8%,10.9%,15.8%,17.1%,13.8%
Leg,Tachyon Brace,7.2%,5.3%,14.3%,4.4%,23.6%,6.0%
Leg,Glacial Shoes,17.0%,4.4%,32.1%,4.6%,41.4%,5.6%
Leg,Boots of Hermes,28.0%,2.1%,45.9%,1.9%,53.9%,1.9%
Leg,Red Shoes,37.5%,2.2%,50.2%,1.9%,55.0%,1.4%
Accessory,Laced Quiver,6.1%,9.3%,14.3%,9.1%,21.1%,9.0%
Accessory,Sniper Scope,1.2%,0.4%,3.4%,0.2%,11.2%,0.5%
Accessory,Uchiwa,4.9%,11.8%,11.4%,12.7%,19.0%,13.8%
Accessory,Schrödinger's Box,7.6%,4.6%,16.9%,7.4%,25.5%,8.7%
Accessory,Veritas Lux Mea,5.9%,5.6%,15.3%,3.5%,20.8%,3.1%
Accessory,Lunar Embrace,15.9%,0.5%,32.8%,0.6%,36.8%,0.7%
Accessory,Emerald Tablet,34.1%,1.6%,44.7%,1.3%,52.2%,1.0%
Accessory,Glacial Ice,2.4%,0.0%,12.2%,0.1%,29.2%,0.1%
Accessory,True Samadhi Fire,5.4%,0.1%,18.9%,0.1%,37.8%,0.1%
Accessory,Moonlight Pendant,18.5%,4.8%,29.5%,3.0%,34.6%,2.5%
Accessory,White Crane Fan,8.3%,10.5%,16.1%,9.1%,24.2%,9.7%
Accessory,Magazine,7.9%,8.7%,16.5%,10.8%,22.5%,10.6%
Accessory,Flower of Fate,1.4%,0.6%,3.7%,0.7%,4.8%,0.7%
Accessory,Revenge of Goujian,6.6%,5.2%,16.6%,4.5%,27.4%,5.0%
Accessory,Buccaneer Doubloon,4.5%,7.0%,10.7%,7.0%,16.2%,5.8%
Accessory,Feather Duster,0.0%,1.1%,0.5%,1.2%,0.9%,1.0%
