Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.6%,,15.5%,,19.6%,
Adriana,Throw,Smoke Bomb,4.2%,23.4%,23.4%,14.3%,15.7%,18.7%
Adriana,Throw,Incendiary Bomb,4.4%,61.2%,14.0%,78.5%,20.6%,74.3%
Adriana,Throw,David's Sling,-9999900.0%,0.1%,-9999900.0%,0.2%,-9999900.0%,0.1%
Adriana,Throw,Grenade of Antioch,-9999900.0%,3.5%,-9999900.0%,0.4%,-9999900.0%,0.8%
Adriana,Throw,Ruthenium Marble,9.1%,7.2%,-9999900.0%,3.4%,23.9%,4.2%
Adela,Rapier,Durendal Mk2,-9999900.0%,0.4%,-9999900.0%,0.5%,-9999900.0%,1.9%
Adela,Rapier,Mistilteinn,5.7%,24.2%,-9999900.0%,14.7%,30.3%,25.8%
Adela,Rapier,Volticletto,2.6%,38.0%,14.5%,34.9%,21.7%,30.2%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.1%,-9999900.0%,2.8%,-9999900.0%,0.2%
Adela,Rapier,Joyeuse,-9999900.0%,4.8%,-9999900.0%,1.4%,-9999900.0%,2.1%
Adela,Rapier,Red Panther,3.7%,23.5%,28.4%,40.4%,13.2%,33.6%
Alex,Two-Handed Sword,Thuận Thiên,-9999900.0%,1.2%,-9999900.0%,2.9%,24.9%,12.6%
Alex,Two-Handed Sword,Arondight,-9999900.0%,1.5%,4.1%,9.5%,13.0%,6.6%
Alex,Two-Handed Sword,Excalibur,-9999900.0%,0.8%,34.0%,6.9%,15.0%,10.1%
Alex,Two-Handed Sword,Plasma Sword,0.0%,3.1%,0.0%,7.2%,11.8%,3.4%
Alex,Two-Handed Sword,Aurora Longsword,2.5%,5.4%,13.3%,7.8%,13.3%,3.0%
Alex,Two-Handed Sword,Laevateinn,-9999900.0%,1.2%,-9999900.0%,3.7%,-9999900.0%,1.7%
Alex,Two-Handed Sword,Monohoshizao,9.6%,49.3%,15.6%,28.4%,27.0%,12.1%
Alex,Two-Handed Sword,Hovud,-9999900.0%,0.5%,-9999900.0%,2.6%,-9999900.0%,1.7%
Alex,Two-Handed Sword,Dáinsleif,24.6%,2.6%,52.2%,6.0%,-9999900.0%,1.8%
Alex,Pistol,Devil's Marksman,-9999900.0%,0.3%,-9999900.0%,1.0%,-9999900.0%,0.1%
Alex,Pistol,Elegance,-9999900.0%,0.6%,-9999900.0%,0.0%,-9999900.0%,0.4%
Alex,Pistol,Electron Blaster,3.6%,10.2%,13.7%,9.5%,26.3%,8.1%
Alex,Pistol,Magnum-Boa,-9999900.0%,0.5%,-9999900.0%,0.1%,-9999900.0%,0.5%
Alex,Pistol,Kelte,-9999900.0%,0.7%,-9999900.0%,0.8%,-9999900.0%,0.3%
Alex,Shuriken,Cards of Tyranny,-9999900.0%,0.2%,-9999900.0%,0.3%,-9999900.0%,0.1%
Alex,Shuriken,Mystic Jade Charm,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.1%
Alex,Shuriken,Fuhma Shuriken,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.1%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Flechette,7.4%,2.5%,-9999900.0%,0.3%,-9999900.0%,0.8%
Alex,Shuriken,Wind and Fire Wheels,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
