Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.3%,,14.7%,,18.4%,
Adriana,Throw,Smoke Bomb,5.6%,43.2%,15.1%,31.3%,18.6%,27.1%
Adriana,Throw,Incendiary Bomb,5.9%,34.3%,13.0%,42.7%,18.8%,57.6%
Adriana,Throw,David's Sling,0.0%,4.7%,0.0%,2.1%,0.0%,4.0%
Adriana,Throw,Grenade of Antioch,0.0%,3.0%,0.0%,1.9%,0.0%,0.4%
Adriana,Throw,Ruthenium Marble,0.0%,2.6%,18.2%,13.6%,0.0%,2.2%
Aya,Assault Rifle,AK-12,0.0%,0.4%,0.0%,8.5%,0.0%,8.9%
Aya,Assault Rifle,XCR,13.6%,71.8%,32.5%,54.6%,0.0%,19.0%
Aya,Assault Rifle,Gatling Gun,1.4%,13.4%,0.0%,17.7%,23.3%,57.5%
Aya,Pistol,Devil's Marksman,4.5%,41.5%,13.0%,55.2%,18.7%,70.1%
Aya,Pistol,Elegance,4.4%,39.0%,12.5%,23.6%,11.0%,13.3%
Aya,Pistol,Electron Blaster,0.0%,0.8%,0.0%,3.3%,0.0%,0.7%
Aya,Pistol,Magnum-Boa,0.0%,1.0%,0.0%,0.4%,15.5%,4.8%
Aya,Pistol,Kelte,21.1%,8.1%,0.0%,7.6%,44.0%,4.1%
Aya,Sniper Rifle,Tac-50,2.6%,20.1%,0.0%,12.0%,26.0%,8.1%
Aya,Sniper Rifle,Intervention,5.7%,6.9%,0.0%,3.2%,25.5%,5.4%
Aya,Sniper Rifle,NTW-20,3.4%,34.4%,7.8%,35.6%,16.2%,43.5%
Aya,Sniper Rifle,Polaris,0.9%,13.9%,6.3%,29.2%,13.2%,24.6%
Aya,Sniper Rifle,The Deadly Ray,17.2%,19.0%,0.0%,13.9%,45.4%,12.5%
Chiara,Rapier,Durendal Mk2,1.7%,30.0%,0.0%,3.2%,17.9%,12.4%
Chiara,Rapier,Mistilteinn,10.8%,13.7%,20.5%,42.0%,29.3%,40.7%
Chiara,Rapier,Volticletto,3.6%,34.4%,14.6%,34.5%,22.4%,32.7%
Chiara,Rapier,Meteor Claymore,0.0%,1.3%,0.0%,0.6%,0.0%,0.3%
Chiara,Rapier,Joyeuse,10.4%,10.4%,0.0%,7.8%,0.0%,3.5%
Emma,Shuriken,Cards of Tyranny,2.1%,8.5%,0.0%,0.4%,0.0%,1.3%
