Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,21.5%,3.5%,32.8%,2.7%,41.0%,2.6%
Head,Crystal Tiara,6.9%,11.6%,15.1%,10.0%,21.9%,8.5%
Head,Motorcycle Helmet,1.8%,8.1%,6.1%,10.3%,11.1%,11.9%
Head,Tactical OPS Helmet,7.6%,12.2%,16.6%,10.4%,25.1%,9.1%
Head,Helm of Banneret,12.0%,2.3%,19.9%,2.2%,26.9%,2.3%
Head,Laurel Wreath,17.8%,3.1%,30.4%,2.6%,38.5%,2.3%
Head,Imperial Crown,7.2%,9.2%,17.2%,13.3%,25.4%,16.8%
Head,Imperial Burgonet,9.2%,12.8%,20.9%,11.3%,30.0%,11.7%
Head,Chinese Opera Mask,24.0%,1.1%,36.8%,1.0%,44.5%,0.9%
Chest,Covert Agent Uniform,7.3%,0.3%,9.8%,0.3%,14.3%,0.3%
Chest,Sunset Armor,3.1%,5.3%,10.5%,5.4%,16.4%,6.4%
Chest,Optical Camouflage Suit,5.3%,13.5%,12.7%,12.4%,19.6%,11.1%
Chest,Rocker's Jacket,3.6%,3.4%,10.8%,3.9%,17.6%,4.4%
Chest,Mithril Armor,20.0%,2.3%,30.5%,1.9%,37.6%,2.1%
Chest,Crusader Armor,7.5%,5.1%,12.2%,5.6%,18.0%,5.5%
Chest,Amazoness Armor,9.4%,2.2%,16.0%,2.8%,24.1%,3.5%
Chest,Dragon Dobok,8.7%,7.7%,18.9%,5.6%,25.2%,4.6%
Chest,Butler's Suit,8.6%,7.1%,13.4%,5.3%,20.0%,4.6%
Chest,Battle Suit,9.6%,2.3%,16.7%,3.2%,23.8%,3.9%
Chest,Blazing Dress,21.4%,0.6%,34.1%,0.6%,41.4%,0.5%
Chest,EOD Suit,12.2%,5.8%,22.9%,4.5%,31.8%,4.8%
Chest,Commander's Armor,3.4%,7.1%,9.8%,8.3%,16.9%,8.7%
Chest,Kabana,16.4%,3.2%,32.5%,4.7%,41.6%,5.5%
Chest,Queen of Hearts,26.9%,1.5%,49.0%,1.7%,57.6%,2.0%
Arm,Sword Stopper,11.1%,4.2%,15.4%,4.1%,21.8%,4.0%
Arm,Draupnir,5.9%,9.0%,15.1%,9.0%,23.2%,10.2%
Arm,Creed of the Knight,4.7%,8.0%,12.8%,7.6%,19.0%,6.5%
Arm,Sheath of Shah Jahan,3.7%,8.5%,11.4%,8.4%,18.9%,8.5%
Arm,Cube Watch,10.5%,3.0%,18.1%,2.7%,25.1%,2.5%
Arm,Vital Sign Sensor,0.6%,1.8%,2.0%,1.6%,4.4%,1.4%
Arm,Burnished Aegis,5.4%,3.7%,16.0%,6.1%,24.4%,7.9%
Arm,Radar,11.5%,11.7%,20.7%,8.5%,28.7%,7.5%
Arm,Tindalos Band,6.3%,5.3%,16.6%,5.5%,24.9%,6.4%
Arm,Mithril Shield,15.7%,3.0%,28.1%,3.1%,38.0%,3.2%
Arm,Auto Arms,25.1%,2.5%,42.2%,2.4%,48.6%,2.6%
Arm,Bracelet of Skadi,19.9%,2.9%,39.7%,2.6%,48.6%,2.7%
Leg,Feather Boots,7.2%,10.1%,12.5%,8.4%,20.1%,7.5%
Leg,Maverick Runner,0.9%,2.0%,4.2%,2.5%,9.0%,3.1%
Leg,Straitjacket Sneakers,4.0%,12.7%,11.1%,14.3%,18.8%,16.8%
Leg,Mithril Boots,16.7%,1.1%,27.1%,1.0%,35.8%,1.1%
Leg,Bucephalus,4.3%,11.6%,12.2%,10.8%,18.5%,9.7%
Leg,EOD Boots,9.6%,3.4%,18.5%,3.7%,27.6%,4.7%
Leg,White Rhinos,5.9%,14.8%,11.9%,13.5%,18.6%,12.2%
Leg,Glacial Shoes,13.3%,5.8%,30.2%,7.0%,40.4%,7.7%
Leg,Boots of Hermes,26.9%,4.3%,45.5%,3.5%,53.2%,3.4%
Leg,Red Shoes,28.5%,1.8%,46.1%,1.5%,52.2%,1.3%
Accessory,Laced Quiver,5.9%,9.5%,13.9%,9.5%,20.7%,8.6%
Accessory,Sniper Scope,1.8%,1.1%,5.1%,0.7%,9.7%,0.7%
Accessory,Uchiwa,5.0%,14.9%,12.8%,15.9%,19.9%,15.8%
Accessory,Schrodinger's Box,9.6%,6.8%,19.3%,8.4%,27.6%,10.3%
Accessory,Veritas Lux Mea,8.2%,5.8%,16.6%,3.9%,24.1%,3.5%
Accessory,Emerald Tablet,23.9%,1.5%,40.8%,1.3%,47.1%,1.0%
Accessory,Glacial Ice,5.6%,0.1%,8.6%,0.1%,16.4%,0.2%
Accessory,True Samadhi Fire,7.4%,0.1%,23.4%,0.1%,21.7%,0.1%
Accessory,Moonlight Pendant,16.3%,3.8%,26.4%,2.4%,33.4%,2.1%
Accessory,White Crane Fan,8.1%,10.0%,17.2%,9.7%,24.7%,10.4%
Accessory,Magazine,9.0%,11.6%,15.6%,11.0%,22.2%,11.4%
Accessory,Flower of Fate,1.2%,1.1%,4.5%,1.0%,7.8%,0.9%
Accessory,Buccaneer Doubloon,6.7%,1.9%,16.3%,2.8%,25.6%,3.3%
Accessory,Revenge of Goujin,4.4%,2.4%,10.7%,2.0%,17.4%,1.8%
Accessory,Feather Duster,0.0%,1.3%,0.3%,1.4%,0.9%,1.1%
