Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,5.3%,45.0%,13.5%,34.5%,20.9%,30.7%
Adriana,Throw,Incendiary Bomb,4.8%,28.0%,13.3%,37.0%,16.2%,43.8%
Adriana,Throw,David's Sling,6.5%,4.4%,12.2%,3.5%,18.0%,3.9%
Adriana,Throw,Grenade of Antioch,4.3%,3.1%,15.9%,1.9%,20.7%,1.0%
Adriana,Throw,Ruthenium Marble,4.7%,4.8%,12.4%,10.1%,22.8%,8.5%
Aya,Assault Rifle,AK-12,2.4%,13.0%,7.8%,23.7%,15.5%,33.0%
Aya,Assault Rifle,XCR,11.8%,50.3%,16.7%,31.9%,24.0%,27.7%
Aya,Assault Rifle,Gatling Gun,5.3%,19.5%,11.4%,25.7%,19.1%,23.4%
Aya,Pistol,Devil's Marksman,6.1%,54.4%,12.9%,65.7%,18.8%,67.8%
Aya,Pistol,Elegance,5.2%,22.9%,11.9%,14.3%,16.4%,13.8%
Aya,Pistol,Electron Blaster,1.9%,1.5%,9.0%,1.8%,17.3%,1.8%
Aya,Pistol,Magnum-Boa,3.9%,1.9%,15.5%,1.6%,16.5%,2.3%
Aya,Pistol,Kelte,25.3%,4.5%,42.6%,3.8%,48.3%,3.7%
Aya,Sniper Rifle,Tac-50,3.2%,9.7%,9.7%,6.1%,18.8%,6.6%
Aya,Sniper Rifle,Intervention,4.0%,3.2%,14.9%,2.5%,20.7%,4.5%
Aya,Sniper Rifle,NTW-20,3.7%,42.8%,8.8%,38.4%,16.6%,38.1%
Aya,Sniper Rifle,Polaris,2.6%,18.0%,6.9%,28.2%,12.8%,28.2%
Aya,Sniper Rifle,The Deadly Ray,16.8%,12.5%,26.5%,12.2%,34.4%,11.9%
Chiara,Rapier,Durendal Mk2,4.1%,26.8%,11.9%,15.5%,16.8%,14.0%
Chiara,Rapier,Mistilteinn,8.0%,16.5%,15.7%,23.8%,25.7%,30.3%
Chiara,Rapier,Volticletto,3.8%,37.7%,10.5%,41.8%,15.5%,37.6%
Chiara,Rapier,Meteor Claymore,15.4%,0.9%,-9999900.0%,0.4%,-9999900.0%,0.3%
Chiara,Rapier,Joyeuse,17.5%,5.9%,36.6%,3.4%,36.1%,3.4%
