Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank
Base Win Rate,,5.6%,2.9%,0.9,9.5,0.0%,11.1%,0.0,1.0,490.0%,0.0%,0.2,0.0
Adriana,Throw,4.3%,1.3%,0.9,9.6,-80.0%,11.6%,0.0,0.8,470.0%,20.0%,0.2,0.0
Aya,Pistol,5.7%,4.8%,1.0,10.0,10.0%,12.2%,0.0,1.1,480.0%,40.0%,0.2,0.0
Aya,Assault Rifle,7.2%,1.6%,0.8,9.0,-90.0%,10.2%,0.0,0.8,480.0%,-150.0%,0.2,0.0
Aya,Sniper,4.6%,2.5%,1.0,9.8,70.0%,9.6%,0.0,1.0,490.0%,-80.0%,0.2,0.0
Chiara,Rapier,5.0%,3.7%,1.0,9.4,30.0%,11.4%,0.0,0.9,480.0%,0.0%,0.2,0.0
Emma,Shuriken,6.6%,3.0%,0.8,9.4,-80.0%,12.1%,0.0,0.9,490.0%,-20.0%,0.2,0.0
Fiora,Rapier,6.0%,4.2%,1.0,9.8,-20.0%,12.3%,0.0,1.1,480.0%,60.0%,0.2,0.0
Fiora,Spear,6.7%,1.6%,1.0,8.9,190.0%,11.7%,0.0,1.1,480.0%,90.0%,0.2,0.0
Fiora,Two-Handed Sword,6.9%,1.1%,1.0,8.9,100.0%,10.2%,0.0,1.0,480.0%,10.0%,0.2,0.0
Hart,Guitar,5.7%,2.5%,1.0,10.3,-20.0%,11.6%,0.0,1.1,490.0%,-40.0%,0.2,0.0
Hyejin,Bow,4.9%,2.8%,0.9,9.7,-40.0%,11.7%,0.0,0.8,490.0%,-10.0%,0.2,0.0
Hyejin,Shuriken,5.2%,0.4%,0.9,9.0,10.0%,13.6%,0.0,0.9,480.0%,60.0%,0.2,0.0
Hyunwoo,Tonfa,6.0%,1.1%,0.8,8.9,-60.0%,12.3%,0.0,0.8,480.0%,10.0%,0.2,0.0
Hyunwoo,Glove,8.4%,3.9%,0.8,8.0,100.0%,11.6%,0.0,0.8,470.0%,40.0%,0.2,0.0
Isol,Assault Rifle,6.9%,1.8%,0.9,8.7,60.0%,11.3%,0.0,1.1,470.0%,40.0%,0.2,0.0
Isol,Pistol,7.6%,0.9%,0.9,8.4,70.0%,11.7%,0.0,1.0,460.0%,40.0%,0.2,0.0
Jackie,Axe,3.7%,1.1%,0.8,8.9,-110.0%,10.6%,0.0,1.1,480.0%,-20.0%,0.2,0.0
Jackie,Two-Handed Sword,7.9%,0.5%,0.7,8.1,-40.0%,11.0%,0.0,1.0,480.0%,-10.0%,0.1,0.0
Jackie,Dual Sword,5.6%,3.9%,0.9,9.4,-40.0%,8.7%,0.0,0.9,500.0%,-200.0%,0.2,0.0
Jackie,Dagger,7.7%,3.4%,0.9,8.4,120.0%,10.5%,0.0,1.0,470.0%,10.0%,0.1,0.0
Lenox,Whip,4.9%,2.1%,0.9,9.4,10.0%,12.1%,0.0,0.9,490.0%,80.0%,0.2,0.1
Li Dailin,Glove,4.8%,2.5%,0.9,8.6,70.0%,10.5%,0.0,1.0,470.0%,80.0%,0.2,0.0
Li Dailin,Nunchaku,4.1%,2.9%,1.0,9.2,50.0%,11.2%,0.0,1.1,480.0%,40.0%,0.2,0.0
Luke,Bat,4.7%,8.4%,1.0,10.3,-20.0%,8.7%,0.1,1.0,510.0%,-120.0%,0.1,0.1
Magnus,Bat,6.3%,0.4%,0.8,7.4,140.0%,9.3%,0.0,0.8,460.0%,70.0%,0.2,0.0
Magnus,Hammer,5.7%,1.3%,0.9,8.4,70.0%,11.9%,0.0,0.9,470.0%,100.0%,0.2,0.0
Nadine,Bow,7.5%,2.3%,0.9,10.0,-60.0%,12.4%,0.0,1.1,490.0%,-50.0%,0.2,0.0
Nadine,Crossbow,6.5%,1.3%,1.1,10.0,40.0%,9.9%,0.0,1.0,500.0%,-180.0%,0.2,0.0
Rozzi,Pistol,4.9%,6.2%,1.0,10.3,-20.0%,11.4%,0.1,1.2,500.0%,60.0%,0.2,0.0
Shoichi,Dagger,3.7%,5.6%,1.0,9.8,-20.0%,11.3%,0.0,1.1,480.0%,80.0%,0.2,0.0
Silvia,Pistol,4.3%,2.0%,1.0,10.0,-40.0%,9.4%,0.0,0.9,490.0%,-50.0%,0.2,0.0
Sissela,Shuriken,5.6%,2.5%,0.9,10.2,-100.0%,10.8%,0.0,0.9,500.0%,-110.0%,0.2,0.0
Sissela,Throw,4.6%,0.8%,0.9,9.6,-60.0%,10.2%,0.0,0.8,490.0%,-90.0%,0.2,0.0
Xiukai,Spear,7.0%,2.1%,0.8,9.5,-160.0%,11.0%,0.0,0.8,500.0%,-220.0%,0.2,0.0
Xiukai,Dagger,7.0%,1.4%,0.8,9.0,-110.0%,10.7%,0.0,0.7,490.0%,-160.0%,0.2,0.0
Yuki,Two-Handed Sword,5.5%,7.5%,0.9,9.3,50.0%,12.6%,0.1,1.0,470.0%,130.0%,0.2,0.1
Yuki,Dual Sword,4.1%,3.1%,0.8,9.2,-40.0%,10.8%,0.0,1.0,480.0%,10.0%,0.2,0.0
Zahir,Throw,4.4%,0.3%,0.9,10.6,-260.0%,14.9%,0.0,1.1,480.0%,80.0%,0.2,0.0
Zahir,Shuriken,5.3%,1.2%,1.1,9.6,130.0%,12.0%,0.0,1.0,480.0%,20.0%,0.2,0.0
*MMR Efficiency: Average value of MMR change against all other characters/weapon combinations. (Average MMR gain of character/weapon - Overall average gained MMR),,0.0%,0.0%,0.0,0.0,0.0%,0.0%,0.0,0.0,0.0%,0.0%,0.0,0.0
