Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,6.3%,,14.7%,,18.4%,
Head,Mithril Helm,19.7%,4.8%,36.4%,3.8%,37.2%,3.1%
Head,Crystal Tiara,5.7%,9.6%,18.5%,7.6%,20.2%,5.4%
Head,Motorcycle Helmet,1.3%,9.0%,7.2%,12.6%,9.7%,14.8%
Head,Tactical OPS Helmet,7.1%,13.4%,23.0%,8.5%,27.7%,7.3%
Head,Helm of Banneret,14.3%,3.4%,21.5%,2.2%,29.7%,2.4%
Head,Laurel Wreath,19.4%,3.1%,32.2%,3.0%,33.1%,2.3%
Head,Imperial Crown,6.9%,8.6%,21.0%,16.5%,28.2%,22.4%
Head,Imperial Burgonet,10.4%,17.9%,25.0%,14.4%,32.1%,13.1%
Head,Chinese Opera Mask,19.9%,1.2%,39.2%,1.3%,42.0%,0.8%
Chest,Covert Agent Uniform,5.4%,0.3%,5.8%,0.3%,11.3%,0.2%
Chest,Sunset Armor,2.9%,8.5%,11.2%,8.9%,14.3%,11.0%
Chest,Optical Camouflage Suit,4.5%,14.8%,14.4%,12.8%,19.6%,8.5%
Chest,Rocker's Jacket,3.1%,3.4%,10.9%,4.0%,14.5%,4.3%
Chest,Mithril Armor,17.1%,4.1%,38.7%,2.8%,36.2%,3.1%
Chest,Crusader Armor,8.9%,5.3%,15.2%,7.1%,15.9%,5.2%
Chest,Amazoness Armor,12.2%,2.0%,18.7%,3.7%,26.9%,6.0%
Chest,Dragon Dobok,8.0%,8.3%,21.2%,4.7%,23.5%,4.0%
Chest,Butler's Suit,7.7%,6.1%,17.9%,3.2%,19.2%,3.8%
Chest,Battle Suit,11.6%,2.1%,21.1%,3.6%,26.3%,4.3%
Chest,Blazing Dress,25.0%,0.5%,46.8%,0.5%,42.5%,0.3%
Chest,EOD Suit,12.7%,10.4%,28.8%,7.9%,35.2%,7.6%
Chest,Commander's Armor,3.1%,4.4%,11.1%,5.3%,17.7%,6.3%
Chest,Kabana,16.6%,2.6%,38.5%,4.3%,43.1%,5.5%
Chest,Queen of Hearts,27.0%,1.9%,52.2%,2.8%,56.7%,2.9%
Arm,Sword Stopper,12.6%,4.8%,19.6%,4.2%,19.8%,3.1%
Arm,Draupnir,5.2%,9.4%,16.0%,7.5%,21.5%,9.6%
Arm,Creed of the Knight,3.2%,8.1%,15.3%,7.1%,15.3%,4.5%
Arm,Sheath of Shah Jahan,3.3%,9.0%,12.8%,8.5%,19.8%,8.4%
Arm,Cube Watch,10.4%,3.1%,25.1%,2.7%,25.2%,2.4%
Arm,Vital Sign Sensor,0.7%,1.3%,1.7%,1.4%,3.5%,0.9%
Arm,Burnished Aegis,4.9%,4.2%,20.5%,9.1%,24.8%,12.0%
Arm,Radar,11.7%,12.9%,26.7%,7.3%,28.2%,6.2%
Arm,Tindalos Band,7.1%,6.0%,20.1%,8.1%,27.5%,8.1%
Arm,Mithril Shield,15.0%,4.4%,32.2%,4.1%,37.8%,4.7%
Arm,Auto Arms,19.5%,3.1%,43.1%,2.8%,47.9%,3.3%
Arm,Bracelet of Skadi,21.2%,4.6%,43.0%,4.1%,51.3%,4.2%
Leg,Feather Boots,7.6%,8.7%,15.6%,7.8%,21.2%,6.9%
Leg,Maverick Runner,1.6%,2.4%,3.5%,2.4%,10.8%,3.6%
Leg,Straitjacket Sneakers,3.6%,15.3%,13.1%,16.9%,19.9%,20.6%
Leg,Mithril Boots,13.2%,1.4%,34.7%,1.3%,33.6%,1.4%
Leg,Bucephalus,3.3%,13.1%,13.1%,11.6%,16.8%,8.7%
Leg,EOD Boots,10.6%,4.1%,15.6%,3.3%,25.8%,5.5%
Leg,White Rhinos,5.5%,14.3%,15.0%,10.5%,18.8%,8.9%
Leg,Glacial Shoes,13.1%,5.1%,35.7%,7.7%,42.9%,8.5%
Leg,Boots of Hermes,24.9%,8.3%,47.8%,7.0%,52.4%,5.3%
Leg,Red Shoes,22.7%,2.3%,51.4%,2.0%,49.4%,1.3%
Accessory,Laced Quiver,5.1%,8.4%,17.9%,8.2%,18.4%,6.7%
Accessory,Sniper Scope,1.0%,1.3%,4.5%,0.7%,6.0%,0.7%
Accessory,Uchiwa,3.4%,12.4%,14.4%,12.1%,18.8%,13.0%
Accessory,Schrodinger's Box,12.0%,8.6%,27.2%,11.2%,31.7%,15.9%
Accessory,Veritas Lux Mea,8.9%,5.1%,17.8%,3.9%,21.9%,2.2%
Accessory,Emerald Tablet,20.0%,1.2%,50.3%,1.1%,45.8%,0.6%
Accessory,Glacial Ice,10.3%,0.1%,10.0%,0.1%,13.5%,0.1%
Accessory,True Samadhi Fire,6.7%,0.0%,14.3%,0.0%,30.0%,0.0%
Accessory,Moonlight Pendant,13.9%,5.8%,29.4%,2.8%,29.4%,2.3%
Accessory,White Crane Fan,9.2%,12.7%,20.7%,11.4%,26.3%,11.9%
Accessory,Magazine,9.6%,15.6%,19.6%,16.0%,25.1%,13.8%
Accessory,Flower of Fate,0.2%,1.0%,3.2%,0.7%,5.2%,0.7%
Accessory,Buccaneer Doubloon,8.4%,2.2%,21.4%,2.5%,29.8%,2.9%
Accessory,Revenge of Goujin,4.2%,2.0%,11.4%,1.6%,17.7%,1.4%
Accessory,Feather Duster,0.0%,1.4%,0.0%,1.4%,1.5%,0.8%
