Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,22.9%,3.1%,34.1%,2.7%,40.5%,2.6%
Head,Crystal Tiara,7.4%,11.0%,15.1%,9.6%,22.9%,8.7%
Head,Motorcycle Helmet,2.1%,8.7%,6.3%,10.4%,11.1%,10.8%
Head,Tactical OPS Helmet,8.5%,14.1%,17.3%,11.9%,25.3%,10.5%
Head,Helm of Banneret,9.9%,2.3%,17.6%,2.5%,26.0%,2.7%
Head,Laurel Wreath,17.4%,2.6%,30.5%,2.2%,39.1%,2.1%
Head,Imperial Crown,7.0%,8.0%,16.5%,12.0%,24.9%,15.0%
Head,Imperial Burgonet,7.9%,12.2%,19.6%,11.7%,28.2%,12.6%
Head,Chinese Opera Mask,29.6%,1.4%,40.7%,1.3%,44.2%,1.2%
Chest,Covert Agent Uniform,7.8%,0.3%,7.6%,0.2%,13.1%,0.2%
Chest,Sunset Armor,2.9%,4.2%,9.2%,4.2%,15.6%,5.4%
Chest,Optical Camouflage Suit,5.4%,14.4%,12.9%,14.1%,19.7%,12.5%
Chest,Rocker's Jacket,4.3%,3.2%,11.3%,3.9%,18.4%,4.1%
Chest,Mithril Armor,23.4%,3.1%,33.3%,2.6%,38.4%,2.6%
Chest,Crusader Armor,6.4%,6.2%,11.6%,6.1%,17.2%,5.8%
Chest,Amazoness Armor,7.4%,1.7%,14.4%,2.6%,23.9%,3.3%
Chest,Dragon Dobok,10.1%,7.8%,18.3%,5.4%,25.2%,4.8%
Chest,Butler's Suit,8.5%,7.5%,13.3%,5.4%,20.1%,4.8%
Chest,Battle Suit,8.0%,2.4%,16.1%,3.1%,23.5%,3.7%
Chest,Blazing Dress,22.6%,0.7%,34.0%,0.6%,42.5%,0.5%
Chest,EOD Suit,9.8%,4.6%,21.9%,4.3%,29.3%,4.8%
Chest,Commander's Armor,3.9%,7.4%,10.0%,8.6%,16.3%,9.2%
Chest,Kabana,15.9%,3.1%,31.2%,4.9%,40.8%,5.8%
Chest,Queen of Hearts,25.4%,1.0%,47.8%,1.4%,57.6%,1.6%
Arm,Sword Stopper,8.3%,3.3%,14.2%,3.9%,20.4%,3.9%
Arm,Draupnir,5.7%,8.3%,15.1%,9.2%,23.3%,10.6%
Arm,Creed of the Knight,5.0%,7.4%,12.2%,7.0%,18.7%,6.7%
Arm,Sheath of Shah Jahan,3.6%,9.5%,11.0%,9.7%,18.7%,9.6%
Arm,Cube Watch,8.3%,2.0%,15.6%,2.0%,22.1%,2.1%
Arm,Vital Sign Sensor,0.2%,1.8%,1.1%,1.6%,4.1%,1.4%
Arm,Burnished Aegis,5.5%,3.0%,14.8%,4.5%,22.9%,5.6%
Arm,Radar,12.3%,16.1%,21.2%,12.3%,29.4%,10.6%
Arm,Tindalos Band,6.5%,4.5%,16.4%,5.0%,25.1%,6.4%
Arm,Mithril Shield,15.8%,2.7%,28.7%,2.8%,36.4%,2.8%
Arm,Auto-arms,25.8%,2.5%,41.8%,2.4%,48.9%,2.4%
Arm,Bracelet of Skadi,18.1%,2.4%,39.1%,2.2%,49.1%,2.4%
Leg,Feather Boots,6.9%,12.1%,12.4%,9.9%,19.3%,8.7%
Leg,Maverick Runner,1.0%,1.5%,4.9%,1.9%,8.7%,2.2%
Leg,Straitjacket Sneakers,3.5%,10.7%,10.6%,13.5%,18.0%,16.1%
Leg,Mithril Boots,18.3%,1.1%,27.7%,1.0%,34.2%,1.1%
Leg,Bucephalus,4.8%,11.1%,11.9%,10.7%,18.8%,9.8%
Leg,EOD Boots,9.7%,3.0%,17.2%,2.9%,27.2%,3.4%
Leg,White Rhinos,6.0%,17.0%,11.4%,15.2%,17.7%,13.4%
Leg,Tachyon Brace,6.6%,2.8%,13.6%,2.9%,21.8%,3.4%
Leg,Glacial Shoes,11.6%,4.6%,30.0%,6.1%,40.2%,6.9%
Leg,Boots of Hermes,26.7%,3.4%,45.4%,3.1%,51.7%,3.1%
Leg,Red Shoes,33.8%,1.9%,47.8%,1.7%,54.2%,1.6%
Accessory,Laced Quiver,5.8%,8.9%,12.7%,8.6%,20.5%,8.3%
Accessory,Sniper Scope,1.1%,0.7%,5.9%,0.5%,9.0%,0.6%
Accessory,Uchiwa,5.6%,15.4%,13.0%,16.7%,20.2%,17.1%
Accessory,Schrödinger's Box,8.2%,5.4%,18.3%,7.4%,25.8%,8.9%
Accessory,Veritas Lux Mea,8.3%,5.8%,15.3%,4.0%,21.7%,3.5%
Accessory,Lunar Embrace,18.5%,0.5%,36.5%,0.8%,41.9%,1.0%
Accessory,Emerald Tablet,25.9%,1.3%,40.9%,1.1%,49.4%,1.0%
Accessory,Glacial Ice,4.1%,0.1%,13.2%,0.1%,15.8%,0.1%
Accessory,True Samadhi Fire,7.5%,0.1%,15.2%,0.1%,29.5%,0.1%
Accessory,Moonlight Pendant,18.4%,3.4%,26.8%,2.2%,33.1%,1.9%
Accessory,White Crane Fan,7.5%,9.2%,16.7%,9.5%,23.5%,10.4%
Accessory,Magazine,8.3%,10.0%,15.4%,10.1%,21.7%,10.3%
Accessory,Flower of Fate,1.2%,0.8%,3.6%,0.8%,7.4%,0.7%
Accessory,Revenge of Goujian,6.8%,2.0%,15.9%,2.5%,23.8%,2.9%
Accessory,Buccaneer Doubloon,7.6%,6.6%,13.6%,5.7%,20.1%,4.8%
Accessory,Feather Duster,0.0%,1.2%,0.3%,1.1%,0.9%,1.0%
