Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.4%,,12.4%,,18.1%,
Adriana,Throw,Smoke Bomb,5.4%,34.0%,13.5%,26.3%,21.5%,29.3%
Adriana,Throw,Incendiary Bomb,4.7%,52.4%,15.0%,62.1%,20.0%,55.1%
Adriana,Throw,David's Sling,-9999900.0%,0.5%,-9999900.0%,0.3%,-9999900.0%,0.7%
Adriana,Throw,Grenade of Antioch,-9999900.0%,0.5%,-9999900.0%,2.4%,-9999900.0%,0.7%
Adriana,Throw,Ruthenium Marble,-9999900.0%,4.0%,-9999900.0%,1.1%,31.3%,7.0%
Adela,Rapier,Durendal Mk2,2.5%,39.2%,-9999900.0%,13.4%,-9999900.0%,7.1%
Adela,Rapier,Mistilteinn,7.4%,19.6%,13.7%,61.4%,14.4%,75.1%
Adela,Rapier,Volticletto,4.0%,16.4%,-9999900.0%,5.4%,-9999900.0%,10.4%
Adela,Rapier,Meteor Claymore,-9999900.0%,6.0%,-9999900.0%,1.0%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,15.0%,9.7%,-9999900.0%,3.7%,-9999900.0%,0.7%
Aya,Assault Rifle,AK-12,-9999900.0%,0.0%,-9999900.0%,6.3%,-9999900.0%,21.7%
Aya,Assault Rifle,XCR,12.2%,71.9%,25.0%,40.3%,-9999900.0%,31.7%
Aya,Assault Rifle,Gatling Gun,-9999900.0%,16.9%,8.6%,36.5%,-9999900.0%,31.7%
Aya,Pistol,Devil's Marksman,3.5%,35.3%,9.4%,61.2%,15.1%,67.3%
Aya,Pistol,Elegance,5.3%,45.5%,8.2%,25.2%,21.4%,12.6%
Aya,Pistol,Electron Blaster,-9999900.0%,1.6%,-9999900.0%,0.8%,-9999900.0%,0.5%
Aya,Pistol,Magnum-Boa,-9999900.0%,0.8%,-9999900.0%,1.3%,-9999900.0%,7.4%
Aya,Pistol,Kelte,17.0%,8.5%,-9999900.0%,3.9%,-9999900.0%,5.9%
Aya,Sniper Rifle,Tac-50,1.4%,19.1%,-9999900.0%,22.0%,-9999900.0%,14.7%
Aya,Sniper Rifle,Intervention,-9999900.0%,11.6%,-9999900.0%,4.2%,-9999900.0%,16.5%
Aya,Sniper Rifle,NTW-20,1.6%,35.5%,3.6%,39.3%,12.3%,21.0%
Aya,Sniper Rifle,Polaris,-9999900.0%,11.6%,-9999900.0%,12.6%,9.2%,32.0%
Aya,Sniper Rifle,The Deadly Ray,7.1%,15.5%,-9999900.0%,13.1%,-9999900.0%,7.4%
Cathy,Dagger,Carnwennan,0.0%,10.5%,6.9%,20.8%,7.7%,10.6%
Cathy,Dagger,Mount Slicer,-9999900.0%,1.2%,-9999900.0%,0.0%,-9999900.0%,1.2%
Cathy,Dagger,Vibroblade,1.3%,65.7%,6.3%,63.1%,13.6%,72.0%
Cathy,Dagger,Fragarach,22.8%,20.9%,36.6%,13.5%,40.9%,13.5%
Chiara,Rapier,Durendal Mk2,2.1%,22.4%,10.0%,6.2%,-9999900.0%,10.1%
Chiara,Rapier,Mistilteinn,9.3%,27.0%,20.0%,26.8%,17.9%,41.0%
Chiara,Rapier,Volticletto,2.1%,29.1%,11.9%,48.3%,11.3%,32.4%
Chiara,Rapier,Meteor Claymore,-9999900.0%,2.3%,-9999900.0%,0.7%,-9999900.0%,0.0%
Chiara,Rapier,Joyeuse,11.5%,10.4%,30.6%,7.7%,-9999900.0%,3.4%
Emma,Shuriken,Cards of Tyranny,-9999900.0%,2.3%,-9999900.0%,1.9%,-9999900.0%,0.2%
Emma,Shuriken,Mystic Jade Charm,-9999900.0%,1.1%,13.9%,19.4%,-9999900.0%,6.0%
Emma,Shuriken,Fuhma Shuriken,17.0%,40.7%,18.0%,22.1%,17.3%,18.1%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.3%,-9999900.0%,1.0%,-9999900.0%,1.0%
Emma,Shuriken,Flechette,1.4%,6.5%,-9999900.0%,0.6%,5.0%,14.5%
Emma,Shuriken,Wind and Fire Wheels,10.0%,32.1%,11.6%,42.2%,13.5%,46.4%
Emma,Shuriken,Death Rune,-9999900.0%,1.7%,-9999900.0%,0.1%,-9999900.0%,0.7%
Emma,Shuriken,Sudarsana,-9999900.0%,0.9%,-9999900.0%,2.6%,-9999900.0%,1.0%
Emma,Shuriken,Petal Torrent,-9999900.0%,0.4%,-9999900.0%,0.5%,-9999900.0%,2.2%
Fiora,Rapier,Durendal Mk2,2.7%,57.9%,7.7%,57.9%,11.8%,60.3%
Fiora,Rapier,Mistilteinn,-9999900.0%,0.3%,-9999900.0%,0.0%,-9999900.0%,0.0%
Fiora,Rapier,Volticletto,3.7%,13.6%,9.7%,8.9%,-9999900.0%,4.8%
Fiora,Rapier,Meteor Claymore,14.4%,5.8%,39.6%,7.6%,-9999900.0%,3.0%
Fiora,Rapier,Joyeuse,17.4%,16.4%,31.6%,21.7%,40.7%,29.2%
Fiora,Spear,Gentian Silver Gun,0.6%,43.2%,4.3%,28.7%,-9999900.0%,44.2%
Fiora,Spear,Eighteen Foot Spear,-9999900.0%,3.1%,5.8%,35.2%,-9999900.0%,15.4%
Fiora,Spear,Cosmic Bident,10.5%,21.2%,-9999900.0%,4.9%,-9999900.0%,9.6%
Fiora,Spear,Lance of Poseidon,-9999900.0%,0.3%,-9999900.0%,0.4%,-9999900.0%,0.0%
Fiora,Spear,Blazing Lance,-9999900.0%,6.1%,-9999900.0%,6.6%,-9999900.0%,7.7%
Fiora,Spear,Fangtian Huaji,-9999900.0%,0.0%,-9999900.0%,0.8%,-9999900.0%,0.0%
Fiora,Spear,Dragon Guandao,-9999900.0%,1.9%,-9999900.0%,0.8%,-9999900.0%,5.8%
Fiora,Spear,Spear of Longinus,24.7%,20.3%,-9999900.0%,16.8%,-9999900.0%,11.5%
