Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,6.4%,,12.4%,,18.1%,
Head,Mithril Helm,21.5%,4.1%,34.5%,3.1%,40.4%,3.1%
Head,Crystal Tiara,6.2%,9.1%,15.6%,7.5%,21.0%,6.7%
Head,Motorcycle Helmet,1.2%,8.7%,4.8%,11.5%,8.3%,14.3%
Head,Tactical OPS Helmet,7.6%,14.7%,18.8%,10.3%,28.2%,8.1%
Head,Helm of Banneret,15.0%,2.3%,17.7%,2.2%,27.8%,2.6%
Head,Laurel Wreath,16.5%,2.8%,28.8%,3.2%,36.4%,1.6%
Head,Imperial Crown,9.4%,9.5%,18.1%,15.6%,28.4%,21.6%
Head,Imperial Burgonet,8.3%,19.5%,22.2%,13.5%,30.1%,13.1%
Head,Chinese Opera Mask,26.1%,1.7%,40.3%,1.2%,39.8%,0.9%
Chest,Covert Agent Uniform,11.4%,0.5%,11.0%,0.5%,8.6%,0.3%
Chest,Sunset Armor,2.6%,9.1%,7.3%,7.2%,13.1%,10.2%
Chest,Optical Camouflage Suit,3.8%,12.4%,10.7%,11.7%,18.6%,9.8%
Chest,Rocker's Jacket,3.7%,3.7%,10.2%,4.2%,15.3%,4.8%
Chest,Mithril Armor,20.6%,6.9%,34.7%,4.5%,40.2%,4.1%
Chest,Crusader Armor,6.3%,4.9%,11.3%,6.8%,15.3%,4.4%
Chest,Amazoness Armor,9.2%,2.1%,16.1%,2.9%,26.6%,5.4%
Chest,Dragon Dobok,9.4%,9.7%,16.2%,5.6%,25.5%,4.6%
Chest,Butler's Suit,5.5%,4.9%,12.6%,3.0%,17.0%,2.9%
Chest,Battle Suit,9.9%,2.9%,15.3%,3.3%,20.0%,4.2%
Chest,Blazing Dress,16.1%,0.7%,37.9%,0.5%,34.5%,0.5%
Chest,EOD Suit,11.4%,7.7%,25.6%,7.5%,33.4%,6.8%
Chest,Commander's Armor,4.6%,5.3%,10.4%,6.8%,16.2%,7.6%
Chest,Kabana,16.7%,3.2%,32.0%,5.3%,42.4%,6.1%
Chest,Queen of Hearts,25.3%,1.4%,47.7%,2.0%,65.5%,2.2%
Arm,Sword Stopper,11.2%,2.7%,14.2%,3.2%,18.7%,3.1%
Arm,Draupnir,4.8%,10.3%,14.9%,9.4%,22.2%,11.5%
Arm,Creed of the Knight,3.8%,7.3%,11.7%,7.3%,19.0%,6.4%
Arm,Sheath of Shah Jahan,3.4%,9.7%,12.3%,9.9%,19.9%,9.3%
Arm,Cube Watch,7.9%,2.1%,16.4%,2.1%,21.0%,2.0%
Arm,Vital Sign Sensor,0.2%,1.2%,1.0%,1.1%,3.7%,0.9%
Arm,Burnished Aegis,6.0%,3.6%,18.0%,6.6%,22.2%,7.7%
Arm,Radar,11.6%,15.9%,23.5%,8.8%,29.1%,7.0%
Arm,Tindalos Band,8.5%,6.8%,16.3%,7.2%,28.1%,9.2%
Arm,Mithril Shield,13.5%,4.2%,25.8%,3.6%,38.4%,3.8%
Arm,Auto-arms,20.9%,3.5%,39.0%,3.3%,44.9%,3.2%
Arm,Bracelet of Skadi,19.1%,4.8%,42.2%,3.3%,54.6%,3.6%
Leg,Feather Boots,6.5%,9.9%,13.0%,9.3%,19.2%,6.7%
Leg,Maverick Runner,0.5%,2.2%,2.6%,2.2%,7.3%,2.7%
Leg,Straitjacket Sneakers,3.0%,14.0%,10.7%,16.9%,18.4%,20.2%
Leg,Mithril Boots,14.5%,1.2%,28.7%,1.2%,29.6%,1.4%
Leg,Bucephalus,2.7%,10.8%,10.7%,10.7%,16.7%,9.0%
Leg,EOD Boots,9.2%,3.1%,16.5%,2.3%,24.6%,2.9%
Leg,White Rhinos,6.9%,16.4%,11.8%,11.6%,17.2%,9.5%
Leg,Tachyon Brace,9.3%,5.3%,15.8%,5.0%,19.1%,5.2%
Leg,Glacial Shoes,12.7%,4.9%,31.5%,6.5%,43.0%,9.0%
Leg,Boots of Hermes,23.9%,7.3%,46.2%,5.2%,53.1%,5.0%
Leg,Red Shoes,27.8%,2.2%,48.2%,1.5%,55.2%,1.6%
Accessory,Laced Quiver,4.7%,7.6%,12.9%,7.8%,17.7%,6.5%
Accessory,Sniper Scope,0.3%,0.7%,8.3%,0.6%,4.4%,0.5%
Accessory,Uchiwa,4.9%,12.8%,11.6%,12.7%,19.3%,15.9%
Accessory,Schrödinger's Box,10.4%,6.4%,21.3%,10.5%,29.9%,15.0%
Accessory,Veritas Lux Mea,8.5%,6.4%,16.1%,3.6%,21.5%,2.0%
Accessory,Lunar Embrace,19.7%,1.1%,37.0%,1.6%,48.2%,0.5%
Accessory,Emerald Tablet,21.1%,0.9%,32.8%,0.7%,0.0%,0.1%
Accessory,Glacial Ice,6.7%,0.0%,11.1%,0.1%,28.6%,0.1%
Accessory,True Samadhi Fire,0.0%,0.0%,30.0%,0.0%,29.6%,2.2%
Accessory,Moonlight Pendant,12.8%,5.1%,22.9%,2.5%,23.1%,11.5%
Accessory,White Crane Fan,8.5%,13.9%,17.3%,12.9%,24.7%,12.3%
Accessory,Magazine,10.2%,13.3%,16.4%,13.2%,6.1%,0.6%
Accessory,Flower of Fate,1.5%,0.6%,1.2%,0.6%,24.7%,2.5%
Accessory,Revenge of Goujian,8.9%,2.5%,21.5%,2.6%,18.4%,3.1%
Accessory,Buccaneer Doubloon,7.0%,5.7%,14.4%,3.7%,1.7%,1.0%
Accessory,Feather Duster,0.0%,1.4%,0.0%,1.2%,0.0%,0.0%
