Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.3%,35.5%,16.6%,28.7%,21.9%,25.7%
Adriana,Throw,Incendiary Bomb,5.0%,47.2%,13.5%,54.5%,19.0%,57.4%
Adriana,Throw,David's Sling,4.3%,0.7%,8.4%,0.8%,21.7%,1.5%
Adriana,Throw,Grenade of Antioch,7.1%,1.6%,13.2%,1.3%,19.3%,0.9%
Adriana,Throw,Ruthenium Marble,6.3%,2.6%,16.5%,4.3%,24.3%,4.8%
Adela,Rapier,Durendal Mk2,3.8%,19.6%,9.8%,8.6%,14.1%,8.0%
Adela,Rapier,Mistilteinn,4.1%,48.3%,11.8%,63.5%,18.4%,66.4%
Adela,Rapier,Volticletto,2.8%,12.1%,8.0%,9.7%,13.5%,8.8%
Adela,Rapier,Meteor Claymore,23.9%,1.4%,-9999900.0%,0.3%,-9999900.0%,0.3%
Adela,Rapier,Joyeuse,21.4%,2.5%,35.2%,1.2%,51.2%,1.4%
Aya,Assault Rifle,AK-12,2.5%,13.1%,10.4%,27.2%,14.5%,33.2%
Aya,Assault Rifle,XCR,10.8%,49.1%,14.4%,28.9%,20.5%,23.9%
Aya,Assault Rifle,Gatling Gun,5.1%,16.5%,12.1%,25.1%,16.5%,24.9%
Aya,Pistol,Devil's Marksman,4.9%,50.5%,11.6%,65.7%,18.4%,66.5%
Aya,Pistol,Elegance,4.2%,27.6%,10.5%,17.3%,14.0%,17.3%
Aya,Pistol,Electron Blaster,2.1%,1.7%,7.6%,1.4%,18.4%,1.0%
Aya,Pistol,Magnum-Boa,4.8%,2.2%,10.5%,1.4%,12.9%,1.7%
Aya,Pistol,Kelte,18.5%,5.2%,37.1%,3.6%,49.6%,3.9%
Aya,Sniper Rifle,Tac-50,3.6%,16.6%,7.7%,7.1%,11.8%,7.1%
Aya,Sniper Rifle,Intervention,2.5%,7.6%,11.4%,9.0%,16.0%,13.9%
Aya,Sniper Rifle,NTW-20,2.7%,31.4%,11.0%,31.3%,16.5%,25.9%
Aya,Sniper Rifle,Polaris,0.8%,12.5%,7.4%,22.2%,12.8%,25.6%
Aya,Sniper Rifle,The Deadly Ray,13.7%,13.5%,22.1%,14.4%,34.3%,13.4%
Cathy,Dagger,Carnwennan,3.3%,18.5%,6.3%,13.9%,13.9%,10.9%
Cathy,Dagger,Mount Slicer,3.6%,0.4%,5.3%,0.5%,18.7%,1.1%
Cathy,Dagger,Vibroblade,2.6%,63.5%,7.5%,68.7%,13.2%,71.5%
Cathy,Dagger,Fragarach,25.7%,10.3%,42.3%,11.1%,46.5%,11.4%
Chiara,Rapier,Durendal Mk2,3.4%,14.6%,11.8%,9.1%,13.4%,8.2%
Chiara,Rapier,Mistilteinn,7.9%,26.4%,15.9%,28.0%,25.5%,31.1%
Chiara,Rapier,Volticletto,3.2%,38.9%,9.9%,43.6%,15.3%,41.1%
Chiara,Rapier,Meteor Claymore,13.3%,1.2%,-9999900.0%,0.5%,-9999900.0%,0.3%
Chiara,Rapier,Joyeuse,16.9%,5.7%,32.3%,4.0%,34.6%,3.6%
Emma,Shuriken,Cards of Tyranny,3.7%,3.4%,11.8%,3.2%,15.0%,2.0%
Emma,Shuriken,Mystic Jade Charm,4.5%,3.2%,11.7%,6.6%,18.2%,6.7%
Emma,Shuriken,Fuhma Shuriken,8.3%,27.4%,13.5%,23.2%,18.0%,22.4%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.1%
Emma,Shuriken,Azure Dagger,3.3%,1.5%,8.0%,2.1%,7.6%,2.4%
Emma,Shuriken,Flechette,3.3%,1.3%,8.0%,0.6%,9.9%,1.6%
Emma,Shuriken,Wind and Fire Wheels,6.3%,48.4%,10.5%,52.8%,16.0%,53.2%
Emma,Shuriken,Death Rune,15.1%,0.5%,-9999900.0%,0.3%,-9999900.0%,0.7%
