Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.9%,,14.3%,,18.7%,
Head,Mithril Helm,18.5%,5.3%,36.4%,4.2%,38.3%,3.2%
Head,Crystal Tiara,1.8%,11.8%,6.6%,13.5%,10.9%,16.3%
Head,Motorcycle Helmet,5.4%,8.8%,13.5%,7.9%,20.1%,5.7%
Head,Tactical OPS Helmet,7.1%,10.3%,22.6%,6.8%,27.5%,6.2%
Head,Helm of Banneret,11.4%,2.8%,24.8%,2.5%,24.1%,2.5%
Head,Laurel Wreath,17.2%,2.6%,36.9%,4.1%,32.4%,2.7%
Head,Imperial Crown,7.5%,9.3%,20.3%,20.7%,29.1%,25.0%
Head,Imperial Burgonet,10.2%,17.6%,25.3%,9.6%,31.3%,11.1%
Head,Chinese Opera Mask,18.2%,1.4%,45.3%,1.0%,37.4%,1.1%
Chest,Covert Agent Uniform,7.6%,0.4%,8.5%,0.7%,10.6%,0.6%
Chest,Sunset Armor,3.3%,9.2%,11.1%,8.0%,16.0%,11.7%
Chest,Optical Camouflage Suit,5.1%,15.3%,16.1%,13.5%,19.0%,10.5%
Chest,Rocker's Jacket,15.9%,2.5%,32.5%,2.2%,31.7%,2.6%
Chest,Mithril Armor,3.5%,5.4%,8.1%,4.9%,16.5%,5.5%
Chest,Crusader Armor,7.8%,5.2%,15.3%,7.5%,17.3%,5.6%
Chest,Amazoness Armor,11.5%,2.3%,25.3%,3.6%,26.3%,8.6%
Chest,Dragon Dobok,7.6%,8.5%,16.7%,4.8%,24.8%,3.3%
Chest,Butler's Suit,11.4%,1.9%,23.1%,3.8%,26.9%,4.9%
Chest,Battle Suit,20.3%,0.3%,46.7%,0.4%,51.8%,0.3%
Chest,Blazing Dress,8.7%,5.2%,17.2%,3.1%,23.9%,3.2%
Chest,EOD Suit,13.6%,6.2%,27.7%,5.6%,31.7%,4.7%
Chest,Commander's Armor,4.4%,5.2%,11.4%,6.2%,18.8%,5.3%
Chest,Kabana,17.8%,2.8%,36.1%,4.6%,45.3%,5.1%
Chest,Queen of Hearts,26.0%,2.3%,55.2%,3.0%,54.9%,3.3%
Arm,Sword Stopper,12.8%,2.2%,15.6%,3.1%,18.6%,2.6%
Arm,Draupnir,5.1%,10.1%,13.5%,9.3%,21.9%,9.0%
Arm,Creed of the Knight,4.3%,8.8%,13.7%,7.7%,18.5%,5.0%
Arm,Sheath of Shah Jahan,2.5%,9.2%,13.4%,6.7%,19.6%,6.4%
Arm,Cube Watch,10.0%,3.6%,24.2%,3.8%,23.4%,3.0%
Arm,Vital Sign Sensor,0.3%,1.3%,2.1%,0.9%,2.0%,0.8%
Arm,Burnished Aegis,5.9%,6.3%,16.8%,12.9%,25.9%,15.4%
Arm,Radar,13.5%,5.5%,28.4%,5.2%,33.3%,4.9%
Arm,Mithril Shield,11.4%,9.3%,26.4%,5.6%,28.3%,7.1%
Arm,Auto Arms,21.0%,4.6%,47.1%,4.3%,47.6%,4.8%
Arm,Bracelet of Skadi,21.2%,3.3%,47.6%,3.5%,48.7%,3.4%
Leg,Feather Boots,0.5%,3.6%,4.3%,2.9%,8.8%,3.8%
Leg,Maverick Runner,7.6%,7.0%,16.9%,7.4%,21.3%,6.1%
Leg,Straitjacket Sneakers,3.7%,16.4%,12.4%,17.8%,19.7%,19.7%
Leg,Mithril Boots,13.8%,1.4%,23.3%,1.2%,35.3%,1.8%
Leg,Bucephalus,3.4%,13.8%,13.9%,12.3%,16.8%,8.6%
Leg,EOD Boots,10.0%,3.8%,17.3%,2.9%,25.3%,6.5%
Leg,White Rhinos,6.4%,12.8%,14.5%,11.0%,20.1%,10.3%
Leg,Glacial Shoes,14.0%,5.1%,34.1%,7.7%,42.2%,7.9%
Leg,Boots of Hermes,23.7%,7.3%,47.9%,6.6%,51.3%,6.3%
Leg,Red Shoes,23.9%,1.9%,48.0%,1.5%,43.6%,1.6%
Accessory,Laced Quiver,5.5%,8.6%,16.9%,8.8%,22.0%,6.8%
Accessory,Uchiwa,3.7%,12.1%,14.0%,12.8%,19.5%,14.9%
Accessory,Schrodinger's Box,11.5%,9.1%,27.0%,11.7%,30.9%,18.6%
Accessory,Veritas Lux Mea,8.2%,5.7%,22.5%,3.4%,25.5%,2.0%
Accessory,Emerald Tablet,16.9%,1.5%,42.9%,1.1%,46.8%,0.6%
Accessory,Glacial Ice,5.3%,0.1%,0.0%,0.1%,7.7%,0.1%
Accessory,True Samadhi Fire,9.1%,0.0%,57.1%,0.1%,33.3%,0.0%
Accessory,Moonlight Pendant,12.7%,5.6%,26.6%,3.2%,28.3%,2.2%
Accessory,White Crane Fan,8.5%,13.0%,21.0%,11.5%,27.0%,11.0%
Accessory,Magazine,8.6%,13.4%,17.5%,13.0%,21.6%,12.9%
Accessory,Flower of Fate,0.9%,1.6%,3.6%,1.2%,7.0%,0.8%
Accessory,Revenge of Goujin,6.8%,2.8%,19.2%,4.3%,23.1%,3.3%
Accessory,Feather Duster,0.0%,1.3%,0.0%,0.9%,1.4%,0.8%
