Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.0%,41.5%,14.8%,32.0%,23.0%,28.1%
Adriana,Throw,Incendiary Bomb,3.4%,29.9%,10.9%,35.1%,16.7%,43.4%
Adriana,Throw,David's Sling,5.8%,4.7%,11.1%,5.5%,14.3%,4.3%
Adriana,Throw,Grenade of Antioch,9.2%,5.3%,15.0%,3.4%,27.6%,1.7%
Adriana,Throw,Ruthenium Marble,5.8%,5.3%,11.9%,9.1%,19.1%,10.5%
Aya,Assault Rifle,AK-12,4.1%,12.8%,10.8%,22.4%,15.8%,30.1%
Aya,Assault Rifle,XCR,13.5%,50.7%,18.5%,37.6%,23.7%,30.4%
Aya,Assault Rifle,Gatling Gun,5.5%,18.7%,13.4%,20.7%,18.1%,22.0%
Aya,Pistol,Devil's Marksman,6.2%,49.7%,11.9%,57.9%,16.9%,63.1%
Aya,Pistol,Elegance,5.0%,20.8%,9.8%,18.6%,16.9%,15.4%
Aya,Pistol,Electron Blaster,3.1%,3.2%,11.8%,4.1%,10.9%,3.2%
Aya,Pistol,Magnum-Boa,5.0%,2.3%,11.8%,1.5%,20.2%,2.3%
Aya,Pistol,Kelte,26.2%,4.4%,43.1%,3.0%,52.4%,4.1%
Aya,Sniper Rifle,Tac-50,4.6%,7.5%,10.5%,5.3%,19.0%,5.7%
Aya,Sniper Rifle,Intervention,7.1%,2.1%,11.9%,1.1%,18.3%,3.2%
Aya,Sniper Rifle,NTW-20,5.1%,33.4%,10.5%,28.5%,17.9%,25.6%
Aya,Sniper Rifle,Polaris,2.8%,32.7%,9.7%,41.9%,15.7%,43.4%
Aya,Sniper Rifle,The Deadly Ray,16.8%,9.9%,26.8%,9.9%,36.2%,10.1%
Chiara,Rapier,Durendal Mk2,4.2%,22.4%,12.6%,11.4%,16.7%,9.0%
Chiara,Rapier,Mistilteinn,10.6%,21.1%,16.9%,24.4%,20.9%,32.3%
Chiara,Rapier,Volticletto,4.9%,42.0%,10.8%,47.0%,17.1%,41.7%
Chiara,Rapier,Meteor Claymore,0.0%,0.1%,0.0%,0.2%,0.0%,0.1%
Chiara,Rapier,Joyeuse,21.5%,0.3%,28.0%,0.5%,0.0%,0.5%
Emma,Shuriken,Cards of Tyranny,4.4%,4.4%,11.1%,4.8%,16.0%,4.4%
Emma,Shuriken,Mystic Jade Charm,6.8%,34.8%,14.9%,33.2%,20.4%,30.1%
Emma,Shuriken,Fuhma Shuriken,7.4%,9.3%,13.5%,11.5%,18.0%,15.6%
Emma,Shuriken,Frost Venom Dart,0.0%,0.1%,0.0%,0.3%,0.0%,0.2%
Emma,Shuriken,Azure Dagger,4.0%,1.3%,10.2%,3.0%,13.9%,3.6%
Emma,Shuriken,Flechette,0.8%,0.8%,7.2%,0.8%,15.9%,1.3%
Emma,Shuriken,Wind and Fire Wheels,7.6%,30.1%,12.9%,28.2%,16.8%,28.5%
Emma,Shuriken,Death Rune,7.4%,1.1%,18.2%,1.3%,18.4%,1.5%
Emma,Shuriken,Sudarsana,24.7%,1.9%,37.3%,1.8%,41.5%,1.7%
Emma,Shuriken,Petal Torrent,13.7%,1.2%,23.4%,1.5%,42.9%,1.0%
Fiora,Rapier,Durendal Mk2,6.3%,33.7%,11.7%,27.0%,18.0%,27.9%
