Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.9%,,14.3%,,18.7%,
Adriana,Throw,Smoke Bomb,3.4%,30.0%,7.1%,38.7%,25.9%,22.2%
Adriana,Throw,Incendiary Bomb,3.6%,46.5%,12.5%,39.8%,18.1%,60.1%
Adriana,Throw,David's Sling,0.0%,6.1%,0.0%,0.6%,0.0%,3.2%
Adriana,Throw,Grenade of Antioch,7.8%,9.8%,0.0%,8.8%,0.0%,0.8%
Adriana,Throw,Ruthenium Marble,0.0%,0.0%,0.0%,3.3%,0.0%,7.2%
Aya,Assault Rifle,AK-12,0.0%,0.5%,0.0%,11.2%,0.0%,31.9%
Aya,Assault Rifle,XCR,17.0%,66.7%,34.4%,57.0%,0.0%,22.5%
Aya,Assault Rifle,Gatling Gun,2.2%,22.2%,0.0%,23.4%,18.2%,39.9%
Aya,Pistol,Devil's Marksman,4.2%,36.2%,7.6%,60.3%,15.0%,45.9%
Aya,Pistol,Elegance,4.1%,36.4%,0.0%,24.4%,12.9%,20.7%
Aya,Pistol,Electron Blaster,4.2%,5.6%,0.0%,0.0%,0.0%,9.8%
Aya,Pistol,Magnum-Boa,0.0%,1.3%,0.0%,0.0%,0.0%,7.3%
Aya,Pistol,Kelte,19.9%,6.7%,0.0%,3.8%,0.0%,8.7%
Aya,Sniper Rifle,Tac-50,5.7%,10.4%,0.0%,3.2%,0.0%,4.9%
Aya,Sniper Rifle,Intervention,5.4%,4.5%,0.0%,0.0%,23.0%,11.5%
Aya,Sniper Rifle,NTW-20,3.8%,27.5%,12.9%,46.1%,14.5%,27.4%
Aya,Sniper Rifle,Polaris,1.8%,37.9%,9.6%,37.9%,22.3%,38.1%
Aya,Sniper Rifle,The Deadly Ray,18.0%,11.8%,0.0%,8.7%,28.8%,12.5%
Chiara,Rapier,Durendal Mk2,2.1%,25.4%,0.0%,7.2%,0.0%,7.2%
Chiara,Rapier,Mistilteinn,13.7%,17.8%,28.8%,26.3%,22.3%,47.2%
Chiara,Rapier,Volticletto,4.0%,45.1%,13.3%,49.6%,20.7%,32.9%
Chiara,Rapier,Meteor Claymore,0.0%,0.1%,0.0%,0.2%,0.0%,0.2%
Chiara,Rapier,Joyeuse,0.0%,0.4%,0.0%,1.6%,0.0%,0.4%
Emma,Shuriken,Cards of Tyranny,0.0%,1.3%,0.0%,14.3%,0.0%,0.8%
Emma,Shuriken,Mystic Jade Charm,8.6%,30.6%,6.7%,31.6%,25.6%,31.1%
Emma,Shuriken,Fuhma Shuriken,9.3%,13.6%,0.0%,11.0%,0.0%,7.6%
Emma,Shuriken,Frost Venom Dart,0.0%,0.1%,0.0%,0.4%,0.0%,0.4%
Emma,Shuriken,Azure Dagger,0.0%,0.1%,0.0%,2.5%,0.0%,3.4%
Emma,Shuriken,Flechette,0.0%,0.4%,0.0%,0.0%,0.0%,14.4%
Emma,Shuriken,Wind and Fire Wheels,10.7%,37.5%,28.3%,22.4%,15.9%,31.1%
Emma,Shuriken,Death Rune,0.0%,0.7%,0.0%,0.0%,0.0%,1.1%
Emma,Shuriken,Sudarsana,0.0%,1.3%,0.0%,8.4%,0.0%,1.5%
Emma,Shuriken,Petal Torrent,0.0%,1.2%,0.0%,2.1%,0.0%,0.8%
Fiora,Rapier,Durendal Mk2,7.0%,49.8%,12.2%,28.1%,19.7%,59.4%
Fiora,Rapier,Mistilteinn,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%
Fiora,Rapier,Volticletto,5.1%,34.7%,11.9%,60.6%,20.0%,27.9%
Fiora,Rapier,Meteor Claymore,0.0%,0.8%,0.0%,0.0%,0.0%,0.0%
Fiora,Rapier,Joyeuse,14.7%,6.6%,0.0%,4.5%,0.0%,8.1%
Fiora,Spear,Gentian Silver Gun,1.0%,52.5%,1.1%,50.5%,0.0%,34.0%
Fiora,Spear,Eighteen Foot Spear,0.0%,1.3%,0.0%,19.9%,0.0%,21.3%
Fiora,Spear,Cosmic Bident,7.9%,16.0%,0.0%,7.0%,0.0%,4.3%
Fiora,Spear,Lance of Poseidon,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Fiora,Spear,Blazing Lance,9.3%,4.0%,0.0%,1.6%,0.0%,4.3%
Fiora,Spear,Fangtian Huaji,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%
Fiora,Spear,Dragon Guandao,0.0%,2.0%,0.0%,0.5%,0.0%,0.0%
Fiora,Spear,Spear of Longinus,19.1%,16.4%,0.0%,15.6%,0.0%,19.1%
Fiora,Two Handed Sword,Thuận Thiên,1.6%,48.2%,0.0%,11.1%,0.0%,48.0%
Fiora,Two Handed Sword,Arondight,1.8%,10.7%,0.0%,55.6%,0.0%,20.0%
Fiora,Two Handed Sword,Excalibur,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Fiora,Two Handed Sword,Plasma Sword,0.0%,6.8%,0.0%,0.0%,0.0%,8.0%
Fiora,Two Handed Sword,Laevateinn,10.3%,18.9%,0.0%,22.2%,0.0%,16.0%
