Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,5.0%,44.1%,15.2%,37.8%,20.5%,33.9%
Adriana,Throw,Incendiary Bomb,4.0%,29.3%,11.8%,37.9%,16.9%,42.3%
Adriana,Throw,David's Sling,3.4%,2.9%,17.1%,2.9%,20.5%,3.2%
Adriana,Throw,Grenade of Antioch,4.9%,2.7%,12.4%,1.8%,20.2%,1.4%
Adriana,Throw,Ruthenium Marble,5.6%,5.1%,14.6%,5.6%,21.5%,6.8%
Aya,Assault Rifle,AK-12,2.3%,15.0%,8.2%,29.9%,16.3%,33.1%
Aya,Assault Rifle,XCR,8.9%,51.3%,15.7%,32.9%,20.6%,27.1%
Aya,Assault Rifle,Gatling Gun,4.9%,14.7%,12.2%,17.7%,17.1%,22.8%
Aya,Pistol,Devil's Marksman,6.5%,55.4%,12.2%,65.7%,19.2%,66.7%
Aya,Pistol,Elegance,5.2%,22.6%,10.4%,16.4%,17.5%,16.2%
Aya,Pistol,Electron Blaster,3.6%,1.2%,8.5%,1.5%,9.4%,1.4%
Aya,Pistol,Magnum-Boa,5.8%,2.3%,9.3%,1.6%,15.8%,2.2%
Aya,Pistol,Kelte,25.3%,4.7%,42.3%,3.6%,45.4%,3.2%
Aya,Sniper Rifle,Tac-50,3.1%,13.6%,11.0%,5.3%,16.2%,8.5%
Aya,Sniper Rifle,Intervention,6.0%,5.2%,7.8%,4.8%,19.0%,10.6%
Aya,Sniper Rifle,NTW-20,2.8%,37.2%,7.7%,38.7%,14.7%,31.8%
Aya,Sniper Rifle,Polaris,1.3%,15.8%,6.2%,23.8%,13.8%,25.3%
Aya,Sniper Rifle,The Deadly Ray,12.4%,12.2%,24.6%,14.1%,33.7%,11.9%
Cathy,Dagger,Carnwennan,4.3%,18.6%,8.6%,16.4%,14.5%,15.9%
Cathy,Dagger,Mount Slicer,3.7%,0.8%,10.0%,1.0%,12.6%,1.2%
Cathy,Dagger,Vibroblade,3.3%,61.4%,9.0%,64.4%,14.5%,65.6%
Cathy,Dagger,Fragarach,33.0%,11.0%,48.0%,11.7%,53.0%,11.8%
Chiara,Rapier,Durendal Mk2,3.5%,19.2%,8.9%,10.2%,15.2%,9.7%
Chiara,Rapier,Mistilteinn,9.2%,21.5%,15.0%,22.7%,21.4%,32.0%
Chiara,Rapier,Volticletto,3.3%,38.6%,9.8%,46.5%,14.4%,39.4%
Chiara,Rapier,Meteor Claymore,13.3%,0.8%,22.2%,0.6%,-9999900.0%,0.3%
Chiara,Rapier,Joyeuse,18.1%,5.9%,31.9%,4.2%,36.4%,3.8%
Emma,Shuriken,Cards of Tyranny,3.9%,3.2%,11.7%,2.5%,13.8%,2.8%
Emma,Shuriken,Mystic Jade Charm,6.7%,7.4%,15.8%,10.1%,19.2%,11.8%
Emma,Shuriken,Fuhma Shuriken,9.2%,12.0%,11.3%,13.8%,19.4%,11.7%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.2%,-9999900.0%,0.1%
Emma,Shuriken,Azure Dagger,4.0%,3.2%,7.4%,5.7%,11.2%,5.6%
Emma,Shuriken,Flechette,4.5%,0.6%,12.1%,0.5%,12.8%,0.7%
Emma,Shuriken,Wind and Fire Wheels,7.2%,59.1%,11.5%,55.3%,17.4%,56.2%
Emma,Shuriken,Death Rune,6.4%,0.6%,-9999900.0%,0.4%,24.6%,0.6%
Emma,Shuriken,Sudarsana,23.1%,1.9%,48.1%,1.3%,51.6%,1.2%
Emma,Shuriken,Petal Torrent,18.0%,0.5%,31.3%,0.8%,32.5%,0.8%
Fiora,Rapier,Durendal Mk2,4.7%,57.5%,10.1%,54.9%,13.9%,53.3%
Fiora,Rapier,Mistilteinn,5.0%,0.4%,15.6%,1.0%,20.3%,1.4%
Fiora,Rapier,Volticletto,5.9%,18.3%,10.6%,23.1%,16.0%,23.5%
Fiora,Rapier,Meteor Claymore,20.6%,2.7%,24.3%,1.7%,29.8%,2.2%
Fiora,Rapier,Joyeuse,24.1%,11.1%,32.3%,10.2%,40.6%,12.4%
