Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,23.5%,3.2%,36.0%,2.9%,40.4%,2.8%
Head,Crystal Tiara,7.0%,10.6%,15.4%,10.1%,23.2%,8.5%
Head,Motorcycle Helmet,2.4%,11.3%,6.1%,12.3%,11.7%,13.5%
Head,Tactical OPS Helmet,8.0%,13.7%,17.4%,11.2%,25.9%,9.8%
Head,Helm of Banneret,9.6%,2.6%,16.7%,2.7%,24.3%,3.2%
Head,Laurel Wreath,18.6%,2.2%,32.5%,2.0%,39.5%,2.1%
Head,Imperial Crown,6.8%,7.5%,16.0%,11.4%,24.4%,14.1%
Head,Imperial Burgonet,7.7%,10.9%,19.0%,10.3%,28.0%,11.5%
Head,Chinese Opera Mask,32.2%,2.1%,43.4%,1.8%,51.6%,1.6%
Chest,Covert Agent Uniform,5.7%,0.2%,6.0%,0.2%,8.8%,0.1%
Chest,Sunset Armor,2.9%,4.1%,8.8%,4.0%,15.2%,4.9%
Chest,Optical Camouflage Suit,5.3%,14.2%,12.7%,15.2%,19.7%,11.7%
Chest,Rocker's Jacket,4.4%,3.1%,11.5%,3.2%,18.1%,3.6%
Chest,Mithril Armor,23.4%,4.1%,33.7%,3.0%,40.3%,2.9%
Chest,Crusader Armor,5.4%,6.7%,10.6%,5.9%,16.7%,5.9%
Chest,Amazoness Armor,7.2%,1.4%,15.1%,2.1%,22.9%,3.3%
Chest,Dragon Dobok,9.3%,7.1%,19.0%,4.9%,26.0%,4.4%
Chest,Butler's Suit,7.6%,8.7%,14.4%,6.9%,21.8%,5.5%
Chest,Battle Suit,7.7%,2.2%,15.2%,2.6%,22.0%,4.5%
Chest,Blazing Dress,21.5%,1.5%,33.0%,1.4%,39.0%,1.6%
Chest,EOD Suit,10.1%,3.9%,21.0%,4.0%,29.2%,4.1%
Chest,Commander's Armor,2.9%,5.9%,8.1%,7.5%,14.9%,8.6%
Chest,Kabana,14.4%,3.9%,30.2%,5.5%,40.1%,6.4%
Chest,Queen of Hearts,26.1%,0.7%,46.7%,1.1%,55.6%,1.2%
Arm,Sword Stopper,8.5%,2.2%,11.4%,3.4%,20.3%,4.2%
Arm,Draupnir,5.2%,7.6%,14.6%,9.0%,22.5%,10.5%
Arm,Creed of the Knight,4.6%,6.9%,10.9%,6.8%,17.9%,5.6%
Arm,Sheath of Shah Jahan,4.2%,11.1%,11.6%,10.0%,19.1%,10.4%
Arm,Cube Watch,6.3%,0.9%,12.9%,1.1%,20.3%,1.1%
Arm,Vital Sign Sensor,0.1%,2.2%,0.9%,2.1%,3.2%,1.7%
Arm,Burnished Aegis,6.2%,2.7%,14.3%,4.3%,22.2%,5.3%
Arm,Radar,11.8%,19.4%,22.1%,15.7%,30.6%,13.1%
Arm,Tindalos Band,6.5%,3.9%,16.2%,4.3%,25.0%,5.7%
Arm,Mithril Shield,16.3%,2.4%,28.6%,2.4%,35.8%,2.6%
Arm,Auto-arms,26.4%,2.4%,41.7%,2.5%,48.6%,2.4%
Arm,Bracelet of Skadi,19.4%,2.0%,39.6%,1.8%,48.6%,2.1%
Leg,Feather Boots,6.7%,11.8%,12.3%,9.7%,20.3%,9.4%
Leg,Maverick Runner,0.9%,0.9%,4.4%,1.3%,9.6%,1.5%
Leg,Straitjacket Sneakers,3.4%,9.3%,10.0%,11.2%,17.8%,14.2%
Leg,Mithril Boots,19.1%,1.1%,29.2%,1.1%,36.3%,1.1%
Leg,Bucephalus,4.7%,10.8%,11.6%,10.1%,18.6%,9.0%
Leg,EOD Boots,8.6%,3.3%,17.6%,3.3%,25.4%,3.5%
Leg,White Rhinos,5.8%,20.2%,11.4%,18.2%,18.1%,15.6%
Leg,Tachyon Brace,6.3%,3.4%,13.9%,4.2%,21.5%,5.1%
Leg,Glacial Shoes,12.2%,3.7%,29.3%,5.4%,39.1%,5.7%
Leg,Boots of Hermes,27.4%,3.7%,45.4%,3.1%,52.4%,3.2%
Leg,Red Shoes,33.8%,1.8%,49.8%,1.8%,55.3%,1.6%
Accessory,Laced Quiver,5.7%,9.2%,13.7%,9.0%,20.6%,7.8%
Accessory,Sniper Scope,1.4%,0.4%,4.9%,0.3%,9.6%,0.4%
Accessory,Uchiwa,5.4%,13.5%,12.3%,15.3%,19.9%,15.2%
Accessory,Schrödinger's Box,7.9%,4.0%,16.4%,6.4%,24.9%,7.5%
Accessory,Veritas Lux Mea,7.9%,4.9%,15.8%,3.2%,22.3%,2.5%
Accessory,Lunar Embrace,18.5%,0.5%,30.8%,0.7%,41.9%,0.8%
Accessory,Emerald Tablet,27.7%,1.4%,42.2%,1.1%,50.0%,1.0%
Accessory,Glacial Ice,4.1%,0.1%,16.1%,0.1%,19.6%,0.1%
Accessory,True Samadhi Fire,7.4%,0.1%,19.2%,0.1%,25.6%,0.1%
Accessory,Moonlight Pendant,19.9%,3.6%,30.4%,2.6%,35.6%,2.1%
Accessory,White Crane Fan,7.7%,9.4%,16.1%,9.4%,23.1%,10.3%
Accessory,Magazine,8.5%,9.0%,15.1%,10.2%,22.1%,10.5%
Accessory,Flower of Fate,0.9%,0.9%,3.4%,0.7%,7.2%,0.7%
Accessory,Revenge of Goujian,7.2%,2.5%,17.1%,2.8%,24.4%,4.0%
Accessory,Buccaneer Doubloon,7.0%,10.3%,14.0%,8.7%,21.6%,8.2%
Accessory,Feather Duster,0.0%,1.2%,0.3%,1.1%,1.2%,0.9%
