Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,5.3%,25.3%,15.8%,21.1%,22.5%,17.3%
Adriana,Throw,Incendiary Bomb,5.6%,59.4%,14.0%,65.4%,18.8%,66.6%
Adriana,Throw,David's Sling,1.9%,0.4%,11.8%,0.9%,12.8%,0.6%
Adriana,Throw,Grenade of Antioch,4.2%,1.1%,-9999900.0%,0.5%,23.4%,0.8%
Adriana,Throw,Ruthenium Marble,3.2%,3.5%,16.4%,3.8%,23.5%,7.9%
Adela,Rapier,Durendal Mk2,3.3%,14.5%,8.9%,9.0%,13.0%,15.7%
Adela,Rapier,Mistilteinn,6.5%,55.9%,15.3%,67.6%,20.0%,61.7%
Adela,Rapier,Volticletto,2.2%,11.9%,9.1%,7.5%,18.3%,7.2%
Adela,Rapier,Meteor Claymore,15.8%,2.4%,-9999900.0%,0.7%,-9999900.0%,0.8%
Adela,Rapier,Joyeuse,17.4%,1.8%,36.0%,1.6%,-9999900.0%,1.3%
Aya,Assault Rifle,AK-12,1.7%,23.6%,8.1%,28.4%,15.7%,21.1%
Aya,Assault Rifle,XCR,10.2%,37.7%,16.1%,27.7%,21.9%,20.6%
Aya,Assault Rifle,Gatling Gun,5.7%,20.8%,11.2%,21.5%,18.5%,41.8%
Aya,Pistol,Devil's Marksman,5.3%,45.0%,10.8%,65.1%,16.9%,54.8%
Aya,Pistol,Elegance,3.8%,31.1%,11.3%,17.9%,16.4%,28.1%
Aya,Pistol,Electron Blaster,4.9%,1.5%,-9999900.0%,0.3%,17.2%,0.9%
Aya,Pistol,Magnum-Boa,4.0%,5.3%,9.3%,2.2%,20.3%,2.1%
Aya,Pistol,Kelte,21.4%,6.1%,45.7%,4.5%,48.3%,4.0%
Aya,Sniper Rifle,Tac-50,3.2%,30.0%,8.3%,18.6%,15.4%,15.2%
Aya,Sniper Rifle,Intervention,4.8%,10.4%,13.2%,11.3%,17.0%,21.4%
Aya,Sniper Rifle,NTW-20,3.4%,25.6%,12.7%,22.0%,16.4%,24.2%
Aya,Sniper Rifle,Polaris,1.6%,6.5%,6.2%,21.8%,11.9%,18.0%
Aya,Sniper Rifle,The Deadly Ray,16.6%,14.2%,25.1%,13.6%,34.0%,10.3%
Bernice,Sniper Rifle,Tac-50,5.9%,54.5%,13.6%,50.3%,19.7%,38.0%
Bernice,Sniper Rifle,Intervention,3.6%,0.5%,12.5%,0.8%,19.0%,2.5%
Bernice,Sniper Rifle,NTW-20,0.0%,0.3%,7.8%,0.7%,13.1%,1.7%
Bernice,Sniper Rifle,Polaris,4.1%,32.1%,12.4%,38.0%,17.6%,48.3%
Bernice,Sniper Rifle,The Deadly Ray,5.4%,0.2%,14.3%,0.3%,32.6%,0.3%
Cathy,Dagger,Carnwennan,3.0%,22.1%,6.6%,11.0%,12.9%,14.0%
Cathy,Dagger,Mount Slicer,5.8%,0.3%,-9999900.0%,0.2%,-9999900.0%,0.3%
Cathy,Dagger,Vibroblade,2.6%,54.8%,7.5%,64.8%,12.7%,52.7%
Cathy,Dagger,Damascus Steel Thorn,6.2%,3.9%,12.3%,6.2%,19.9%,15.5%
Cathy,Dagger,Fragarach,27.6%,11.9%,42.7%,12.2%,46.2%,11.1%
Chiara,Rapier,Durendal Mk2,3.0%,16.0%,8.1%,10.9%,16.5%,6.7%
Chiara,Rapier,Mistilteinn,8.5%,32.2%,15.6%,37.3%,23.3%,38.6%
Chiara,Rapier,Volticletto,3.3%,32.5%,10.8%,33.3%,14.1%,35.0%
Chiara,Rapier,Meteor Claymore,14.6%,1.3%,-9999900.0%,0.5%,-9999900.0%,0.6%
Chiara,Rapier,Joyeuse,13.5%,5.1%,28.7%,3.0%,31.1%,3.4%
Emma,Shuriken,Cards of Tyranny,2.8%,9.5%,4.7%,5.2%,11.6%,5.5%
Emma,Shuriken,Mystic Jade Charm,5.0%,3.8%,10.4%,4.8%,18.2%,5.2%
Emma,Shuriken,Fuhma Shuriken,8.2%,28.2%,13.4%,23.7%,16.9%,29.2%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.0%
Emma,Shuriken,Azure Dagger,2.9%,0.8%,5.3%,1.5%,12.3%,1.4%
Emma,Shuriken,Flechette,3.5%,1.1%,-9999900.0%,0.4%,-9999900.0%,0.3%
Emma,Shuriken,Wind and Fire Wheels,5.3%,42.1%,10.8%,50.5%,15.7%,46.7%
Emma,Shuriken,Death Rune,3.3%,0.5%,-9999900.0%,0.4%,-9999900.0%,0.3%
Emma,Shuriken,Sudarsana,21.5%,1.5%,36.1%,1.7%,52.1%,0.9%
Emma,Shuriken,Petal Torrent,18.6%,0.3%,-9999900.0%,0.4%,-9999900.0%,0.5%
Fiora,Rapier,Durendal Mk2,4.0%,63.9%,8.8%,65.3%,14.9%,64.6%
Fiora,Rapier,Mistilteinn,5.2%,0.5%,-9999900.0%,0.2%,-9999900.0%,0.3%
Fiora,Rapier,Volticletto,4.7%,11.2%,10.0%,10.6%,13.3%,10.9%
Fiora,Rapier,Meteor Claymore,17.9%,4.0%,24.7%,3.6%,40.8%,3.8%
Fiora,Rapier,Joyeuse,20.2%,12.5%,32.3%,13.7%,36.0%,14.6%
Fiora,Spear,Gentian Silver Gun,1.3%,49.5%,4.3%,45.3%,9.6%,47.3%
