Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.5%,,12.5%,,17.9%,
Adriana,Throw,Smoke Bomb,6.1%,26.6%,19.0%,21.1%,22.3%,16.0%
Adriana,Throw,Incendiary Bomb,7.6%,61.1%,16.0%,71.8%,18.7%,69.7%
Adriana,Throw,David's Sling,-9999900.0%,0.1%,-9999900.0%,0.2%,-9999900.0%,0.2%
Adriana,Throw,Grenade of Antioch,7.1%,3.0%,-9999900.0%,0.1%,-9999900.0%,1.3%
Adriana,Throw,Ruthenium Marble,-9999900.0%,1.4%,-9999900.0%,1.1%,20.0%,7.6%
Adela,Rapier,Durendal Mk2,-9999900.0%,5.1%,-9999900.0%,7.0%,-9999900.0%,9.1%
Adela,Rapier,Mistilteinn,10.9%,76.3%,17.9%,53.5%,16.9%,68.3%
Adela,Rapier,Volticletto,-9999900.0%,5.4%,8.5%,25.7%,-9999900.0%,8.7%
Adela,Rapier,Meteor Claymore,-9999900.0%,3.8%,-9999900.0%,1.7%,-9999900.0%,0.5%
Adela,Rapier,Joyeuse,-9999900.0%,2.2%,-9999900.0%,4.3%,-9999900.0%,1.4%
Aya,Assault Rifle,AK-12,-9999900.0%,7.7%,-9999900.0%,7.4%,-9999900.0%,8.6%
Aya,Assault Rifle,XCR,13.0%,66.1%,10.2%,40.7%,-9999900.0%,32.8%
Aya,Assault Rifle,Gatling Gun,5.7%,16.9%,9.3%,34.7%,-9999900.0%,53.4%
Aya,Pistol,Devil's Marksman,5.4%,19.1%,10.5%,57.5%,15.2%,56.8%
Aya,Pistol,Elegance,2.2%,42.9%,6.0%,25.1%,15.9%,25.8%
Aya,Pistol,Electron Blaster,5.2%,6.1%,-9999900.0%,0.2%,-9999900.0%,0.2%
Aya,Pistol,Magnum-Boa,5.6%,13.8%,-9999900.0%,3.1%,-9999900.0%,5.3%
Aya,Pistol,Kelte,20.8%,11.7%,53.7%,5.1%,-9999900.0%,4.9%
Aya,Sniper Rifle,Tac-50,0.0%,22.8%,5.0%,24.5%,14.5%,9.4%
Aya,Sniper Rifle,Intervention,-9999900.0%,4.2%,8.6%,11.7%,20.8%,32.1%
Aya,Sniper Rifle,NTW-20,2.4%,32.0%,7.5%,16.2%,15.2%,24.8%
Aya,Sniper Rifle,Polaris,-9999900.0%,1.2%,8.2%,19.8%,13.3%,15.9%
Aya,Sniper Rifle,The Deadly Ray,17.0%,34.0%,28.4%,17.8%,31.3%,9.7%
Bernice,Sniper Rifle,Tac-50,3.1%,40.1%,13.0%,45.4%,17.4%,28.2%
