Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,21.8%,3.6%,33.5%,2.7%,39.8%,2.7%
Head,Crystal Tiara,2.0%,9.0%,6.6%,11.1%,11.6%,12.7%
Head,Motorcycle Helmet,7.6%,11.2%,15.6%,9.4%,22.5%,8.2%
Head,Tactical OPS Helmet,7.4%,12.3%,16.7%,10.7%,24.9%,9.9%
Head,Helm of Banneret,10.9%,2.1%,17.9%,2.0%,25.8%,2.4%
Head,Laurel Wreath,18.4%,3.0%,32.3%,2.7%,38.4%,2.5%
Head,Imperial Crown,7.5%,9.5%,17.3%,13.7%,25.8%,16.4%
Head,Imperial Burgonet,9.1%,11.8%,20.4%,10.6%,28.8%,10.8%
Head,Chinese Opera Mask,25.0%,1.1%,38.3%,1.0%,44.2%,1.0%
Chest,Covert Agent Uniform,7.3%,0.3%,10.8%,0.4%,14.6%,0.4%
Chest,Sunset Armor,3.4%,5.2%,10.3%,5.2%,16.9%,6.2%
Chest,Optical Camouflage Suit,6.0%,13.4%,13.9%,12.2%,20.5%,11.2%
Chest,Rocker's Jacket,18.7%,1.7%,30.7%,1.6%,35.3%,1.7%
Chest,Mithril Armor,3.9%,4.1%,11.5%,4.4%,17.2%,4.9%
Chest,Crusader Armor,7.3%,5.3%,12.7%,6.2%,18.2%,6.1%
Chest,Amazoness Armor,9.1%,2.1%,16.2%,2.8%,24.8%,3.4%
Chest,Dragon Dobok,9.0%,7.5%,17.6%,5.6%,24.7%,4.9%
Chest,Butler's Suit,8.8%,2.4%,17.1%,3.4%,24.9%,4.2%
Chest,Battle Suit,21.6%,0.5%,36.9%,0.5%,43.4%,0.5%
Chest,Blazing Dress,9.2%,7.0%,13.7%,5.1%,20.2%,4.6%
Chest,EOD Suit,12.8%,5.0%,23.1%,3.9%,32.0%,4.1%
Chest,Commander's Armor,3.7%,7.1%,9.9%,8.2%,16.8%,8.5%
Chest,Kabana,16.6%,3.1%,32.8%,4.6%,41.3%,5.4%
Chest,Queen of Hearts,28.0%,1.6%,49.5%,1.8%,57.7%,2.0%
Arm,Sword Stopper,10.3%,3.1%,14.6%,3.4%,21.2%,3.6%
Arm,Draupnir,5.8%,8.9%,14.6%,9.4%,22.9%,10.5%
Arm,Creed of the Knight,5.5%,8.4%,13.0%,7.5%,20.5%,6.7%
Arm,Sheath of Shah Jahan,3.7%,8.0%,11.3%,8.1%,18.1%,8.3%
Arm,Cube Watch,10.8%,3.1%,18.8%,2.7%,25.2%,2.6%
Arm,Vital Sign Sensor,0.5%,2.2%,2.6%,2.0%,6.3%,1.6%
Arm,Burnished Aegis,5.8%,4.4%,15.6%,6.8%,24.7%,8.5%
Arm,Radar,11.9%,10.8%,21.6%,8.3%,28.9%,7.8%
Arm,Tindalos Band,6.4%,5.1%,16.4%,5.0%,24.2%,5.4%
Arm,Mithril Shield,16.5%,3.3%,29.4%,3.2%,36.7%,3.4%
Arm,Auto Arms,26.1%,2.5%,43.3%,2.5%,48.9%,2.4%
Leg,Bracelet of Skadi,20.2%,2.8%,39.7%,2.5%,49.0%,2.7%
Leg,Feather Boots,0.9%,2.4%,4.6%,3.0%,9.3%,3.5%
Leg,Maverick Runner,6.8%,9.4%,13.3%,7.8%,19.7%,7.2%
Leg,Straitjacket Sneakers,3.9%,12.6%,11.5%,14.2%,19.1%,16.2%
Leg,Mithril Boots,16.7%,1.1%,28.3%,1.0%,35.5%,1.2%
Leg,Bucephalus,4.9%,11.9%,12.4%,10.9%,19.5%,9.9%
Leg,EOD Boots,9.5%,3.5%,18.7%,3.9%,27.5%,5.0%
Leg,White Rhinos,6.2%,14.5%,12.0%,13.8%,19.2%,13.1%
Leg,Glacial Shoes,14.0%,5.7%,30.6%,6.6%,39.8%,7.0%
Leg,Boots of Hermes,27.4%,4.0%,45.6%,3.3%,51.5%,3.4%
Accessory,Red Shoes,31.0%,1.7%,46.0%,1.4%,52.7%,1.3%
Accessory,Laced Quiver,6.4%,9.9%,14.5%,9.5%,21.5%,9.1%
Accessory,Uchiwa,5.2%,15.9%,12.7%,16.6%,19.8%,16.6%
Accessory,Schrodinger's Box,9.3%,7.0%,19.9%,8.9%,27.4%,10.9%
Accessory,Veritas Lux Mea,8.6%,5.5%,17.2%,3.8%,24.3%,3.2%
Accessory,Emerald Tablet,24.6%,1.6%,40.9%,1.3%,47.4%,1.2%
Accessory,Glacial Ice,4.9%,0.1%,11.5%,0.1%,20.7%,0.2%
Accessory,True Samadhi Fire,10.2%,0.1%,16.7%,0.1%,26.3%,0.1%
Accessory,Moonlight Pendant,16.7%,3.8%,27.4%,2.3%,32.8%,2.0%
Accessory,White Crane Fan,8.2%,9.9%,16.6%,9.4%,24.5%,9.6%
Accessory,Magazine,8.2%,11.1%,15.2%,11.1%,21.3%,11.6%
Accessory,Flower of Fate,1.3%,1.2%,4.5%,1.1%,8.4%,1.2%
Accessory,Revenge of Goujin,6.9%,2.3%,16.3%,3.2%,23.6%,3.8%
Accessory,Feather Duster,0.0%,1.3%,0.2%,1.2%,1.2%,1.0%
