Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank
Base Win Rate,,6.3%,2.9%,1.0,9.3,14.2%,2.9%,1.2,4.6,18.5%,2.9%,1.0,3.2
Adriana,Throw,5.5%,1.2%,1.2,9.9,18.2%,2.1%,1.2,4.2,20.3%,3.5%,0.8,3.2
Aya,Pistol,5.1%,2.9%,1.1,9.8,9.4%,1.4%,0.9,5.2,15.7%,3.2%,1.2,3.2
Aya,Assault Rifle,13.5%,0.7%,0.9,8.7,12.4%,1.2%,0.9,4.8,12.3%,0.3%,0.4,3.3
Aya,Sniper,3.6%,2.0%,1.0,10.2,13.2%,2.1%,1.2,4.5,20.0%,2.4%,1.2,3.1
Chiara,Rapier,5.9%,4.7%,1.1,9.2,15.1%,3.7%,1.2,4.4,17.0%,3.5%,1.0,3.3
Emma,Shuriken,10.0%,2.5%,0.9,9.1,13.9%,3.8%,1.0,4.5,19.8%,1.8%,0.9,3.1
Fiora,Rapier,7.0%,3.8%,1.1,9.6,12.2%,2.0%,1.3,4.2,20.7%,1.9%,1.4,3.2
Fiora,Spear,6.9%,2.0%,1.0,8.5,21.5%,1.6%,1.7,4.2,23.1%,0.3%,1.7,3.1
Fiora,Two-Handed Sword,7.7%,0.5%,1.1,9.0,17.9%,0.5%,1.2,4.0,31.7%,0.3%,1.8,3.0
Hart,Guitar,7.1%,2.8%,1.1,10.3,15.5%,3.3%,1.4,4.7,22.4%,3.0%,1.3,3.3
Hyejin,Bow,5.6%,3.5%,1.0,9.8,15.8%,3.6%,1.0,4.6,20.8%,4.7%,0.8,3.2
Hyejin,Shuriken,7.2%,0.3%,1.1,8.7,20.7%,1.2%,1.2,4.5,26.4%,1.1%,0.9,3.1
Hyunwoo,Tonfa,6.7%,2.1%,0.8,9.1,14.8%,1.5%,0.9,4.5,15.4%,2.2%,0.7,3.1
Hyunwoo,Glove,9.7%,3.1%,0.7,7.6,12.4%,2.8%,0.9,4.6,14.9%,2.1%,0.7,3.2
Isol,Assault Rifle,9.7%,1.9%,0.9,8.7,19.2%,4.6%,1.6,4.2,15.2%,3.3%,1.1,3.1
Isol,Pistol,7.8%,2.1%,0.9,9.1,12.4%,2.7%,1.2,4.9,21.1%,2.2%,1.1,3.0
Jackie,Axe,6.0%,1.5%,1.0,7.6,11.4%,1.9%,1.1,4.7,17.6%,2.5%,1.2,3.1
Jackie,Two-Handed Sword,5.7%,0.6%,0.7,7.6,8.8%,0.3%,1.0,4.7,12.1%,0.3%,0.6,3.4
Jackie,Dual Sword,6.2%,2.3%,0.9,8.8,7.0%,1.3%,1.0,5.1,17.6%,2.2%,1.1,3.2
Jackie,Dagger,6.8%,3.3%,0.9,7.7,14.0%,1.5%,1.1,4.4,18.5%,2.6%,1.2,2.9
Lenox,Whip,6.2%,1.7%,1.1,9.0,14.4%,6.6%,0.9,4.6,21.4%,8.2%,0.9,3.2
Li Dailin,Glove,6.1%,4.8%,0.9,8.3,12.6%,3.5%,1.1,4.4,14.3%,3.4%,0.9,3.4
Li Dailin,Nunchaku,4.7%,4.2%,1.1,8.8,15.5%,4.1%,1.3,4.7,19.7%,3.2%,1.4,3.0
Luke,Bat,3.9%,4.8%,1.0,10.8,9.9%,3.0%,1.2,5.3,13.0%,3.3%,1.0,3.5
Magnus,Bat,8.0%,0.8%,0.9,6.6,23.5%,0.4%,1.3,4.2,14.9%,0.9%,0.8,3.4
Magnus,Hammer,5.5%,1.7%,0.8,8.4,14.3%,2.5%,0.9,4.8,20.4%,5.2%,0.9,3.2
Nadine,Bow,12.1%,2.2%,1.1,9.2,16.1%,1.3%,1.3,4.7,20.6%,2.3%,1.2,3.2
Nadine,Crossbow,8.6%,1.0%,1.1,9.9,18.1%,1.0%,1.5,4.6,10.8%,0.2%,1.0,3.7
Rozzi,Pistol,5.8%,4.9%,1.1,10.0,14.8%,6.7%,1.4,4.9,16.7%,6.2%,1.3,3.5
Shoichi,Dagger,3.5%,8.8%,1.1,10.0,12.9%,5.8%,1.3,4.6,14.3%,2.4%,1.2,3.4
Silvia,Pistol,5.5%,3.1%,1.1,10.0,14.3%,3.9%,1.1,4.7,17.6%,4.3%,1.0,3.3
Sissela,Shuriken,8.8%,2.5%,1.1,9.9,16.5%,2.9%,1.2,4.9,19.6%,3.7%,1.1,3.3
Sissela,Throw,7.6%,1.6%,1.2,9.1,12.4%,0.9%,1.2,4.6,21.7%,1.1%,1.2,3.2
Xiukai,Spear,7.3%,2.8%,0.9,9.3,12.7%,1.9%,0.8,4.7,18.9%,1.1%,0.8,3.2
Xiukai,Dagger,8.8%,2.6%,1.0,8.9,13.9%,0.8%,1.0,4.8,15.6%,0.6%,0.8,3.5
Yuki,Two-Handed Sword,5.4%,5.9%,0.9,9.1,14.2%,6.6%,1.0,4.6,17.9%,5.3%,0.8,3.1
Yuki,Dual Sword,4.1%,0.7%,0.8,9.5,9.4%,2.6%,1.0,4.9,19.2%,3.6%,1.1,3.2
Zahir,Throw,6.4%,0.4%,1.2,10.1,7.1%,0.5%,0.8,5.0,20.9%,0.2%,0.9,2.7
Zahir,Shuriken,4.3%,1.6%,1.1,9.7,14.4%,2.1%,1.2,4.7,19.5%,1.1%,1.0,3.3
