Character,Weapon,Solo Win Rate,Solo Pick Rate,Solo Player Kill,Solo Average Rank,Solo MMR Efficiency,Duo Win Rate,Duo Pick Rate,Duo Player Kill,Duo Average Rank,Duo MMR Efficiency,Squad Win Rate,Squad Pick Rate,Squad Player Kill,Squad Average Rank,Squad MMR Efficiency
Base Win Rate,,5.6%,2.9%,0.9,9.5,11.1%,2.9%,1.0,4.8,16.6%,2.9%,1.0,3.2
Adriana,Throw,4.1%,1.3%,0.9,9.5,13.3%,1.6%,0.9,4.6,17.7%,2.3%,0.7,3.2
Aya,Pistol,5.7%,2.6%,1.0,10.2,10.2%,2.0%,1.0,5.0,17.0%,2.4%,1.1,3.2
Aya,Assault Rifle,8.1%,1.3%,0.8,8.8,10.9%,1.0%,0.8,4.9,16.0%,0.9%,0.9,3.2
Aya,Sniper,4.8%,3.0%,1.1,9.8,10.3%,3.3%,1.0,4.9,17.2%,4.2%,1.1,3.2
Chiara,Rapier,5.7%,3.8%,1.0,9.2,11.1%,3.3%,0.9,4.8,16.7%,3.3%,0.9,3.3
Emma,Shuriken,6.7%,3.3%,0.8,9.5,11.5%,3.5%,0.9,4.8,16.4%,3.1%,0.8,3.3
Fiora,Rapier,7.5%,3.7%,1.0,9.5,12.2%,2.0%,1.2,4.7,18.9%,1.5%,1.3,3.2
Fiora,Spear,7.5%,2.0%,1.0,8.7,13.4%,1.5%,1.2,4.7,18.2%,1.2%,1.2,3.2
Fiora,Two-Handed Sword,7.7%,1.0%,1.0,8.8,12.7%,0.6%,1.2,4.7,19.2%,0.5%,1.2,3.2
Hart,Guitar,5.8%,2.4%,1.0,10.4,12.3%,2.0%,1.1,5.0,17.5%,2.3%,1.1,3.3
Hyejin,Bow,4.5%,3.1%,0.8,10.0,11.2%,3.3%,0.8,4.9,17.2%,3.7%,0.7,3.2
Hyejin,Shuriken,5.2%,0.4%,0.9,9.2,13.2%,0.5%,0.9,4.8,18.2%,0.5%,0.8,3.3
Hyunwoo,Tonfa,6.0%,1.1%,0.8,8.9,11.3%,1.7%,0.8,4.8,16.9%,2.5%,0.7,3.3
Hyunwoo,Glove,6.6%,3.3%,0.8,8.5,10.5%,4.1%,0.8,4.8,15.7%,3.8%,0.8,3.3
Isol,Assault Rifle,5.8%,1.6%,0.9,8.9,11.8%,3.3%,1.2,4.7,16.0%,3.2%,1.2,3.2
Isol,Pistol,7.0%,1.1%,0.8,8.8,12.9%,1.7%,1.0,4.5,16.7%,1.9%,1.0,3.1
Jackie,Axe,4.9%,1.2%,0.9,8.6,10.3%,1.4%,1.1,4.7,16.4%,1.6%,1.2,3.2
Jackie,Two-Handed Sword,6.1%,0.5%,0.7,8.4,8.9%,0.4%,0.9,4.9,16.1%,0.3%,1.0,3.2
Jackie,Dual Sword,6.0%,4.1%,0.9,9.3,9.3%,3.8%,0.9,5.0,14.5%,3.1%,1.0,3.3
Jackie,Dagger,8.1%,3.3%,0.9,8.4,10.9%,1.8%,1.0,4.7,16.4%,1.8%,1.1,3.1
Lenox,Whip,4.9%,2.1%,0.9,9.4,11.6%,5.0%,0.9,4.9,18.2%,5.9%,0.8,3.3
Li Dailin,Glove,5.0%,3.6%,0.9,8.7,10.9%,3.4%,1.0,4.7,15.5%,3.3%,1.0,3.2
Li Dailin,Nunchaku,4.3%,3.0%,1.0,9.1,11.4%,3.3%,1.2,4.8,17.6%,3.3%,1.2,3.2
Luke,Bat,3.8%,9.8%,1.0,10.4,8.7%,8.6%,1.0,5.1,13.8%,6.8%,1.0,3.3
Magnus,Bat,5.8%,0.5%,0.8,7.5,10.6%,0.6%,0.8,4.8,15.2%,0.7%,0.8,3.3
Magnus,Hammer,6.1%,1.4%,0.9,8.3,11.2%,2.2%,0.8,4.8,17.3%,3.2%,0.8,3.2
Nadine,Bow,8.0%,2.1%,1.0,9.9,12.2%,2.5%,1.0,4.9,17.6%,2.9%,1.1,3.2
Nadine,Crossbow,6.8%,1.3%,1.0,10.0,11.3%,1.0%,1.2,4.9,14.8%,0.8%,1.0,3.3
Rozzi,Pistol,5.2%,6.7%,1.1,10.2,11.3%,6.6%,1.2,5.0,15.7%,5.3%,1.2,3.3
Shoichi,Dagger,3.8%,5.2%,1.0,9.8,11.5%,3.5%,1.2,4.8,16.2%,2.9%,1.2,3.2
Silvia,Pistol,4.6%,1.9%,1.0,9.7,11.3%,2.2%,0.9,4.8,15.8%,2.4%,0.9,3.2
Sissela,Shuriken,5.8%,2.5%,1.0,10.1,12.0%,2.4%,1.0,5.0,18.5%,2.8%,1.0,3.3
Sissela,Throw,5.2%,0.8%,0.9,9.5,10.4%,0.6%,1.0,4.8,18.7%,0.7%,0.9,3.2
Xiukai,Spear,6.3%,2.1%,0.8,9.4,10.2%,1.6%,0.7,5.0,16.1%,2.0%,0.7,3.3
Xiukai,Dagger,6.8%,1.4%,0.8,9.0,11.4%,0.8%,0.8,4.9,15.1%,0.9%,0.8,3.4
Yuki,Two-Handed Sword,5.7%,6.7%,0.9,9.4,11.6%,6.4%,0.9,4.8,17.7%,5.9%,0.9,3.2
Yuki,Dual Sword,4.5%,3.1%,0.8,9.1,11.0%,4.3%,0.9,4.8,16.5%,4.2%,1.0,3.2
Zahir,Throw,5.3%,0.3%,0.9,10.6,10.0%,0.4%,0.9,5.0,15.4%,0.4%,0.9,3.1
Zahir,Shuriken,5.4%,1.3%,1.1,9.6,13.1%,1.6%,1.2,4.8,17.3%,1.6%,1.0,3.3
