Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,5.4%,43.1%,17.5%,35.4%,23.0%,30.6%
Adriana,Throw,Incendiary Bomb,4.4%,29.2%,13.3%,39.8%,17.8%,43.4%
Adriana,Throw,David's Sling,2.3%,3.1%,17.0%,2.9%,15.8%,3.9%
Adriana,Throw,Grenade of Antioch,3.3%,5.1%,18.8%,1.7%,22.4%,1.9%
Adriana,Throw,Ruthenium Marble,5.5%,5.1%,13.0%,6.7%,20.3%,8.6%
Aya,Assault Rifle,AK-12,4.1%,16.4%,7.8%,31.2%,15.9%,34.8%
Aya,Assault Rifle,XCR,13.2%,46.1%,18.9%,33.1%,22.0%,29.6%
Aya,Assault Rifle,Gatling Gun,5.9%,21.9%,11.7%,18.0%,18.0%,20.9%
Aya,Pistol,Devil's Marksman,6.3%,56.4%,10.6%,61.5%,18.5%,66.3%
Aya,Pistol,Elegance,5.1%,17.2%,12.0%,15.5%,16.8%,12.1%
Aya,Pistol,Electron Blaster,2.6%,2.7%,4.4%,2.9%,13.2%,2.1%
Aya,Pistol,Magnum-Boa,5.3%,2.4%,7.7%,2.3%,19.6%,4.7%
Aya,Pistol,Kelte,23.5%,4.4%,38.7%,3.9%,44.2%,3.3%
Aya,Sniper Rifle,Tac-50,2.9%,6.7%,10.3%,5.5%,15.9%,5.4%
Aya,Sniper Rifle,Intervention,3.1%,2.3%,10.8%,3.0%,18.8%,7.0%
Aya,Sniper Rifle,NTW-20,4.5%,46.5%,10.6%,37.8%,17.3%,32.4%
Aya,Sniper Rifle,Polaris,2.9%,21.0%,7.5%,32.8%,16.2%,33.9%
Aya,Sniper Rifle,The Deadly Ray,15.9%,11.2%,29.7%,9.6%,36.4%,10.4%
Chiara,Rapier,Durendal Mk2,4.8%,27.2%,11.6%,14.0%,17.3%,11.5%
Chiara,Rapier,Mistilteinn,9.4%,18.3%,14.4%,26.0%,21.7%,30.0%
Chiara,Rapier,Volticletto,5.1%,37.5%,11.4%,41.3%,17.5%,40.2%
Chiara,Rapier,Meteor Claymore,14.8%,0.8%,32.7%,0.5%,0.0%,0.3%
Chiara,Rapier,Joyeuse,22.2%,2.8%,39.2%,2.0%,39.6%,1.9%
Emma,Shuriken,Cards of Tyranny,5.7%,3.5%,8.8%,3.1%,17.8%,3.3%
Emma,Shuriken,Mystic Jade Charm,6.4%,14.5%,13.1%,19.7%,19.9%,22.3%
Emma,Shuriken,Fuhma Shuriken,9.4%,4.6%,11.1%,8.0%,15.4%,8.8%
Emma,Shuriken,Frost Venom Dart,0.0%,0.2%,0.0%,0.1%,0.0%,0.0%
Emma,Shuriken,Azure Dagger,1.9%,0.9%,7.7%,1.7%,11.0%,1.9%
Emma,Shuriken,Flechette,3.3%,0.8%,13.6%,0.6%,17.9%,0.7%
Emma,Shuriken,Wind and Fire Wheels,7.5%,60.2%,12.1%,53.8%,16.7%,50.9%
Emma,Shuriken,Death Rune,6.5%,0.5%,22.4%,0.5%,0.0%,0.5%
Emma,Shuriken,Sudarsana,25.2%,1.7%,52.7%,1.3%,54.7%,1.2%
Emma,Shuriken,Petal Torrent,19.7%,0.7%,27.5%,0.6%,40.6%,0.8%
Fiora,Rapier,Durendal Mk2,5.3%,49.4%,10.5%,42.2%,15.9%,43.2%
Fiora,Rapier,Mistilteinn,4.9%,0.8%,16.7%,1.0%,22.6%,1.5%
Fiora,Rapier,Volticletto,6.4%,27.7%,11.8%,37.1%,19.3%,33.9%
Fiora,Rapier,Meteor Claymore,24.0%,1.9%,25.3%,1.2%,0.0%,1.2%
Fiora,Rapier,Joyeuse,27.4%,9.5%,34.3%,8.3%,43.0%,10.7%
Fiora,Spear,Gentian Silver Gun,2.1%,54.5%,6.4%,49.6%,12.3%,47.5%
Fiora,Spear,Eighteen Foot Spear,4.3%,7.3%,9.0%,13.9%,14.6%,14.6%
Fiora,Spear,Cosmic Bident,11.3%,6.8%,31.6%,3.9%,33.9%,4.1%
Fiora,Spear,Lance of Poseidon,9.3%,1.1%,3.0%,1.4%,15.6%,2.6%
Fiora,Spear,Blazing Lance,13.6%,4.8%,20.3%,4.1%,27.6%,4.5%
Fiora,Spear,Fangtian Huaji,6.9%,3.6%,6.6%,1.9%,15.4%,3.0%
Fiora,Spear,Dragon Guandao,4.4%,1.7%,7.5%,2.7%,14.7%,2.5%
Fiora,Spear,Spear of Longinus,34.7%,12.1%,53.9%,12.2%,56.4%,10.9%
Fiora,Two Handed Sword,Thuận Thiên,2.8%,22.1%,10.8%,21.3%,14.0%,20.3%
Fiora,Two Handed Sword,Arondight,7.0%,38.0%,11.7%,36.4%,17.8%,31.5%
Fiora,Two Handed Sword,Excalibur,9.9%,2.9%,0.0%,0.7%,0.0%,2.6%
Fiora,Two Handed Sword,Plasma Sword,0.0%,4.5%,5.4%,8.8%,10.6%,7.6%
Fiora,Two Handed Sword,Laevateinn,16.3%,15.3%,24.3%,12.8%,36.5%,18.1%
Fiora,Two Handed Sword,Monohoshizao,9.5%,3.2%,8.6%,4.3%,16.1%,5.0%
Fiora,Two Handed Sword,Hovud,7.3%,4.5%,12.5%,6.3%,22.5%,6.3%
Fiora,Two Handed Sword,Dáinsleif,37.2%,2.7%,41.1%,2.9%,0.0%,3.1%
Hart,Guitar,Bohemian,2.2%,6.8%,10.2%,17.3%,17.5%,25.1%
Hart,Guitar,Stairway to Heaven,14.4%,1.3%,19.5%,2.4%,24.3%,3.1%
Hart,Guitar,Purple Haze,5.5%,3.2%,13.6%,3.1%,21.6%,3.7%
Hart,Guitar,Satisfaction,5.6%,47.7%,12.4%,35.7%,16.9%,30.5%
Hart,Guitar,Wonderful Tonight,28.4%,3.6%,50.0%,3.1%,42.0%,2.8%
Hart,Guitar,The Wall,5.2%,24.8%,11.9%,23.5%,18.3%,22.2%
Hart,Guitar,Teen Spirit,7.4%,3.3%,15.4%,5.8%,22.1%,5.0%
Hyejin,Bow,Ancient bolt,3.7%,0.5%,0.0%,0.3%,0.0%,0.4%
Hyejin,Bow,Golden-Ratio Bow,1.7%,1.1%,6.3%,3.0%,16.7%,2.9%
Hyejin,Bow,Twinbow,1.3%,2.8%,5.0%,6.3%,15.6%,6.8%
Hyejin,Bow,Elemental Bow,5.6%,78.0%,14.4%,73.4%,20.1%,76.0%
Hyejin,Bow,Failnaught,0.0%,0.1%,0.0%,0.3%,0.0%,0.3%
Hyejin,Shuriken,Cards of Tyranny,1.1%,4.1%,12.3%,4.2%,12.3%,5.4%
Hyejin,Shuriken,Mystic Jade Charm,5.9%,25.7%,13.0%,21.1%,16.7%,14.4%
Hyejin,Shuriken,Fuhma Shuriken,3.6%,13.2%,11.5%,18.4%,17.6%,16.5%
Hyejin,Shuriken,Frost Venom Dart,0.0%,2.1%,0.0%,1.0%,0.0%,1.2%
Hyejin,Shuriken,Azure Dagger,2.3%,7.5%,14.8%,8.2%,16.9%,14.7%
Hyejin,Shuriken,Flechette,0.0%,0.6%,0.0%,1.3%,0.0%,0.5%
Hyejin,Shuriken,Wind and Fire Wheels,5.5%,22.7%,11.0%,29.0%,19.5%,33.1%
Hyejin,Shuriken,Death Rune,0.0%,2.0%,0.0%,0.7%,0.0%,1.2%
Hyejin,Shuriken,Sudarsana,20.4%,2.3%,0.0%,3.1%,0.0%,0.9%
Hyejin,Shuriken,Petal Torrent,9.0%,10.1%,35.8%,5.2%,48.2%,4.6%
Hyunwoo,Tonfa,Tactical Tonfa,5.5%,33.6%,11.1%,26.2%,14.8%,16.3%
Hyunwoo,Tonfa,Mai Sok,10.5%,14.4%,13.7%,9.9%,17.7%,13.8%
Hyunwoo,Tonfa,Plasma Tonfa,5.7%,45.5%,12.2%,57.4%,18.5%,64.8%
Hyunwoo,Glove,One Inch Punch,8.1%,27.9%,10.4%,22.4%,16.9%,20.6%
Hyunwoo,Glove,Divine Fist,9.4%,14.8%,12.0%,13.5%,18.8%,11.7%
Hyunwoo,Glove,Bloodwing Knuckles,4.2%,17.7%,11.3%,24.0%,16.4%,30.6%
