Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.4%,17.7%,13.8%,14.4%,19.6%,10.9%
Adriana,Throw,Incendiary Bomb,3.9%,71.3%,12.0%,76.8%,18.1%,77.4%
Adriana,Throw,David's Sling,0.0%,0.4%,-9999900.0%,0.4%,-9999900.0%,0.3%
Adriana,Throw,Grenade of Antioch,2.6%,3.0%,7.5%,1.6%,21.9%,2.1%
Adriana,Throw,Ruthenium Marble,4.6%,1.4%,14.9%,1.5%,15.3%,4.6%
Adela,Rapier,Durendal Mk2,6.5%,1.3%,8.2%,3.4%,6.3%,2.3%
Adela,Rapier,Mistilteinn,8.8%,70.1%,18.5%,73.1%,24.0%,79.5%
Adela,Rapier,Volticletto,7.3%,4.1%,10.6%,4.4%,19.2%,1.8%
Adela,Rapier,Meteor Claymore,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,-9999900.0%,0.4%,-9999900.0%,0.7%,-9999900.0%,0.4%
Alex,Two-Handed Sword,Thuận Thiên,1.8%,3.1%,7.9%,5.3%,14.2%,5.0%
Alex,Two-Handed Sword,Arondight,2.0%,3.3%,8.0%,5.7%,13.2%,8.2%
Alex,Two-Handed Sword,Excalibur,8.8%,0.6%,20.8%,0.6%,18.1%,1.6%
Alex,Two-Handed Sword,Plasma Sword,0.0%,0.9%,3.8%,1.9%,9.9%,2.2%
Alex,Two-Handed Sword,Laevateinn,15.3%,3.4%,28.1%,5.2%,36.4%,5.1%
Alex,Two-Handed Sword,Monohoshizao,8.1%,32.5%,14.7%,22.9%,22.3%,17.8%
Alex,Two-Handed Sword,Hovud,6.9%,6.2%,14.6%,3.8%,16.5%,4.2%
Alex,Two-Handed Sword,Dáinsleif,44.8%,2.7%,55.9%,1.3%,61.4%,1.7%
Alex,Pistol,Devil's Marksman,2.3%,0.7%,9.4%,0.8%,20.3%,0.8%
Alex,Pistol,Elegance,1.8%,2.0%,7.3%,2.6%,14.3%,1.6%
Alex,Pistol,Electron Blaster,2.2%,14.3%,8.4%,18.9%,13.7%,20.8%
Alex,Pistol,Magnum-Boa,3.9%,3.6%,7.7%,6.8%,17.3%,5.6%
Alex,Pistol,Kelte,24.8%,0.6%,39.4%,0.8%,47.8%,1.1%
Alex,Shuriken,Cards of Tyranny,1.2%,1.3%,9.1%,1.6%,7.8%,0.6%
Alex,Shuriken,Mystic Jade Charm,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Fuhma Shuriken,-9999900.0%,0.2%,-9999900.0%,0.4%,-9999900.0%,0.3%
Alex,Shuriken,Frost Venom Dart,-9999900.0%,0.0%,-9999900.0%,0.2%,-9999900.0%,0.2%
Alex,Shuriken,Azure Dagger,-9999900.0%,0.0%,-9999900.0%,0.3%,-9999900.0%,0.2%
Alex,Shuriken,Flechette,6.3%,0.7%,-9999900.0%,0.3%,-9999900.0%,0.3%
Alex,Shuriken,Wind and Fire Wheels,0.3%,1.6%,2.2%,1.1%,10.9%,0.8%
Alex,Shuriken,Death Rune,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Sudarsana,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Alex,Shuriken,Petal Torrent,6.4%,0.2%,-9999900.0%,0.3%,30.0%,0.5%
Alex,Tonfa,Tactical Tonfa,2.8%,4.2%,8.0%,1.6%,7.9%,2.2%
Alex,Tonfa,Mai Sok,2.6%,0.4%,-9999900.0%,0.3%,16.7%,0.7%
Alex,Tonfa,Plasma Tonfa,2.7%,1.5%,8.4%,3.9%,18.5%,8.2%
Aya,Assault Rifle,AK-12,1.3%,2.2%,6.0%,1.8%,18.4%,2.8%
Aya,Assault Rifle,XCR,14.8%,4.5%,13.6%,1.0%,-9999900.0%,0.8%
Aya,Assault Rifle,Type 95,0.0%,0.6%,-9999900.0%,0.7%,17.2%,1.4%
Aya,Assault Rifle,Agni,9.5%,81.0%,14.0%,85.9%,18.8%,85.5%
Aya,Pistol,Devil's Marksman,3.0%,17.7%,9.6%,39.8%,16.8%,43.6%
Aya,Pistol,Elegance,3.4%,19.2%,11.1%,18.8%,16.9%,22.8%
Aya,Pistol,Electron Blaster,1.5%,1.7%,6.3%,1.0%,20.0%,1.2%
Aya,Pistol,Magnum-Boa,4.4%,44.5%,11.4%,26.4%,20.8%,20.3%
Aya,Pistol,Kelte,28.4%,5.4%,46.3%,3.7%,63.3%,3.1%
Aya,Sniper,Tac-50,2.8%,11.5%,6.9%,8.6%,16.5%,7.7%
Aya,Sniper,Intervention,4.7%,14.5%,10.2%,22.1%,17.3%,31.6%
Aya,Sniper,NTW-20,2.5%,19.8%,7.3%,22.2%,16.2%,16.7%
Aya,Sniper,Polaris,1.6%,27.0%,8.1%,25.4%,12.7%,26.2%
