Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,6.6%,,15.4%,,20.2%,
Head,Mithril Helm,20.1%,4.0%,35.8%,3.5%,40.9%,2.9%
Head,Crystal Tiara,3.5%,7.6%,13.6%,5.8%,19.7%,6.7%
Head,Motorcycle Helmet,0.8%,8.1%,4.4%,12.8%,8.4%,15.7%
Head,Tactical OPS Helmet,4.5%,13.2%,17.1%,10.2%,26.5%,7.1%
Head,Helm of Banneret,5.4%,2.6%,17.6%,2.1%,29.4%,2.5%
Head,Laurel Wreath,17.4%,1.8%,42.5%,3.4%,40.7%,2.5%
Head,Imperial Crown,7.3%,16.5%,21.8%,20.5%,29.8%,26.2%
Head,Imperial Burgonet,8.8%,12.1%,22.0%,8.8%,28.2%,7.6%
Head,Chinese Opera Mask,19.6%,1.2%,44.2%,1.2%,36.6%,1.0%
Head,Elysian Halo,29.4%,6.4%,53.4%,4.2%,57.4%,3.9%
Chest,Covert Agent Uniform,3.9%,0.9%,2.6%,0.3%,21.2%,0.2%
Chest,Sunset Armor,1.2%,4.8%,9.3%,6.0%,14.1%,8.1%
Chest,Optical Camouflage Suit,3.3%,6.1%,11.2%,9.3%,16.1%,8.0%
Chest,Rocker's Jacket,4.6%,11.5%,14.7%,8.2%,18.6%,9.2%
Chest,Mithril Armor,19.5%,8.0%,37.5%,7.1%,40.7%,7.6%
Chest,Crusader Armor,5.3%,5.0%,13.7%,7.5%,18.2%,5.9%
Chest,Amazoness Armor,6.1%,1.3%,21.8%,1.6%,24.5%,4.0%
Chest,Dragon Dobok,9.4%,9.8%,21.8%,6.4%,30.0%,4.9%
Chest,Butler's Suit,5.2%,5.3%,13.5%,5.9%,21.1%,4.5%
Chest,Battle Suit,4.4%,3.5%,20.0%,2.9%,22.2%,4.2%
Chest,Blazing Dress,27.7%,1.9%,45.0%,2.2%,44.6%,1.4%
Chest,EOD Suit,9.6%,7.4%,27.5%,5.0%,33.2%,7.4%
Chest,Commander's Armor,4.9%,4.9%,9.8%,5.7%,15.1%,5.8%
Chest,Kabana,16.4%,3.8%,33.0%,5.8%,43.1%,6.1%
Chest,Queen of Hearts,27.4%,1.5%,54.4%,1.6%,57.0%,1.5%
Arm,Sword Stopper,7.6%,0.7%,14.4%,1.7%,19.3%,2.3%
Arm,Draupnir,5.3%,8.9%,15.7%,8.8%,24.1%,9.5%
Arm,Creed of the Knight,5.0%,7.6%,12.7%,7.5%,22.1%,6.9%
Arm,Sheath of Shah Jahan,4.0%,17.4%,16.7%,15.5%,22.7%,17.8%
Arm,Cube Watch,11.5%,1.0%,23.5%,0.8%,29.8%,0.9%
Arm,Vital Sign Sensor,0.2%,1.2%,2.7%,1.8%,0.7%,0.8%
Arm,Burnished Aegis,4.9%,2.6%,19.8%,5.4%,22.9%,6.9%
Arm,Radar,12.8%,15.8%,27.7%,13.9%,30.1%,9.0%
Arm,Tindalos Band,7.6%,5.6%,22.5%,6.2%,29.0%,8.6%
Arm,Mithril Shield,15.4%,5.1%,31.7%,4.4%,40.6%,4.8%
Arm,Auto-arms,28.5%,2.6%,49.0%,2.1%,52.1%,2.0%
Arm,Bracelet of Skadi,22.6%,3.4%,42.6%,2.8%,52.4%,3.0%
Leg,Feather Boots,8.7%,18.3%,21.7%,17.0%,25.6%,13.2%
Leg,Maverick Runner,0.6%,0.6%,2.2%,0.3%,5.4%,1.0%
