Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,5.6%,,11.1%,,16.6%,
Head,Mithril Helm,23.3%,3.3%,34.6%,2.9%,40.4%,2.8%
Head,Crystal Tiara,7.2%,10.7%,15.4%,9.5%,23.5%,8.5%
Head,Motorcycle Helmet,2.2%,9.9%,6.4%,11.8%,11.1%,12.6%
Head,Tactical OPS Helmet,8.3%,14.2%,17.6%,11.5%,24.9%,10.0%
Head,Helm of Banneret,9.1%,2.4%,17.4%,2.7%,25.0%,3.2%
Head,Laurel Wreath,17.7%,2.4%,32.4%,2.3%,40.3%,2.3%
Head,Imperial Crown,6.6%,7.8%,15.9%,11.2%,24.4%,14.6%
Head,Imperial Burgonet,7.8%,11.4%,19.1%,10.8%,27.8%,12.0%
Head,Chinese Opera Mask,30.9%,1.8%,41.7%,1.5%,48.4%,1.4%
Chest,Covert Agent Uniform,7.3%,0.2%,7.3%,0.2%,12.8%,0.2%
Chest,Sunset Armor,2.9%,3.8%,9.1%,3.9%,15.2%,5.2%
Chest,Optical Camouflage Suit,5.6%,13.7%,12.7%,14.7%,19.5%,11.9%
Chest,Rocker's Jacket,4.3%,3.0%,11.5%,3.7%,16.9%,3.8%
Chest,Mithril Armor,23.8%,3.7%,33.5%,2.9%,38.7%,2.8%
Chest,Crusader Armor,5.8%,6.9%,11.5%,6.7%,17.3%,5.9%
Chest,Amazoness Armor,7.0%,1.5%,15.5%,2.3%,22.7%,3.2%
Chest,Dragon Dobok,9.6%,7.5%,19.3%,5.2%,26.7%,4.6%
Chest,Butler's Suit,7.4%,8.4%,13.0%,6.2%,19.9%,4.9%
Chest,Battle Suit,7.7%,2.3%,16.3%,2.8%,23.5%,4.6%
Chest,Blazing Dress,22.2%,0.9%,35.3%,0.9%,39.1%,1.0%
Chest,EOD Suit,9.9%,4.4%,21.3%,4.0%,29.4%,4.6%
Chest,Commander's Armor,2.9%,6.4%,7.8%,7.6%,14.7%,8.6%
Chest,Kabana,14.3%,4.1%,30.2%,5.5%,40.7%,6.5%
Chest,Queen of Hearts,25.0%,0.8%,46.7%,1.2%,57.3%,1.4%
Arm,Sword Stopper,8.4%,2.6%,13.4%,3.8%,20.0%,4.5%
Arm,Draupnir,5.5%,8.1%,14.8%,9.1%,23.3%,10.8%
Arm,Creed of the Knight,4.9%,7.2%,11.9%,7.5%,19.3%,6.6%
Arm,Sheath of Shah Jahan,3.7%,10.0%,11.1%,10.0%,18.6%,9.8%
Arm,Cube Watch,7.8%,1.2%,15.2%,1.3%,23.2%,1.4%
Arm,Vital Sign Sensor,0.2%,2.0%,1.0%,1.7%,4.0%,1.4%
Arm,Burnished Aegis,5.4%,2.9%,13.4%,4.4%,22.6%,5.5%
Arm,Radar,12.2%,18.5%,22.1%,13.8%,29.7%,11.0%
Arm,Tindalos Band,6.3%,4.2%,15.6%,4.6%,24.6%,6.3%
Arm,Mithril Shield,16.3%,2.5%,28.6%,2.7%,36.3%,2.9%
Arm,Auto-arms,25.5%,2.4%,40.7%,2.4%,47.8%,2.5%
Arm,Bracelet of Skadi,17.3%,2.2%,38.5%,2.1%,47.8%,2.2%
Leg,Feather Boots,6.7%,12.8%,12.6%,10.6%,19.9%,9.8%
Leg,Maverick Runner,1.0%,1.0%,4.0%,1.7%,8.7%,1.7%
Leg,Straitjacket Sneakers,3.5%,9.6%,10.2%,11.7%,17.8%,15.1%
Leg,Mithril Boots,18.9%,1.1%,28.9%,1.1%,35.3%,1.2%
Leg,Bucephalus,4.6%,10.7%,11.7%,10.7%,18.6%,9.7%
Leg,EOD Boots,8.6%,3.3%,17.6%,3.0%,25.6%,3.5%
Leg,White Rhinos,5.9%,18.4%,11.5%,16.2%,17.8%,13.7%
Leg,Tachyon Brace,5.9%,3.4%,13.9%,3.5%,21.4%,4.3%
Leg,Glacial Shoes,11.7%,4.1%,29.1%,5.7%,39.8%,6.4%
Leg,Boots of Hermes,27.0%,3.6%,45.0%,3.0%,51.2%,3.1%
Leg,Red Shoes,34.0%,1.9%,48.5%,1.9%,55.3%,1.7%
Accessory,Laced Quiver,5.8%,8.9%,13.2%,9.1%,20.2%,8.1%
Accessory,Sniper Scope,1.4%,0.5%,5.0%,0.4%,9.9%,0.5%
Accessory,Uchiwa,5.8%,14.6%,12.7%,16.0%,20.1%,16.8%
Accessory,Schrödinger's Box,7.8%,4.9%,17.0%,6.8%,25.5%,7.9%
Accessory,Veritas Lux Mea,7.4%,5.1%,16.9%,3.5%,23.5%,3.0%
Accessory,Lunar Embrace,17.6%,0.6%,33.5%,0.7%,39.6%,0.9%
Accessory,Emerald Tablet,27.4%,1.5%,41.6%,1.2%,46.6%,1.0%
Accessory,Glacial Ice,3.9%,0.1%,13.3%,0.1%,20.2%,0.1%
Accessory,True Samadhi Fire,6.8%,0.1%,25.0%,0.1%,30.6%,0.1%
Accessory,Moonlight Pendant,19.9%,3.3%,29.3%,2.2%,35.3%,1.8%
Accessory,White Crane Fan,7.3%,9.4%,16.0%,9.4%,23.0%,10.3%
Accessory,Magazine,8.1%,9.3%,15.2%,10.7%,21.8%,11.2%
Accessory,Flower of Fate,0.8%,1.0%,2.8%,0.7%,7.8%,0.8%
Accessory,Revenge of Goujian,6.8%,2.3%,14.9%,2.5%,24.1%,3.5%
Accessory,Buccaneer Doubloon,7.5%,8.4%,14.2%,6.9%,20.2%,6.0%
Accessory,Feather Duster,0.0%,1.1%,0.1%,1.2%,1.3%,1.0%
