Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,6.7%,,12.5%,,17.8%,
Adriana,Throw,Smoke Bomb,5.7%,35.2%,13.6%,21.6%,16.2%,22.0%
Adriana,Throw,Incendiary Bomb,7.9%,52.1%,16.4%,71.9%,16.4%,55.4%
Adriana,Throw,David's Sling,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.6%
Adriana,Throw,Grenade of Antioch,-9999900.0%,0.3%,-9999900.0%,0.3%,-9999900.0%,2.1%
Adriana,Throw,Ruthenium Marble,-9999900.0%,3.2%,-9999900.0%,0.4%,19.6%,12.6%
Adela,Rapier,Durendal Mk2,1.4%,28.9%,-9999900.0%,19.6%,-9999900.0%,8.0%
Adela,Rapier,Mistilteinn,2.1%,18.6%,9.9%,63.6%,18.7%,81.3%
Adela,Rapier,Volticletto,6.4%,18.6%,-9999900.0%,9.1%,-9999900.0%,0.9%
Adela,Rapier,Meteor Claymore,-9999900.0%,14.2%,-9999900.0%,0.0%,-9999900.0%,0.0%
Adela,Rapier,Joyeuse,-9999900.0%,7.5%,-9999900.0%,0.7%,-9999900.0%,0.9%
Aya,Assault Rifle,AK-12,-9999900.0%,0.9%,-9999900.0%,4.0%,-9999900.0%,12.7%
Aya,Assault Rifle,XCR,19.0%,66.5%,21.8%,55.6%,-9999900.0%,18.2%
Aya,Assault Rifle,Gatling Gun,11.1%,24.4%,-9999900.0%,16.2%,-9999900.0%,56.4%
Aya,Pistol,Devil's Marksman,1.7%,22.9%,10.4%,52.8%,16.3%,68.0%
Aya,Pistol,Elegance,5.0%,43.0%,9.6%,22.7%,11.4%,18.5%
Aya,Pistol,Electron Blaster,-9999900.0%,1.5%,-9999900.0%,0.2%,-9999900.0%,0.0%
Aya,Pistol,Magnum-Boa,3.4%,16.3%,-9999900.0%,5.5%,-9999900.0%,1.6%
Aya,Pistol,Kelte,24.6%,10.7%,62.7%,11.2%,-9999900.0%,6.9%
Aya,Sniper Rifle,Tac-50,3.4%,35.5%,-9999900.0%,16.3%,-9999900.0%,10.2%
Aya,Sniper Rifle,Intervention,-9999900.0%,9.0%,-9999900.0%,12.4%,26.5%,34.8%
Aya,Sniper Rifle,NTW-20,-9999900.0%,12.7%,6.0%,37.6%,19.0%,14.3%
Aya,Sniper Rifle,Polaris,-9999900.0%,21.7%,-9999900.0%,10.1%,17.6%,25.3%
Aya,Sniper Rifle,The Deadly Ray,-9999900.0%,14.5%,-9999900.0%,14.6%,-9999900.0%,8.2%
Cathy,Dagger,Carnwennan,3.5%,11.2%,6.0%,19.4%,12.8%,10.3%
Cathy,Dagger,Mount Slicer,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Cathy,Dagger,Vibroblade,1.3%,50.7%,6.7%,58.6%,9.2%,57.3%
Cathy,Dagger,Damascus Steel Thorn,6.3%,14.7%,-9999900.0%,5.5%,10.9%,12.0%
Cathy,Dagger,Fragarach,20.4%,19.4%,42.9%,13.3%,45.7%,17.7%
Chiara,Rapier,Durendal Mk2,1.6%,21.7%,3.6%,11.8%,14.6%,16.7%
Chiara,Rapier,Mistilteinn,7.7%,27.6%,18.2%,30.6%,30.3%,58.0%
Chiara,Rapier,Volticletto,2.4%,26.0%,7.2%,38.5%,-9999900.0%,15.1%
Chiara,Rapier,Meteor Claymore,7.3%,2.3%,-9999900.0%,1.7%,-9999900.0%,1.6%
Chiara,Rapier,Joyeuse,12.0%,12.1%,-9999900.0%,7.9%,-9999900.0%,1.2%
Emma,Shuriken,Cards of Tyranny,5.0%,11.0%,-9999900.0%,3.7%,-9999900.0%,0.0%
Emma,Shuriken,Mystic Jade Charm,-9999900.0%,1.7%,6.8%,18.2%,-9999900.0%,5.6%
Emma,Shuriken,Fuhma Shuriken,15.0%,31.6%,13.2%,16.7%,27.8%,28.1%
Emma,Shuriken,Frost Venom Dart,-9999900.0%,0.2%,-9999900.0%,0.0%,-9999900.0%,0.0%
Emma,Shuriken,Azure Dagger,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Emma,Shuriken,Flechette,5.3%,8.4%,-9999900.0%,1.7%,-9999900.0%,0.0%
Emma,Shuriken,Wind and Fire Wheels,8.3%,33.0%,12.8%,48.2%,24.5%,60.0%
