Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Base Win Rate,,,5.6%,,11.1%,,16.6%,
Adriana,Throw,Smoke Bomb,4.9%,29.8%,15.4%,24.4%,23.3%,20.6%
Adriana,Throw,Incendiary Bomb,6.0%,53.7%,13.5%,61.1%,18.0%,60.1%
Adriana,Throw,David's Sling,3.7%,0.4%,11.3%,1.2%,10.9%,0.8%
Adriana,Throw,Grenade of Antioch,4.9%,1.6%,9.9%,1.1%,19.6%,0.7%
Adriana,Throw,Ruthenium Marble,7.5%,3.2%,18.8%,3.0%,19.2%,9.4%
Adela,Rapier,Durendal Mk2,2.8%,26.8%,6.5%,14.3%,13.3%,16.0%
Adela,Rapier,Mistilteinn,3.8%,41.0%,12.4%,60.3%,18.8%,60.7%
Adela,Rapier,Volticletto,2.1%,11.8%,8.8%,7.3%,15.2%,5.7%
Adela,Rapier,Meteor Claymore,9.4%,3.1%,9.8%,1.1%,-9999900.0%,0.6%
Adela,Rapier,Joyeuse,8.6%,2.9%,34.6%,2.1%,28.7%,2.2%
Aya,Assault Rifle,AK-12,2.3%,24.6%,8.7%,32.8%,16.9%,21.3%
Aya,Assault Rifle,XCR,10.7%,37.8%,15.9%,26.1%,24.0%,27.4%
Aya,Assault Rifle,Gatling Gun,5.1%,18.8%,13.8%,20.1%,17.8%,36.0%
Aya,Pistol,Devil's Marksman,5.8%,53.6%,11.5%,64.0%,17.7%,63.8%
Aya,Pistol,Elegance,4.0%,25.3%,10.5%,19.2%,13.9%,21.3%
Aya,Pistol,Electron Blaster,3.4%,1.3%,4.2%,0.7%,15.9%,0.8%
Aya,Pistol,Magnum-Boa,5.7%,2.6%,12.4%,1.5%,17.8%,1.1%
Aya,Pistol,Kelte,22.2%,6.0%,44.0%,4.9%,54.5%,4.0%
Aya,Sniper Rifle,Tac-50,3.5%,30.7%,9.6%,17.5%,16.6%,18.3%
Aya,Sniper Rifle,Intervention,2.9%,8.3%,8.0%,12.0%,19.3%,17.5%
Aya,Sniper Rifle,NTW-20,3.6%,23.9%,8.7%,22.4%,18.0%,21.8%
Aya,Sniper Rifle,Polaris,1.7%,10.6%,7.3%,20.6%,15.0%,20.6%
Aya,Sniper Rifle,The Deadly Ray,14.3%,12.8%,30.7%,12.6%,35.8%,10.8%
Cathy,Dagger,Carnwennan,3.1%,16.3%,6.0%,9.4%,13.5%,11.0%
Cathy,Dagger,Mount Slicer,0.0%,0.3%,10.9%,0.3%,8.5%,0.5%
Cathy,Dagger,Vibroblade,2.9%,57.7%,7.5%,64.4%,13.7%,57.0%
Cathy,Dagger,Damascus Steel Thorn,5.3%,6.8%,11.0%,8.0%,18.2%,14.4%
Cathy,Dagger,Fragarach,28.8%,11.1%,42.9%,11.8%,46.5%,11.0%
Chiara,Rapier,Durendal Mk2,3.2%,16.7%,9.2%,9.4%,14.5%,7.5%
Chiara,Rapier,Mistilteinn,8.2%,31.9%,15.1%,32.1%,24.4%,37.4%
Chiara,Rapier,Volticletto,3.3%,31.2%,10.1%,38.5%,14.8%,35.0%
Chiara,Rapier,Meteor Claymore,13.1%,1.3%,25.7%,1.0%,23.9%,0.9%
